Link,Score,Prediction
FL_2023_0a2842f0e19e00fda4ff770afaaf20fc.html.gz,0.9857142567634583,Most likely human-generated
FL_2023_0d220671826b568ac8ac9b6c29695cfe.html.gz,1.014285683631897,Most likely human-generated
FL_2023_10d9b263ea5b939595795099bb0888d1.html.gz,1.0337837934494019,Most likely human-generated
FL_2023_1223b77d9f6c288665f62bacd8b94bb6.html.gz,1.0,Most likely human-generated
FL_2023_13317eecf63b5ae1b6a519106c9ad9b3.html.gz,1.006250023841858,Most likely human-generated
FL_2023_2272607b55cc47c6f4096294c338c67a.html.gz,0.9746835231781006,Most likely human-generated
FL_2023_25a3740cd70aa77b142a7e2bfe7ac1a7.html.gz,1.0144927501678467,Most likely human-generated
FL_2023_25b058ad6c0ff40af89a27a0bd718b8b.html.gz,0.9594594836235046,Most likely human-generated
FL_2023_3070f53385d576626ae3224a6d84c8a5.html.gz,1.0279330015182495,Most likely human-generated
FL_2023_351680801fcfa7483808b54d16b18627.html.gz,1.0,Most likely human-generated
FL_2023_37787a530b56090e55fdab47a4b89b68.html.gz,1.0451127290725708,Most likely human-generated
FL_2023_3c73bc09b9f8521651057f06c33b4a67.html.gz,1.0270270109176636,Most likely human-generated
FL_2023_423dd46a4d2d7b3a90f86f90f1c5c318.html.gz,1.017543911933899,Most likely human-generated
FL_2023_44e3461571c6c3e487564251e22f50ea.html.gz,0.9832402467727661,Most likely human-generated
FL_2023_48d3b63ac9ad3a431c4e289729b6f62e.html.gz,0.8248587846755981,Most likely AI-generated
FL_2023_4bfb2a574917e74b6128a3d3dfee4842.html.gz,0.9794238805770874,Most likely human-generated
FL_2023_56f28633bda0095f0e29e4d92f70f799.html.gz,0.9489051103591919,Most likely human-generated
FL_2023_5968db8a15a1f7d72848e44e1296058a.html.gz,1.0365853309631348,Most likely human-generated
FL_2023_5da1e37b08f06c124f61492cef6a2c78.html.gz,1.0359711647033691,Most likely human-generated
FL_2023_603914797bc6fec449289870215240b9.html.gz,0.9801324605941772,Most likely human-generated
FL_2023_634883b56716ca00ac12553959b08968.html.gz,1.0410256385803223,Most likely human-generated
FL_2023_660789daa5e3a47db5f6dcb8872d24a4.html.gz,1.0378787517547607,Most likely human-generated
FL_2023_6624da297238b0bc02770d09ac4fcae8.html.gz,1.0306748151779175,Most likely human-generated
FL_2023_66ca63bcb21b8023706a63b5d5d1b768.html.gz,0.9620253443717957,Most likely human-generated
FL_2023_68cec4185649991f8376b0ad218a6bda.html.gz,0.9380165338516235,Most likely human-generated
FL_2023_6c5d19d55286fc071cb98c282cc4a484.html.gz,1.0763888359069824,Most likely human-generated
FL_2023_6cd74dfeceb1e63d81548b3e6cb61fb2.html.gz,1.0164835453033447,Most likely human-generated
FL_2023_73176e333c8030bf676b83dac1d1388c.html.gz,0.9142857193946838,Most likely human-generated
FL_2023_73cf818126473b72af630accbbf1efcf.html.gz,0.9337748289108276,Most likely human-generated
FL_2023_77438458bf6b178a598658cbe63f24c9.html.gz,1.038167953491211,Most likely human-generated
FL_2023_8ae7d0a973bb9b754e84227d7efdc4e4.html.gz,1.0279719829559326,Most likely human-generated
FL_2023_939853b78f2fc569bc49cd248119d57b.html.gz,1.0064102411270142,Most likely human-generated
FL_2023_960f2ce25fe9e904dbfd9c4bde8b9767.html.gz,1.0227272510528564,Most likely human-generated
FL_2023_983c76d03850edbf73176e7871857c8a.html.gz,1.021276593208313,Most likely human-generated
FL_2023_9a55ce64d1e9ccad4f57d3f9ec6dc31b.html.gz,1.058394193649292,Most likely human-generated
FL_2023_9bc5e9684e8893f7b01479a11705052f.html.gz,0.9526627063751221,Most likely human-generated
FL_2023_9ec20fcd7bf7007f3c8423c7703d80a0.html.gz,1.0536912679672241,Most likely human-generated
FL_2023_a2b633a193c5289bf343f5478e527027.html.gz,1.0,Most likely human-generated
FL_2023_a4c321497be2f3c5969e261db97e5d07.html.gz,0.982758641242981,Most likely human-generated
FL_2023_b3c2f8a3c591d7d18e3a3bfc9f94ef89.html.gz,1.0709220170974731,Most likely human-generated
FL_2023_b90ba23f7521ce64969586bc7f3b7df6.html.gz,0.9595141410827637,Most likely human-generated
FL_2023_bad2f1ad8bd9e2b62fe758f7af7807b6.html.gz,1.0709220170974731,Most likely human-generated
FL_2023_ca29b093ab6d75d17042d0f23cd459c9.html.gz,1.0915032625198364,Most likely human-generated
FL_2023_cd9f27e841e58c547f8ead722f0c2c3e.html.gz,1.0,Most likely human-generated
FL_2023_d213fb3ead413850fd3926f3901fb8f0.html.gz,1.0492957830429077,Most likely human-generated
FL_2023_d29c132b82056d2c15dd9d1d3b191739.html.gz,1.0509554147720337,Most likely human-generated
FL_2023_d7718a765dd03bf777c2c373588609d8.html.gz,1.0087718963623047,Most likely human-generated
FL_2023_d77c888ec6df767cd687f8fc157b0ff2.html.gz,0.9720279574394226,Most likely human-generated
FL_2023_d91c081478df448382afbf6b13a9e304.html.gz,1.045751690864563,Most likely human-generated
FL_2023_d9eff6d5ba02be653769c3fea03abd32.html.gz,1.0542635917663574,Most likely human-generated
FL_2023_e6a05709c9b81f5e4a82152a3d811778.html.gz,0.9407407641410828,Most likely human-generated
FL_2023_f0645adf5ba5907f9df341f0ad3610cf.html.gz,1.0184049606323242,Most likely human-generated
FL_2023_fc70dab7f2e32b62524b1e46b3c2e109.html.gz,1.0,Most likely human-generated
FL_2023_fcc84d25160f934016b3e1bd099f385a.html.gz,1.0533332824707031,Most likely human-generated
FL_2023_fe67bd7f4fa254dd94f54f6e1f0815d1.html.gz,1.0045045614242554,Most likely human-generated
