Link,Score,Prediction
IL_2024_0198c326a565128ff0e137e6525c2628.html.gz,0.9647058844566345,Most likely human-generated
IL_2024_053e3807c6cca194cefa9d7b87f3c269.html.gz,0.8704453706741333,Most likely human-generated
IL_2024_0cef478f2634284f319ddb3c7c8bc141.html.gz,1.0670732259750366,Most likely human-generated
IL_2024_10f3c26703498571d0d56d5c153e55e7.html.gz,1.0283688306808472,Most likely human-generated
IL_2024_1fce8b7d81d5563b30ed92cd9e27e669.html.gz,0.9811320900917053,Most likely human-generated
IL_2024_31abd41193f22ff8288c516d011aa3d7.html.gz,0.956204354763031,Most likely human-generated
IL_2024_4174dbea43311535b48cf6fb6d4219ae.html.gz,0.9832402467727661,Most likely human-generated
IL_2024_509cbc07f909c4dab61272ac0a7fc8cb.html.gz,0.9772727489471436,Most likely human-generated
IL_2024_67afd2077bde421ac1df87f3af47ba0a.html.gz,0.9728260636329651,Most likely human-generated
IL_2024_798c32e8d0bab4004599e8a6063b99a1.html.gz,1.0068492889404297,Most likely human-generated
IL_2024_7dbb3b618b995953510b2c79103d454c.html.gz,0.940397322177887,Most likely human-generated
IL_2024_97acf9887f67c891a0710fb164d3e0ab.html.gz,0.9798657894134521,Most likely human-generated
IL_2024_98179e200d9c2e334d05ac710cbe8adc.html.gz,0.9650349617004395,Most likely human-generated
IL_2024_9898810218581f2762d0c444ee823d37.html.gz,1.0,Most likely human-generated
IL_2024_a02369a8daa098a557e8f47e8621ad8c.html.gz,1.117241382598877,Most likely human-generated
IL_2024_ade21274736b0cd38478213d6563cc26.html.gz,1.0194804668426514,Most likely human-generated
IL_2024_b53aca1bcfe0c457a2c56dc8a7597980.html.gz,0.9681528806686401,Most likely human-generated
IL_2024_b7cee7e18286dcc0973fa05b1e4b4731.html.gz,1.0266666412353516,Most likely human-generated
IL_2024_b88b8ce47d43d0687f5a3da1b1e0f033.html.gz,1.1916167736053467,Most likely human-generated
IL_2024_d9428c92d1670be3a6640f80431f3bb2.html.gz,0.965753436088562,Most likely human-generated
IL_2024_e32d594e8815b1be7b2ede1b5be257fa.html.gz,1.0105262994766235,Most likely human-generated
IL_2024_ee8dc66dbc0ce660d066f42b6a6e684e.html.gz,0.9659090638160706,Most likely human-generated
IL_2024_f6f0eb16ae599b7fe3e060742c7b3064.html.gz,0.9613259434700012,Most likely human-generated
IL_2024_fbc45ee713e1d076b7011e62edeb9784.html.gz,1.0,Most likely human-generated
IL_2024_fda2d135eeb07026b34318067aaa7cfe.html.gz,1.0240384340286255,Most likely human-generated
