Link,Score,Prediction
TN_2023_00421ee331e3181aedd1b1cced56df84.html.gz,1.0591715574264526,Most likely human-generated
TN_2023_0166cba656f60f3fab4f1a0676b3ec7e.html.gz,0.9938650131225586,Most likely human-generated
TN_2023_03d5e9487bbaaa9ace0fd121abbef0ed.html.gz,1.0188679695129395,Most likely human-generated
TN_2023_04bdda0e13a8d5af0c87edf0578b5344.html.gz,1.077419400215149,Most likely human-generated
TN_2023_06d6435e29ba98bff031557a94dc6d56.html.gz,1.0236220359802246,Most likely human-generated
TN_2023_0a87df7f03aaf7a9df507d5a178ea982.html.gz,0.9256756901741028,Most likely human-generated
TN_2023_0bb0462351243dc2a0fe5308a63808d3.html.gz,0.9626556038856506,Most likely human-generated
TN_2023_0f5b296cb00f861fd2b9d819d6db4a89.html.gz,1.017937183380127,Most likely human-generated
TN_2023_11060a4b584016f77dbfc509d310c939.html.gz,1.024539828300476,Most likely human-generated
TN_2023_1595f77f78248505e920e6a5cf73f929.html.gz,1.0447760820388794,Most likely human-generated
TN_2023_1877574f3573e0039de11d3f378eec72.html.gz,1.02173912525177,Most likely human-generated
TN_2023_1b96378c1104d3ae0dcf3a40738632b6.html.gz,1.0724637508392334,Most likely human-generated
TN_2023_1ef11c098c048ddc651db033715f87bb.html.gz,0.9789473414421082,Most likely human-generated
TN_2023_1f1bc3a010045a7878c6cf935efc6824.html.gz,0.9507042169570923,Most likely human-generated
TN_2023_2012f1221d95edfdbafd7de2b2b1a00b.html.gz,1.0258064270019531,Most likely human-generated
TN_2023_279b7c2353c3aaf28652ed081f706909.html.gz,1.0866667032241821,Most likely human-generated
TN_2023_2994223e40f34fa4430df8904a8da6ba.html.gz,1.0056179761886597,Most likely human-generated
TN_2023_2a918d90512eefe69ea5c1378d731fd5.html.gz,0.9851852059364319,Most likely human-generated
TN_2023_2cdc852f049c1df115dfe6a4d7c3c88c.html.gz,1.0405405759811401,Most likely human-generated
TN_2023_2d98c08b0138b8239475dd342a07d537.html.gz,0.9328858852386475,Most likely human-generated
TN_2023_30155cecb8fd5debe423980dffc7b237.html.gz,0.9595141410827637,Most likely human-generated
