Link,Score,Prediction
AZ_2021_16accf1e7434502619722d75d4bf989a.html.gz,0.9741935729980469,Most likely human-generated
AZ_2021_2344a3259e5261499bfc222cdedccdd6.html.gz,1.0337837934494019,Most likely human-generated
AZ_2021_26f8e2825edf82d326c8db0296f78871.html.gz,1.0410958528518677,Most likely human-generated
AZ_2021_39a98f53587298714870f8cb43aebbd6.html.gz,0.987730085849762,Most likely human-generated
AZ_2021_43305ef2f1d10cc7c2dcd28573d96dc2.html.gz,0.970059871673584,Most likely human-generated
AZ_2021_47cd2619c6cd649d3697f04a52e23fab.html.gz,0.9617834687232971,Most likely human-generated
AZ_2021_587d64219ddae92d10a5dade6f95badf.html.gz,0.9627329111099243,Most likely human-generated
AZ_2021_89cc36ad002a242049664879241959f1.html.gz,1.0119760036468506,Most likely human-generated
AZ_2021_9f25328ab24e81db1bb38a7cd9d828ff.html.gz,1.0060241222381592,Most likely human-generated
AZ_2021_a9fd5cb50d7ec7373414136098328532.html.gz,1.0,Most likely human-generated
AZ_2021_b16775cdf2ed7a85340e4a5b0c21c65a.html.gz,1.0068964958190918,Most likely human-generated
AZ_2021_c20001af9f2e4343eb80194edfbf5e73.html.gz,1.0158730745315552,Most likely human-generated
AZ_2021_d636804e449c2fe408c30ca954a1f546.html.gz,1.0060241222381592,Most likely human-generated
AZ_2021_f07ac358547e0e7d7b205c1f20135f64.html.gz,1.0060241222381592,Most likely human-generated
