Link,Score,Prediction
TX_2023_028049fb43a3d4515494f7e6d5136043.html.gz,1.0,Most likely human-generated
TX_2023_04a9ccf59204ab18bbe9c36d74ad1708.html.gz,1.0275862216949463,Most likely human-generated
TX_2023_0530e822a0db371c2fa307e641ac95c4.html.gz,0.9661017060279846,Most likely human-generated
TX_2023_0b9c4d557a59a1a7b5b9f6bbe9b3e69c.html.gz,1.1034482717514038,Most likely human-generated
TX_2023_0d5b8829853ced144709147a54d57c40.html.gz,1.0255101919174194,Most likely human-generated
TX_2023_0edc8c658b7dd815f4bc2a8d0dea81ae.html.gz,0.955974817276001,Most likely human-generated
TX_2023_1622349d6809e72c97554bf357f27fd7.html.gz,0.9090909361839294,Most likely human-generated
TX_2023_183e2a75a9bd7d99d16ef569e3aa8a7a.html.gz,1.0,Most likely human-generated
TX_2023_1d4b1640f5d19d03df98c4da449f2f36.html.gz,1.0,Most likely human-generated
TX_2023_1d878d077b5afad3752f9555f1646a94.html.gz,1.0137931108474731,Most likely human-generated
TX_2023_1df0fb58166674b60e58fae1ec53a6c6.html.gz,1.012195110321045,Most likely human-generated
TX_2023_1df62bd11d1d986de108a0af8c19ea1e.html.gz,1.0303030014038086,Most likely human-generated
TX_2023_28c6da383faf03a35e9e03f2fd666cbc.html.gz,1.0372670888900757,Most likely human-generated
TX_2023_29602d7eeab1374a9a94e45ce2caeecb.html.gz,1.0,Most likely human-generated
TX_2023_2979d101f5d899f902c0f2c666d7da17.html.gz,1.0352941751480103,Most likely human-generated
TX_2023_2bd93645dd65df82594959475a4527b0.html.gz,1.0191082954406738,Most likely human-generated
TX_2023_2d075a88f9c35bde001a380d2ef6df2e.html.gz,0.9815950989723206,Most likely human-generated
TX_2023_2d11ea8e0a5967cfe0ebd05b99b919ac.html.gz,1.0432692766189575,Most likely human-generated
TX_2023_31669ea76a1e915d8c33fc0e88f27dfc.html.gz,1.0892019271850586,Most likely human-generated
TX_2023_3f6e1602d5b97796caf2645bca369b56.html.gz,0.9918032884597778,Most likely human-generated
TX_2023_41882b09492b34df793fa46b89564695.html.gz,1.0,Most likely human-generated
TX_2023_41c268ddc3a8c2a74d1cd35675f19ffa.html.gz,1.0074074268341064,Most likely human-generated
TX_2023_42a41a6e68236864664efaf0b239434c.html.gz,1.00632905960083,Most likely human-generated
TX_2023_517709ddfafa4459394db2c782437cea.html.gz,1.0215827226638794,Most likely human-generated
TX_2023_56ab6e78ec5e0639ba5689ca270a6758.html.gz,0.9695122241973877,Most likely human-generated
TX_2023_56c8e36b0ef3b8915da60b2a978f419b.html.gz,1.082191824913025,Most likely human-generated
TX_2023_589366267248b27d3c62e6b28a661fc9.html.gz,1.0948904752731323,Most likely human-generated
TX_2023_5e1de81e7f411a81293cda4e027589f8.html.gz,1.0129870176315308,Most likely human-generated
TX_2023_629bfb16cf8eb8ab1a14111ac8398601.html.gz,1.0326087474822998,Most likely human-generated
TX_2023_63f000e7b53db253eb2cd1d3ccd46e3a.html.gz,0.9679487347602844,Most likely human-generated
TX_2023_678600701d157bfb3e21642fa76083a9.html.gz,0.9936708807945251,Most likely human-generated
TX_2023_6ba5dd35ca374f9bc31032fcf002b45a.html.gz,0.9438202381134033,Most likely human-generated
TX_2023_6d37519f842169b450bc755701316ac7.html.gz,1.0413793325424194,Most likely human-generated
TX_2023_728e8add218b45973e489225f119d22c.html.gz,0.9777777791023254,Most likely human-generated
TX_2023_743248aa3fc97832252a8b557155af16.html.gz,1.0,Most likely human-generated
TX_2023_764cbea5cc472545b5d1550edba1b5fc.html.gz,0.9098712205886841,Most likely human-generated
TX_2023_766c0c1834c3b7ea181e9d10ab0638ce.html.gz,0.9869281053543091,Most likely human-generated
TX_2023_767534c4d99b04445201fa46b676566e.html.gz,1.0536912679672241,Most likely human-generated
