Link,Score,Prediction
ND_2023_0076f7cf3322222cd99e8c1f499e5980.html.gz,0.9624060392379761,Most likely human-generated
ND_2023_18ada10919c74cbab52c1003f75c836a.html.gz,1.0526316165924072,Most likely human-generated
ND_2023_1940d444dc23aa928b59d3527fb718a0.html.gz,0.9818181991577148,Most likely human-generated
ND_2023_19a94a684f6c619681aff86c826c9801.html.gz,1.0657894611358643,Most likely human-generated
ND_2023_22d82f48641a86050de93b5642ee05f0.html.gz,1.0297619104385376,Most likely human-generated
ND_2023_2e80729334c0349a7982848114047aa8.html.gz,1.0461539030075073,Most likely human-generated
ND_2023_31b2393bd924622db4835207186f6ceb.html.gz,1.0314960479736328,Most likely human-generated
ND_2023_3ac2fa4ec0c6c38ef4e339ea0fc6fc03.html.gz,0.956250011920929,Most likely human-generated
ND_2023_3b528a4a689803ccedc927eec1a566f2.html.gz,0.9388889074325562,Most likely human-generated
ND_2023_4420dc67589165bd744b53fdbb985e9d.html.gz,1.0059880018234253,Most likely human-generated
ND_2023_4c89ce057ede2064a7397c77e15595c3.html.gz,0.9821428656578064,Most likely human-generated
ND_2023_4dcf3ed9522dea572f9130bed655bec8.html.gz,0.9841269850730896,Most likely human-generated
ND_2023_51cb39a397d7a4c448ca50fb8d65219a.html.gz,1.0108696222305298,Most likely human-generated
ND_2023_56a1780402d72f8fd4a4d1d2b5504708.html.gz,1.029197096824646,Most likely human-generated
ND_2023_5e4abc53d0e1841d839ed2b27f88601b.html.gz,0.9444444179534912,Most likely human-generated
ND_2023_65f94ad25bf531db6fd358b0d1cfcee5.html.gz,0.9477124214172363,Most likely human-generated
ND_2023_6e16ace1da2a0202710ede3a30990017.html.gz,0.9788732528686523,Most likely human-generated
ND_2023_7a55570e3aa07dafee9162cddbbaecc4.html.gz,1.0051813125610352,Most likely human-generated
ND_2023_7b2bb6a714b7cb7da32c2c067f82a72a.html.gz,0.9607843160629272,Most likely human-generated
ND_2023_7cdb9bc5b315d48e34b1056a866a3cd1.html.gz,0.9308176040649414,Most likely human-generated
ND_2023_9109354e3792c2f685d2cd5009ce0e87.html.gz,1.0136054754257202,Most likely human-generated
ND_2023_9708f581989d9ce3631031255144ae23.html.gz,0.9855072498321533,Most likely human-generated
ND_2023_9995c6dfe55f0ab141ec42df2eafa08e.html.gz,0.9735099077224731,Most likely human-generated
ND_2023_abacb3e6d04f0659ebe8c4bb9ff38a37.html.gz,0.9548872113227844,Most likely human-generated
ND_2023_c548a26c5bc55540a6ba3bee091a352f.html.gz,0.9573643207550049,Most likely human-generated
ND_2023_ca0c10458167135d10648a01dc069ad2.html.gz,0.956250011920929,Most likely human-generated
ND_2023_d1ab4f4a7b3e16b6a9b5ddb329fa3bd7.html.gz,1.0268456935882568,Most likely human-generated
ND_2023_d60230a243bc6f7b08b2fcee1190e4c0.html.gz,1.0320855379104614,Most likely human-generated
ND_2023_dbb75c3f858c6f543f1df26b16051e09.html.gz,0.9836956262588501,Most likely human-generated
ND_2023_e0f34414909a8456b768e9b5c29bf311.html.gz,0.9607843160629272,Most likely human-generated
ND_2023_e966dd4a7473c10853591b2e33d5473e.html.gz,0.9836956262588501,Most likely human-generated
ND_2023_eecbac7d8941765320f96a93ed345038.html.gz,1.0143884420394897,Most likely human-generated
ND_2023_f32251e5a6f4d96382991ee4dd703b85.html.gz,0.9937499761581421,Most likely human-generated
