Link,Score,Prediction
OH_2020_15c1ea0e233699e85feff92bd8726afc.html.gz,0.98828125,Most likely human-generated
OH_2020_2b04e14d60c6cc05a041426f9240dafe.html.gz,0.9379310607910156,Most likely human-generated
OH_2020_2d7e563b737a9eb40f0bce434b6d4963.html.gz,1.0,Most likely human-generated
OH_2020_38b26f242b467b91120416e33263a006.html.gz,0.9367588758468628,Most likely human-generated
OH_2020_3ca5c909708fa1875c4ad99b09c097cc.html.gz,0.9924242496490479,Most likely human-generated
OH_2020_44a8ac8baf52bf20a2b82a2f91303c03.html.gz,1.0188679695129395,Most likely human-generated
OH_2020_4b39426a10d845e0d1c25816a476cf68.html.gz,0.9481481313705444,Most likely human-generated
OH_2020_5816397459d1a690a3c4277945f5401b.html.gz,0.942307710647583,Most likely human-generated
OH_2020_5b43211c654f44e6513e4878b0f7a1f6.html.gz,1.0,Most likely human-generated
OH_2020_5c30a1f3a3ec02bba4499d8b1ad7c85c.html.gz,0.9576923251152039,Most likely human-generated
OH_2020_6641991932f148498bc36f0a81c1a6c6.html.gz,1.0370370149612427,Most likely human-generated
OH_2020_67717814fb3b78ac1eaef5a7fb119ce2.html.gz,0.9333333373069763,Most likely human-generated
OH_2020_6bf161cb0f5b453d19f688882fa859b7.html.gz,0.9791666865348816,Most likely human-generated
OH_2020_6ec51bc8beb98f32ccec56727f4522b2.html.gz,0.9931034445762634,Most likely human-generated
OH_2020_77b2cdc0cd3161fcdf5d44304004745a.html.gz,0.9274611473083496,Most likely human-generated
OH_2020_7ed2c75f66e84020a7e9a7f4fd412890.html.gz,0.9607843160629272,Most likely human-generated
OH_2020_a682d0dc6a5ef02811ab9bdd9ba1fe69.html.gz,0.9808917045593262,Most likely human-generated
OH_2020_bdefee9aa2149d2ce55b975128daefa9.html.gz,0.9176470637321472,Most likely human-generated
OH_2020_ce65673fdde92531732907281e0778d9.html.gz,1.0472972393035889,Most likely human-generated
OH_2020_cff7f6351a7ae140de0b57c55639d9a1.html.gz,1.0,Most likely human-generated
OH_2020_d2f2fc45e7572c321d856f414e93a2cd.html.gz,0.9624999761581421,Most likely human-generated
OH_2020_d71495926259515dd3f0fdced79c957d.html.gz,0.9729729890823364,Most likely human-generated
OH_2020_e45f9231b16901159da154038142c058.html.gz,0.9729729890823364,Most likely human-generated
OH_2020_e4bb4618f3b270bf7e2fdd4591cbb1ff.html.gz,0.9956521987915039,Most likely human-generated
OH_2020_e5914622a38ac5083fce6a3b05aff425.html.gz,1.0273972749710083,Most likely human-generated
OH_2020_e80ede2632f2bec05e803c6b60a19a9d.html.gz,0.9939393997192383,Most likely human-generated
