Link,Score,Prediction
IL_2023_00d45adb8c59d53e6c1f4e25508cdfc8.html.gz,0.9793103337287903,Most likely human-generated
IL_2023_0372c71a44bef8ffc0a13d8bc46f0587.html.gz,1.0209790468215942,Most likely human-generated
IL_2023_0a3e9f0997a6c6359138b022940e8548.html.gz,0.9668874144554138,Most likely human-generated
IL_2023_151745a1b4695c63d4fa4a8e729e7b84.html.gz,1.0,Most likely human-generated
IL_2023_16ef09b2d558e4366cb7485824d39579.html.gz,0.9583333134651184,Most likely human-generated
IL_2023_180a8d007e6d44c323fd8f702f667cd3.html.gz,1.0,Most likely human-generated
IL_2023_21a8c038e48206714f10f58171ff291b.html.gz,0.9740259647369385,Most likely human-generated
IL_2023_2656122072ce41ee4e541d19f23230ed.html.gz,1.0227272510528564,Most likely human-generated
IL_2023_3d85e4268b5b632d5c67ff20dd724ca8.html.gz,0.9937888383865356,Most likely human-generated
IL_2023_4bc04e520dabf3522e3858cae1e70bfe.html.gz,1.03125,Most likely human-generated
IL_2023_564ccd8a224f4baf778e5e605f670841.html.gz,0.9448275566101074,Most likely human-generated
IL_2023_58d377102589c66ef2a37f407568633a.html.gz,0.9919028282165527,Most likely human-generated
IL_2023_59abc429a2c5f616b48ec8fa77169e25.html.gz,0.9942528605461121,Most likely human-generated
IL_2023_61f9c0719ba78b433787ae2a7ac3589c.html.gz,1.0053191184997559,Most likely human-generated
IL_2023_6601ea2348bd3f15f7b4632cef6a799b.html.gz,1.0,Most likely human-generated
IL_2023_6c5d7a6c86e75e677e82274dd49e78fe.html.gz,1.0246913433074951,Most likely human-generated
IL_2023_7b82b21d5c086163285e671e67f0ba71.html.gz,0.9726027250289917,Most likely human-generated
IL_2023_8acb11d8a8dac85ff50d172cc25f91e8.html.gz,0.8480392098426819,Most likely AI-generated
IL_2023_8ba31cc504165de429e2b2c352eef851.html.gz,0.9370629191398621,Most likely human-generated
IL_2023_9a611a3989325e75b7570d2d0b78bd5e.html.gz,1.0860927104949951,Most likely human-generated
IL_2023_a007085c0dfe356849455af6e2e6fe24.html.gz,0.9923664331436157,Most likely human-generated
IL_2023_a1a1611e16dfec1b88ca3a21babfa417.html.gz,0.9868420958518982,Most likely human-generated
IL_2023_a2296914ea261c6aab8981fc81883897.html.gz,1.0423280000686646,Most likely human-generated
IL_2023_ac43349342f63a2f22b1e9a735a73afb.html.gz,0.9214876294136047,Most likely human-generated
IL_2023_c01dfc967b1e7e32d0bd8e574df9f8cd.html.gz,0.9480000138282776,Most likely human-generated
IL_2023_dd9e805e0f123fa8fbbfaa8c92f215f2.html.gz,0.9127516746520996,Most likely human-generated
IL_2023_de15b05b60faf65ae9748e4fe95144ab.html.gz,0.9860140085220337,Most likely human-generated
IL_2023_e21e5de524872176f350be7e05308138.html.gz,0.9871794581413269,Most likely human-generated
IL_2023_e835373a8c4beb0d80b5fbcb49f28f43.html.gz,0.9525691866874695,Most likely human-generated
IL_2023_f6d1bb7f0c9728ff113512e41b9f604b.html.gz,1.0070422887802124,Most likely human-generated
IL_2023_fd2574bc44564de8d1bec6c7256f0e5e.html.gz,0.9847715497016907,Most likely human-generated
