Link,Score,Prediction
VA_2023_017f1196686ad42ccbf3abcfb2d3b807.html.gz,0.9575757384300232,Most likely human-generated
VA_2023_0c8b440744a11a6b48917ff3b9187bfe.html.gz,1.0235294103622437,Most likely human-generated
VA_2023_1e4f046b6b69e22ba1083fd107bd3828.html.gz,0.9720279574394226,Most likely human-generated
VA_2023_367d0aef112bb7bb7819b2169229958f.html.gz,0.9615384340286255,Most likely human-generated
VA_2023_4a25fbd019d8a93e420f215b8bc828ee.html.gz,1.047904133796692,Most likely human-generated
VA_2023_4b21ea09837cf9b09e0e53398ca287c0.html.gz,0.9814814925193787,Most likely human-generated
VA_2023_592ee5c6d717de5ae527cb0bdfe5c165.html.gz,0.9692307710647583,Most likely human-generated
VA_2023_5deea6d4912ec1d229d00786d937fccd.html.gz,0.9375,Most likely human-generated
VA_2023_7a72e2ae4b2951126b98f1d101c832fe.html.gz,0.9936708807945251,Most likely human-generated
VA_2023_7c405c58e6758f6f9c07216c7d873095.html.gz,1.0701754093170166,Most likely human-generated
VA_2023_7ebaeec478bfc7af0e2866624661b8b2.html.gz,0.9324324131011963,Most likely human-generated
VA_2023_8c6f603b809a814e3f7fc3ea4968c83d.html.gz,1.0060241222381592,Most likely human-generated
VA_2023_95c120f7ecc194d5785c21393fef6077.html.gz,1.0,Most likely human-generated
VA_2023_a707922396b5b5eca3761d6b80df1371.html.gz,0.9927536249160767,Most likely human-generated
VA_2023_a97d9c5e7f8ee77cdaade1b03bf8aa8a.html.gz,0.9433962106704712,Most likely human-generated
VA_2023_aa26f0d5da52829e64d24902b17af8ea.html.gz,0.9387755393981934,Most likely human-generated
VA_2023_e9930afca125745652fd50da29ba1f5f.html.gz,0.9328858852386475,Most likely human-generated
VA_2023_f56c90d8699c110509b8ae9ee71e86f3.html.gz,1.0,Most likely human-generated
VA_2023_f7783d203c337ff149133a6dc0854785.html.gz,1.021276593208313,Most likely human-generated
VA_2023_ff8ec7eb92b97da70d0c230d474095a9.html.gz,1.0,Most likely human-generated
VA_2023_ffa3451d1ff4410ad4c5326f9c44ee86.html.gz,0.9857142567634583,Most likely human-generated
