Link,Score,Prediction
AR_2024_032b15f8c5cd7507be95760a7d6284e3.html.gz,0.9736841917037964,Most likely human-generated
AR_2024_07cefd251d6dd1c9951cc55388b5f89e.html.gz,1.0240963697433472,Most likely human-generated
AR_2024_08492d925ddf7a44de23572ab959da89.html.gz,1.0289855003356934,Most likely human-generated
AR_2024_0d9a939627ae4a8f7e7b3637880d8b96.html.gz,1.0209790468215942,Most likely human-generated
AR_2024_0dff3b75e1f53bdaac5f1a2aef42aac8.html.gz,1.047945261001587,Most likely human-generated
AR_2024_0fd9a4863c87a685b85dc09e6885b093.html.gz,1.0967742204666138,Most likely human-generated
AR_2024_13c6057dc95f5443cb9537b9dda21680.html.gz,1.059880256652832,Most likely human-generated
AR_2024_1a2cd1b50009b337aaa1ba07ebf12b71.html.gz,0.9276315569877625,Most likely human-generated
AR_2024_1f26da5856238d7748b4ba1f7c8ef7de.html.gz,0.9861111044883728,Most likely human-generated
AR_2024_23cb253ae9dd7823ce5902ae4413a91e.html.gz,1.044025182723999,Most likely human-generated
AR_2024_263f1c58e1842d1c09d6cfa36d22b0a1.html.gz,1.0,Most likely human-generated
AR_2024_2b369910eebeac214e216b63d8912964.html.gz,1.0068492889404297,Most likely human-generated
AR_2024_2c0349c37e3763174f1b3a6d21a79782.html.gz,0.9939758777618408,Most likely human-generated
AR_2024_2d424cc797763bae23f4532165a7d0d5.html.gz,1.0432099103927612,Most likely human-generated
AR_2024_2e8b3e6fe1390c038aeb0a45b49fa229.html.gz,0.9960159659385681,Most likely human-generated
AR_2024_2f392b1d30e28b063a3012c64fd70c6e.html.gz,1.0,Most likely human-generated
AR_2024_338f45794dd9eb69e6681fa969a149a2.html.gz,0.9261363744735718,Most likely human-generated
AR_2024_346f7e2e9547b4552d20b0b4e7436b32.html.gz,1.0753424167633057,Most likely human-generated
AR_2024_3e31f13fccd534f380999f25a2221333.html.gz,0.888059675693512,Most likely human-generated
AR_2024_4342e86fbb55b13331c9811374f84b96.html.gz,0.9869281053543091,Most likely human-generated
AR_2024_44433ab493dd7701fbe9e6f91e1ddce1.html.gz,1.0191082954406738,Most likely human-generated
