Link,Score,Prediction
SD_2021_0681fbb2a310d77ccabcb3b07103b8b8.html.gz,0.9935064911842346,Most likely human-generated
SD_2021_2609899e91448c7608cadc03fc73d410.html.gz,0.9838709831237793,Most likely human-generated
SD_2021_2ad7913858b4f7550ccd104f0ade9675.html.gz,1.0314465761184692,Most likely human-generated
SD_2021_43e7e96521470ca84d67f7a9fbe552b6.html.gz,0.9568345546722412,Most likely human-generated
SD_2021_48827c1cb3ca275ea26770528dc9161b.html.gz,1.0308642387390137,Most likely human-generated
SD_2021_540d0a4c27ebdffbdad2adfd0b4e6355.html.gz,1.050561785697937,Most likely human-generated
SD_2021_65ffce325e8a94643e9077a67dbbcc18.html.gz,0.970588207244873,Most likely human-generated
SD_2021_702f981f895c2df5be967d31173e1be6.html.gz,1.0517241954803467,Most likely human-generated
SD_2021_7b2a131a70862987735419202c2dc4fa.html.gz,0.9754601120948792,Most likely human-generated
SD_2021_888f49bc42fd07b8acc1b5d824cbc97b.html.gz,0.9867549538612366,Most likely human-generated
SD_2021_8bab2d5985f1450e9fb985663d8b0a1a.html.gz,1.0129870176315308,Most likely human-generated
SD_2021_91034991a4729596a03e488f358b973a.html.gz,1.0289855003356934,Most likely human-generated
SD_2021_9ad1bd6b2bac74bca49fa8890dccefae.html.gz,0.9932432174682617,Most likely human-generated
SD_2021_bf9f9a35b35901b9938236258a9e7f84.html.gz,1.0,Most likely human-generated
SD_2021_c5181e0056c29e2e7311e4a4414fe77b.html.gz,1.012738823890686,Most likely human-generated
SD_2021_cb0d79b07e516c2f9c73cc45090c022f.html.gz,0.9594594836235046,Most likely human-generated
SD_2021_d1aaa8752e180dac228879b142dd2b6c.html.gz,0.9931972622871399,Most likely human-generated
SD_2021_da465e71a1e95a1332a3cecb32214f2f.html.gz,0.8837209343910217,Most likely human-generated
SD_2021_dc5279a9ed583291c4a972090a76c05c.html.gz,1.0132449865341187,Most likely human-generated
SD_2021_eac5061076a7aea148fba5c1239e562c.html.gz,0.9709302186965942,Most likely human-generated
SD_2021_edae47eda08641fa5fa70f43b545a710.html.gz,1.0483092069625854,Most likely human-generated
