Link,Score,Prediction
OK_2023_1f1fbc848fad16533a7f53b354bd7e9d.html.gz,1.0137931108474731,Most likely human-generated
OK_2023_2daa03b1c523262c97f58ca142f0ba39.html.gz,1.018633484840393,Most likely human-generated
OK_2023_3514c0a5dfed29b4aaedd8e395a976fe.html.gz,1.0201342105865479,Most likely human-generated
OK_2023_5b1add89e5fe1a693e91af2abe6c104a.html.gz,1.0057142972946167,Most likely human-generated
OK_2023_68a3d3d81f02ea5b642b4982e43486be.html.gz,0.935251772403717,Most likely human-generated
OK_2023_75f6fedbc8659a13334c05818396a70a.html.gz,0.9935897588729858,Most likely human-generated
OK_2023_92a2f54389a06a63e48640aadb1d9bbd.html.gz,1.0187499523162842,Most likely human-generated
OK_2023_9d39545fb4184f5768f36878923299ff.html.gz,1.0648648738861084,Most likely human-generated
OK_2023_b6cc8cb99ceb1a4199fc7382f10c8f16.html.gz,1.060150384902954,Most likely human-generated
OK_2023_cea78292b95a3ce777bc5a21a85cc94d.html.gz,1.0205479860305786,Most likely human-generated
OK_2023_dba060ea6299d5fe998f89bdc1445eca.html.gz,1.0571428537368774,Most likely human-generated
OK_2023_e946c8ba83c945f1913d8987d7286693.html.gz,1.0133333206176758,Most likely human-generated
OK_2023_f7853e8a9895dacad62a80ffc8840c41.html.gz,1.038673996925354,Most likely human-generated
OK_2023_fb65409071e735cc07324962debe4c20.html.gz,0.9580152630805969,Most likely human-generated
