Link,Score,Prediction
IA_2024_03a4e6214cc46b2b9d6319cf6061071b.html.gz,0.9770992398262024,Most likely human-generated
IA_2024_0644de64d06f44a84561487a3a4d5151.html.gz,1.0547945499420166,Most likely human-generated
IA_2024_11d02a69df0e9a0ec9d9a76a67f01379.html.gz,0.9653846025466919,Most likely human-generated
IA_2024_1780ba5361ffc80b3d24006b26ef63bb.html.gz,0.9642857313156128,Most likely human-generated
IA_2024_1b6c4baf28e691d0508dc2f1a21272ce.html.gz,0.9929078221321106,Most likely human-generated
IA_2024_1da219534672b7df049aa29c69267b68.html.gz,0.9807692170143127,Most likely human-generated
IA_2024_1eb9288f0fec61886b994020ce164abc.html.gz,0.985401451587677,Most likely human-generated
IA_2024_2087cd1cffc12b7f34d4e18bb6855f12.html.gz,0.9774436354637146,Most likely human-generated
IA_2024_26116c8f4e2ac6b3db5e4af31a015101.html.gz,0.9111111164093018,Most likely human-generated
IA_2024_28c300187c11a810ffafcec24d82e8ed.html.gz,0.9770992398262024,Most likely human-generated
IA_2024_4200c9b188a7c6c8eb95674a7d554251.html.gz,0.9496855139732361,Most likely human-generated
IA_2024_433694c997caaa825381cbc5c7caced5.html.gz,0.9028339982032776,Most likely human-generated
IA_2024_460404b9c3b40ae9e7ee1e790ea04801.html.gz,1.056249976158142,Most likely human-generated
IA_2024_56f0683cf53df6d2fdcbf9e424081cb1.html.gz,1.0,Most likely human-generated
IA_2024_6f387dd1c308a2a608887bf3b3290adc.html.gz,1.0211864709854126,Most likely human-generated
IA_2024_705ceee820cb707cd968f29baffc963e.html.gz,1.012738823890686,Most likely human-generated
IA_2024_7c7fd9635f610f641a888fd3681575cb.html.gz,1.0429447889328003,Most likely human-generated
IA_2024_8c8e083db3eeca67c1bc984026ca12a2.html.gz,0.9935064911842346,Most likely human-generated
IA_2024_8dbad48611cd981c7d01c7239dd09683.html.gz,1.0263158082962036,Most likely human-generated
IA_2024_ad2b07b1906d2bd94e5e6c084bc8c796.html.gz,0.9477124214172363,Most likely human-generated
IA_2024_afb458a35e6f6f33c32b456876f93023.html.gz,0.9503546357154846,Most likely human-generated
IA_2024_c3ca04cbec6e9a17743f6237510f5278.html.gz,1.045454502105713,Most likely human-generated
IA_2024_cdf2e860994cf5cc9af1d3206655d0e8.html.gz,1.0382165908813477,Most likely human-generated
IA_2024_d08abec68ba6f04b8dc3382225bdeca4.html.gz,0.9655172228813171,Most likely human-generated
IA_2024_de02f52d6ef400716e1a887e8ebb19f0.html.gz,0.9935064911842346,Most likely human-generated
IA_2024_e5720618cbe26af3b1c20e1555f7d990.html.gz,0.9669811129570007,Most likely human-generated
IA_2024_ec42d698501cfe9786efa98d059c8540.html.gz,0.9795918464660645,Most likely human-generated
IA_2024_f97c68cc552328c655d3f51ba66df767.html.gz,1.0078740119934082,Most likely human-generated
