Link,Score,Prediction
OR_2023_1111107e0ca076499d3e43043379f3a0.html.gz,1.013071894645691,Most likely human-generated
OR_2023_189797eac9745395a876c4675872b885.html.gz,1.0,Most likely human-generated
OR_2023_2f9e8bfb1a922dd337a73bfd3e4dcbe2.html.gz,0.9324324131011963,Most likely human-generated
OR_2023_48d82d5fdd19f577ebaa379ac09d8b16.html.gz,0.9444444179534912,Most likely human-generated
OR_2023_72545779fbe7aae348fe3f054c8ae477.html.gz,0.9677419066429138,Most likely human-generated
OR_2023_730e4aff7a0c7d2085f61bfb38be7b91.html.gz,0.9586206674575806,Most likely human-generated
OR_2023_8bddcda9d62f1f7568e8d9828816d977.html.gz,0.9870129823684692,Most likely human-generated
OR_2023_975840b4de0044105aae2442d3e4657e.html.gz,1.0466666221618652,Most likely human-generated
OR_2023_dbbcd4087736ff6ed5c1faae39bcfa48.html.gz,1.029850721359253,Most likely human-generated
OR_2023_ee6f2848a1b305d8399fc6161f9b6054.html.gz,0.965753436088562,Most likely human-generated
OR_2023_eec26ea81491a0622cf0092c227dd4ac.html.gz,0.987261176109314,Most likely human-generated
