Link,Score,Prediction
"Opinion | Dear Dems, Don't Walk Into Trump's Foreign Policy Trap",0.9878787994384766,Most likely human-generated
Opinion | Biden vs. Bernie vs. Warren: Why Dems Should Relish the Coming Slugfest,1.0564972162246704,Most likely human-generated
Opinion | Mike Bloomberg Likes to Watch,0.9695122241973877,Most likely human-generated
Opinion | The U.S. -China Trade Deal Was Not Even a Modest Win,1.0,Most likely human-generated
Opinion | The Real Way to Prevent a Repeat of What Just Happened With Iran,1.0139859914779663,Most likely human-generated
Opinion | Why Congress Must Keep Investigating Trump After the Impeachment Trial,0.9934640526771545,Most likely human-generated
Opinion | Why Congress Must Keep Investigating Trump After the Impeachment Trial,1.0,Most likely human-generated
Opinion | Trump's Best Impeachment Lawyer Is Trump,1.0359281301498413,Most likely human-generated
Opinion | The Real Goal of Trump's Middle East Plan,1.005555510520935,Most likely human-generated
Opinion | The Real Goal of Trump's Middle East Plan,0.9944444298744202,Most likely human-generated
Opinion | The Bernie Path Works Only for Bernie,0.9829545617103577,Most likely human-generated
Opinion | Would Bloomberg Be a Second Trump?,0.9884393215179443,Most likely human-generated
Opinion | Would Bloomberg Be a Second Trump?,0.9884393215179443,Most likely human-generated
Opinion | Want to Know What Trump Was Thinking? Ask Him.,0.9556962251663208,Most likely human-generated
Opinion | Some Voting Advice for Wavering Senators,1.0,Most likely human-generated
Opinion | These Were the Iowa Caucuses We Always Needed,1.0052909851074219,Most likely human-generated
"Opinion | Impeachment Was Supposed to Protect the 2020 Election. Now, It's Worse Off.",0.9634146094322205,Most likely human-generated
Opinion | Why Bloomberg's Extravagant Spending Goes Too Far,1.0306748151779175,Most likely human-generated
Opinion | How I Learned to Recognize the Real Mitt Romney,0.9878787994384766,Most likely human-generated
Opinion | Bloomberg's Billionaire Bounce,0.9715909361839294,Most likely human-generated
Opinion | Sanders Would Bring the Center-Left's Collapse to U.S.,1.0059171915054321,Most likely human-generated
Opinion | The Real 'Miscarriage of Justice' in the Stone Sentencing,0.9354838728904724,Most likely human-generated
Opinion | A Conservative Judge Draws a Line in the Sand With the Trump Administration,0.9795918464660645,Most likely human-generated
Opinion | Joe Biden's Campaign About Nothing,1.0537633895874023,Most likely human-generated
Opinion | The Real 'Miscarriage of Justice' in the Stone Sentencing,0.9419354796409607,Most likely human-generated
Opinion | Dems Beware: Don't Be Like Mitt in 2012,0.9512194991111755,Most likely human-generated
Opinion | The White House Shouldn't Downplay the Coronavirus,1.0,Most likely human-generated
Opinion | Why President Trump Can't Pardon Roger Stone,0.9133333563804626,Most likely human-generated
Opinion | Why the Democratic Establishment Still Has Juice,1.0,Most likely human-generated
Opinion | I Helped Fact-Check the 1619 Project. The Times Ignored Me.,0.9937499761581421,Most likely human-generated
Opinion | The Enthralling Brutality of Elizabeth Warren,1.0052632093429565,Most likely human-generated
Opinion | Coronavirus: The Real Reason the Markets Are Worried,0.9820359349250793,Most likely human-generated
Opinion | How Trump's New Intelligence Chief Spread Misinformation About Bowe Bergdahl,0.9602649211883545,Most likely human-generated
Opinion | A Contested Convention Isn't Necessarily a Bad Thing,1.0394736528396606,Most likely human-generated
Opinion | Make Mike Pence the New White House Press Secretary,1.005494475364685,Most likely human-generated
"Opinion | On the Coronavirus, Nationalists Aren't Nationalist Enough",0.9657142758369446,Most likely human-generated
Opinion | Reflections on a Failed Democratic Revolution,0.9836065769195557,Most likely human-generated
Opinion | The 5 Things We Need to Know to Fight Coronavirus,1.0189872980117798,Most likely human-generated
Opinion | Now Trump Really Needs to Talk About the 25th Amendment,1.0251572132110596,Most likely human-generated
Opinion | Why Biden Shouldn't Unify Too Much with Sanders,1.0,Most likely human-generated
Opinion | I Got the Coronavirus Test. My Ordeal Was Just Beginning.,1.059880256652832,Most likely human-generated
Opinion | Somebody Needs a Bailout. But Not Everybody.,0.945652186870575,Most likely human-generated
Opinion | Only the 'Crooks' of the Pharmaceutical Industry Can Save Us Now,1.0057803392410278,Most likely human-generated
Opinion | It's Time to Build Ventilators Like We're at War and Our Lives Depend on It,1.0125000476837158,Most likely human-generated
"Opinion | ""I'm an ER Doc and I'm Scared""",0.987261176109314,Most likely human-generated
"Opinion | No, Coronavirus Isn't Proof We Need Socialism",0.9226190447807312,Most likely human-generated
"Opinion | Joe Biden, the Cipher Presidential Candidate",0.977011501789093,Most likely human-generated
Opinion | Will the 2020 Elections Be Another Victim of the Coronavirus?,1.0064934492111206,Most likely human-generated
Opinion | Where's Joe? What Biden Could Learn From Reagan About Running in a Crisis,1.0489130020141602,Most likely human-generated
Opinion | I Helped Write the STOCK Act. It Didn't Go Far Enough.,0.9748427867889404,Most likely human-generated
Opinion | Restart the Economy? Let Trump Lead the Way.,1.0113636255264282,Most likely human-generated
Opinion | Stop Hating on the Hoarders,1.0276243686676025,Most likely human-generated
Opinion | Trump's Claims of Victory Usually Mean Someone Else Loses,1.0223463773727417,Most likely human-generated
"Opinion | When It Comes to Trump, Media Shouldn't Keep Its Distance",1.0218579769134521,Most likely human-generated
Opinion | Coronavirus vs. Governors: Ranking the Best and Worst State Leaders,0.9651162624359131,Most likely human-generated
"Opinion | How China's fake news machine is rewriting the history of Covid-19, even as the pandemic unfolds",1.0,Most likely human-generated
Opinion | We'll Need Vote-by-Mail in November. And It Could Be a Legal Nightmare.,1.0,Most likely human-generated
Opinion | We Can Do More to Protect Workers Fighting Covid-19,1.013071894645691,Most likely human-generated
Opinion | Trump Anoints a New Class of Media Stars,1.0157067775726318,Most likely human-generated
Opinion | Why Vote-by-Mail Could be a Legal Nightmare in November,1.0,Most likely human-generated
Opinion | Blaming the WHO and China Is Not Scapegoating,1.0310559272766113,Most likely human-generated
Opinion | Now's Not the Time for Isolationism,0.9862068891525269,Most likely human-generated
Opinion | Blaming the WHO and China Is Not Scapegoating,1.024844765663147,Most likely human-generated
Opinion | Behind Trump's Strange 'Invisible Enemy' Rhetoric,1.0320513248443604,Most likely human-generated
"Opinion | Bernie Sanders Didn't Win the Ideas Primary, Either",0.9395973086357117,Most likely human-generated
Opinion | The Absurd Case Against the Coronavirus Lockdown,0.9936708807945251,Most likely human-generated
Opinion | The Absurd Case Against the Coronavirus Lockdown,0.9874213933944702,Most likely human-generated
Opinion | Biden Is to 2020 as Trump Was to 2016,0.9883720874786377,Most likely human-generated
Opinion | Here's How to Cover Uninsured Americans During the Pandemic,0.9673202633857727,Most likely human-generated
Opinion | Science Alone Can't Tell Us How to Respond to the Coronavirus,0.9642857313156128,Most likely human-generated
Opinion | McEnany Played Her Part Perfectly for the Only Audience that Matters,1.0548779964447021,Most likely human-generated
Opinion | What's Behind China's New Behavior in Europe,0.9709302186965942,Most likely human-generated
