Link,Score,Prediction
TX_2022_11f8fde3f0b8633ba3fdee1c8f89a030.html.gz,0.960629940032959,Most likely human-generated
TX_2022_1ab5ba6d6277c4078d25f63348d16398.html.gz,1.0573248863220215,Most likely human-generated
TX_2022_243edb270c62c1214e12f9df1df7e281.html.gz,0.9251700639724731,Most likely human-generated
TX_2022_4195ecc9e3e160b1d6db8a900a05a263.html.gz,0.9588235020637512,Most likely human-generated
TX_2022_7b3ad4821c3d2251b671b50c665fde73.html.gz,1.0444444417953491,Most likely human-generated
TX_2022_9c7f6fac2ec75214356f84fd3acf5a29.html.gz,0.9523809552192688,Most likely human-generated
TX_2022_b0ccac4f823befd745b6f7e33561170d.html.gz,0.9731543660163879,Most likely human-generated
TX_2022_cff3792d455566870075a504155ff021.html.gz,0.9637681245803833,Most likely human-generated
TX_2022_d63bedec3137f21a38a3fe83cb7a42a9.html.gz,1.0,Most likely human-generated
TX_2022_f2f9815b623ed9f6e835ca1bf3d28d35.html.gz,0.9802631735801697,Most likely human-generated
