Link,Score,Prediction
RI_2023_07c0eb356144be18b0b3bf9525aeb25c.html.gz,1.0545454025268555,Most likely human-generated
RI_2023_0dfaf8b34caf4240e10a82787364652d.html.gz,1.0,Most likely human-generated
RI_2023_19b053674653b0ce32028a5e1667674d.html.gz,1.0342856645584106,Most likely human-generated
RI_2023_212cf341ba1d086ef8aa9f191b44a1db.html.gz,0.984000027179718,Most likely human-generated
RI_2023_24d88653af88dabe490e2c55e389ea06.html.gz,0.9455782175064087,Most likely human-generated
RI_2023_26403f22e34d83f04b9fe30720a4d7fb.html.gz,1.026178002357483,Most likely human-generated
RI_2023_26b0077805568280b195c5d0a72707ba.html.gz,1.0219780206680298,Most likely human-generated
RI_2023_2ab1179eb28ba6d1f902d8ed27cf9c2f.html.gz,1.0058823823928833,Most likely human-generated
RI_2023_2b4d36319e285881de7dd8395cbe1aa4.html.gz,1.0439560413360596,Most likely human-generated
RI_2023_2f1d519515968d6b1ed8d62b49d38613.html.gz,1.0774648189544678,Most likely human-generated
RI_2023_4c7df6b82173312e8e82cf7256188c86.html.gz,1.074324369430542,Most likely human-generated
RI_2023_4d829ea0c43a1b9ae7f8be51a1b2367e.html.gz,1.0,Most likely human-generated
RI_2023_57016f23f7c0d9386878022293ec2fec.html.gz,1.0,Most likely human-generated
RI_2023_5e4f4d6fc4e615242d4c80e949c6dc17.html.gz,0.9757575988769531,Most likely human-generated
RI_2023_63db07596313d2254bf1fc9aef122adc.html.gz,0.908450722694397,Most likely human-generated
RI_2023_663a1349d4285a95b1d488f1f3b42c6c.html.gz,1.0211267471313477,Most likely human-generated
RI_2023_67eb84515325d0289b065beb9fba19f6.html.gz,1.0062111616134644,Most likely human-generated
RI_2023_6c7403eabae3eb3832c3e79308460762.html.gz,0.9863013625144958,Most likely human-generated
RI_2023_6eeef3d899385a1c9718a52e26fda3a7.html.gz,0.9756097793579102,Most likely human-generated
RI_2023_74a507dafc80f93db37c8a219d1ffdf3.html.gz,0.9436619877815247,Most likely human-generated
RI_2023_74ce5c15ca5ae8e7ce7f6e98e35ad407.html.gz,0.942307710647583,Most likely human-generated
RI_2023_85e4da0957304b89462b6a713106cd51.html.gz,1.1235954761505127,Most likely human-generated
RI_2023_87aa600cc769f9c8c04d0a8a4e0efc05.html.gz,1.0188679695129395,Most likely human-generated
RI_2023_8f8d8835d3ada831c4b3726761a44614.html.gz,0.9495798349380493,Most likely human-generated
RI_2023_94b89bf0b12cd330684f20c4d378309b.html.gz,0.9558011293411255,Most likely human-generated
RI_2023_967c78e5afdd7a2e647f942b5305dbcf.html.gz,1.0,Most likely human-generated
RI_2023_bb5e23a880d779a5ea71106e49c9583f.html.gz,0.9806451797485352,Most likely human-generated
RI_2023_c196bb1a554c45738fab8d2ee4466ef2.html.gz,0.918367326259613,Most likely human-generated
RI_2023_c4d8a4f1739b439a0cee73b22e41ab87.html.gz,0.9722222089767456,Most likely human-generated
RI_2023_da11148663aad42a105772168266e27d.html.gz,1.051948070526123,Most likely human-generated
RI_2023_dac5a62a2aa6887701d4bfe5037eb9b7.html.gz,0.9233576655387878,Most likely human-generated
RI_2023_e233000c3285cfd433741f0af2452697.html.gz,1.0121212005615234,Most likely human-generated
RI_2023_e28b04fbff7e052c40e09a6adca009c9.html.gz,1.0108696222305298,Most likely human-generated
RI_2023_f9e79103255880fe362ea82559029abc.html.gz,0.9139072895050049,Most likely human-generated
RI_2023_ff45a38f47427ff869f34ca177893232.html.gz,0.9556962251663208,Most likely human-generated
