Link,Score,Prediction
NC_2024_018a739bdeffbd2ed21d168b74ad70ae.html.gz,1.0191082954406738,Most likely human-generated
NC_2024_04d67901c3feb81b8fb330ad14deb174.html.gz,1.0283688306808472,Most likely human-generated
NC_2024_075623011e09c434574a9d9d781b3c74.html.gz,1.0058823823928833,Most likely human-generated
NC_2024_09e317d43bc3ddc6e887c3a88bd8c0fe.html.gz,0.9064748287200928,Most likely human-generated
NC_2024_0b8e809cde64756d98c4e6572c3258f5.html.gz,1.0,Most likely human-generated
NC_2024_0d3766ecfe8f76ecf77932b684c5d0b5.html.gz,1.021276593208313,Most likely human-generated
NC_2024_0d41bdef3047db648c0b380c031faa13.html.gz,0.9948453903198242,Most likely human-generated
NC_2024_0e8df73b8a2a1401de7fdd09df43d6b2.html.gz,1.0060241222381592,Most likely human-generated
NC_2024_1135dceb399de5f0631cd4c05bb9faee.html.gz,1.0422534942626953,Most likely human-generated
NC_2024_11588a5db525ae688a83d3d97f56896c.html.gz,0.9864864945411682,Most likely human-generated
NC_2024_12c50e889cc11709d0d38237c30830f9.html.gz,1.0,Most likely human-generated
NC_2024_1776dcec7aa94116405c75a8b38a681f.html.gz,0.9935897588729858,Most likely human-generated
NC_2024_18c6756569f711a453e2c7330fe412f9.html.gz,1.0499999523162842,Most likely human-generated
NC_2024_18d44c7b09aade7bc01e4af22db4538a.html.gz,1.0234375,Most likely human-generated
NC_2024_1968b4ddc54d6f62448bdd26f297b968.html.gz,1.0259740352630615,Most likely human-generated
NC_2024_197cf8497b4bfd9b6591426155b8cd3f.html.gz,1.0469799041748047,Most likely human-generated
NC_2024_199abcf59c653c185f29850b64f5afa4.html.gz,0.9590163826942444,Most likely human-generated
NC_2024_19c5018f79f70cf741991abae77dd0fa.html.gz,1.0,Most likely human-generated
NC_2024_19d9c115c4beb4bbf356757b20853d86.html.gz,0.9940119981765747,Most likely human-generated
NC_2024_1c2acdc90c66a3e7b4f16ed20ad33fda.html.gz,0.9932432174682617,Most likely human-generated
NC_2024_1ddcb403799a6620295521c38c07c966.html.gz,0.9741935729980469,Most likely human-generated
NC_2024_20ebab7ec367118f22d49effb94318a6.html.gz,1.0517241954803467,Most likely human-generated
NC_2024_21a260a0a40196393ee560454275b100.html.gz,0.9668874144554138,Most likely human-generated
NC_2024_27865eed77164e18c0406c9d965d5f10.html.gz,1.0359281301498413,Most likely human-generated
NC_2024_29d78575cc157a1537da927c23b2aa6f.html.gz,1.0144927501678467,Most likely human-generated
NC_2024_2ce56aed9a8b3611a02d3adee5a1a85f.html.gz,1.0,Most likely human-generated
NC_2024_2fd15273ed791cac4aa8b0a32e3af340.html.gz,1.0558375120162964,Most likely human-generated
NC_2024_31400d3be2c021f80be17b1171787f06.html.gz,1.0054644346237183,Most likely human-generated
NC_2024_31996ac160a3264a4b5828d49879b558.html.gz,0.9931972622871399,Most likely human-generated
NC_2024_31c2a0bbf82d4b046c2d7f13b816ebe7.html.gz,0.9444444179534912,Most likely human-generated
NC_2024_3434ee46876a56293aedc083aac675c2.html.gz,1.0062893629074097,Most likely human-generated
NC_2024_36030b980be604fb541aff15fd634b2f.html.gz,0.9513888955116272,Most likely human-generated
NC_2024_3870e9e94210a8ecf64417c9ebf32c0b.html.gz,1.0052083730697632,Most likely human-generated
NC_2024_39d98f30bdebc1664987a238bb58bf61.html.gz,0.9090909361839294,Most likely human-generated
