Link,Score,Prediction
SD_2023_0ce252614aa1a698aa033c6061d057e5.html.gz,0.9808917045593262,Most likely human-generated
SD_2023_1314a3c3cf303d8e91b998e85def26a3.html.gz,0.9708333611488342,Most likely human-generated
SD_2023_19b2f493170b50b9e14ca3cbcc300f6d.html.gz,0.9299362897872925,Most likely human-generated
SD_2023_19b5a0e2afa52a0c548058f72e657b0b.html.gz,1.0178571939468384,Most likely human-generated
SD_2023_1d703cf3b705f9d1f8dcd14ea7a84d42.html.gz,1.0670732259750366,Most likely human-generated
SD_2023_262e9551bfbc5c1017b385a1bbc1ba51.html.gz,0.965753436088562,Most likely human-generated
SD_2023_32e61b297c76c013cd336bc27f14cb3a.html.gz,0.9935483932495117,Most likely human-generated
SD_2023_4bdbf76048620cffe7c3619b8b1b138c.html.gz,0.9432623982429504,Most likely human-generated
SD_2023_4e2305094c9b434564960ffce4edf852.html.gz,1.0616438388824463,Most likely human-generated
SD_2023_6054ecb76ebb0a7451a6c8062c2c6fcf.html.gz,0.9467455744743347,Most likely human-generated
SD_2023_60c4a04ef81f96f4ff4bc93c527c47a4.html.gz,0.9866666793823242,Most likely human-generated
SD_2023_6201e2c135e55154399dc4361f06c0ae.html.gz,0.9832402467727661,Most likely human-generated
SD_2023_69cf96c73b960c796f56aa93ccde4141.html.gz,1.0437158346176147,Most likely human-generated
SD_2023_717dc806ed7a4a48dc06eb7b272c8695.html.gz,0.9939024448394775,Most likely human-generated
SD_2023_78063c63d1bfb2dc7141f09c2c8a94b4.html.gz,1.0251572132110596,Most likely human-generated
SD_2023_7a03223720781ad43b15364c8433ba69.html.gz,0.9506173133850098,Most likely human-generated
SD_2023_7c48bc18b22d9a1464039336ae372628.html.gz,1.0432099103927612,Most likely human-generated
SD_2023_7fb0c1e56ea72212c62564b2b5dcc3d4.html.gz,1.057692289352417,Most likely human-generated
SD_2023_81cf0e113c9aa782a8def7fbb41dfd58.html.gz,0.9729729890823364,Most likely human-generated
SD_2023_82c3a47e2e18a83577a7ba9204b83495.html.gz,1.006250023841858,Most likely human-generated
SD_2023_84460cb4e76b8b83e08602aa3bbc9d02.html.gz,1.0057470798492432,Most likely human-generated
SD_2023_84773bb7fc9ec8082ff0c7e12e757882.html.gz,1.045714259147644,Most likely human-generated
SD_2023_8d2d4ba3eb3a2e52d54510173989d367.html.gz,1.0331491231918335,Most likely human-generated
SD_2023_93b38cf793a85525517da0b5db125645.html.gz,1.0118342638015747,Most likely human-generated
SD_2023_96f5a2c8dc6d61079066b98f3229cda6.html.gz,1.029197096824646,Most likely human-generated
SD_2023_98740ef73e5d3c896a4d077a89b77de4.html.gz,1.0243902206420898,Most likely human-generated
SD_2023_9a4ae5de57643cd4aa4c4e7d4f19cf12.html.gz,0.9819276928901672,Most likely human-generated
SD_2023_a0bd6fb80ccd78e2d46e917a0b9a1b95.html.gz,1.0,Most likely human-generated
SD_2023_a20c4180f7422ea4dedaf9fd43497831.html.gz,0.9919028282165527,Most likely human-generated
SD_2023_af9192b9376749d1d1488299865bf3cf.html.gz,0.9192307591438293,Most likely human-generated
SD_2023_bc3ab60c93c074ba12e7cd1c0f89195b.html.gz,1.044025182723999,Most likely human-generated
SD_2023_be3c02324794d7d761c942609525d625.html.gz,0.808080792427063,Most likely AI-generated
SD_2023_c33828b1ca847f5d228a56c1eb677ad6.html.gz,0.9363057613372803,Most likely human-generated
SD_2023_c540106a91826cf1752fd7eee0c9203d.html.gz,0.994350254535675,Most likely human-generated
SD_2023_d04190076aaadbb3b267822308527ae9.html.gz,1.026737928390503,Most likely human-generated
SD_2023_dc7098712ba59a447c98eabb6caa7edf.html.gz,0.9539473652839661,Most likely human-generated
SD_2023_dcdb1bdd73e1b85662567f5d1c45263f.html.gz,1.0270270109176636,Most likely human-generated
SD_2023_e7b6a9eff6ea1014ff031103f219009a.html.gz,0.9932885766029358,Most likely human-generated
SD_2023_f117e0b0bb2cdc6274ff7ce78e56f8a8.html.gz,1.0225988626480103,Most likely human-generated
SD_2023_f436ebeaa0c61203756f6321bf4ff85f.html.gz,0.9785714149475098,Most likely human-generated
SD_2023_f4ba782a82869c7bd9368e6e9c2be124.html.gz,1.006250023841858,Most likely human-generated
SD_2023_f66c63d0ef46a1f595f26cc5fc176595.html.gz,0.9234449863433838,Most likely human-generated
SD_2023_f9fb78add2273af1fa1e1c4cf4a83bcc.html.gz,0.9509202241897583,Most likely human-generated
SD_2023_ffee659d6652ca9c47943ee2dfaffdaa.html.gz,0.9801324605941772,Most likely human-generated
