Link,Score,Prediction
SD_2024_08ee462699bc7943debed192fa545285.html.gz,0.9846153855323792,Most likely human-generated
SD_2024_0a868ee097df4873c9ebf583bec7af26.html.gz,0.9624060392379761,Most likely human-generated
SD_2024_108c81f1f3737bd8cf9db7e361e88fc8.html.gz,0.9929078221321106,Most likely human-generated
SD_2024_2fdb1740b869069ba6616ccb41f37bed.html.gz,1.0331125259399414,Most likely human-generated
SD_2024_498468de442687896260054b6e10999c.html.gz,1.0,Most likely human-generated
SD_2024_a2d62dd37f4608be315b743bfaa2edac.html.gz,1.0536912679672241,Most likely human-generated
SD_2024_a6338e18729f67b34858953735815a23.html.gz,0.9784172773361206,Most likely human-generated
SD_2024_acf8be7fdf6d0865b784cb88b55ee446.html.gz,1.0337837934494019,Most likely human-generated
SD_2024_b3a6f72478cc6ae2175a6477eb69db7d.html.gz,0.9554139971733093,Most likely human-generated
SD_2024_b963e882815aa2c1e2027828b60e208a.html.gz,0.9128788113594055,Most likely human-generated
SD_2024_db6bfe9b8f888e090080944bf3d11c5f.html.gz,1.02173912525177,Most likely human-generated
SD_2024_e1a080d00b276e5ef4583df9a0c24d80.html.gz,1.03125,Most likely human-generated
