Link,Score,Prediction
Opinion: Dave Chappelle walked off stage. Blame audience members who don't follow rules,1.013157844543457,Most likely human-generated
Opinion: One pilot's early take on the Tokyo airport runway collision,1.0722891092300415,Most likely human-generated
Opinion: The real lesson of Claudine Gay's resignation,1.010471224784851,Most likely human-generated
Opinion: AI comes for the journalists,1.1028571128845215,Most likely human-generated
Opinion: Trump's real vulnerability,1.0,Most likely human-generated
Opinion: How Haley and DeSantis could pull ahead in Iowa,1.0284091234207153,Most likely human-generated
Opinion: These people are fat. It's none of your business,0.9815950989723206,Most likely human-generated
Opinion: This cultural touchstone is killing far too many Americans,1.0062111616134644,Most likely human-generated
Opinion: I'm an emergency room doctor. Here's what has me worried if Trump comes back to power,1.059999942779541,Most likely human-generated
Opinion: What would happen if the West stopped playing by Russia 's rules?,1.005494475364685,Most likely human-generated
Opinion: Netanyahu's reckoning comes after the war. That's a dangerous timeline,1.005494475364685,Most likely human-generated
Opinion: Nikki Haley shows why she has an edge over Ron DeSantis,1.021276593208313,Most likely human-generated
Opinion: ISIS attacks spotlight the simmering mess growing in the Middle East,0.9702380895614624,Most likely human-generated
Opinion: Welcome to the end of college football as we know it,1.0058139562606812,Most likely human-generated
Opinion: The brutality and racism I saw on Jan. 6,0.9709302186965942,Most likely human-generated
Opinion: Supreme Court steps into a minefield,1.0120482444763184,Most likely human-generated
Opinion: Trump's comments about the Civil War are even worse than Nikki Haley's,1.0,Most likely human-generated
Opinion: Reformed Golden Globes made for everything but a better show,1.0277777910232544,Most likely human-generated
Opinion: A turning point in Ukraine,1.05325448513031,Most likely human-generated
Opinion: Trump spreads birther lie about Nikki Haley,1.0297619104385376,Most likely human-generated
Opinion: Iowa may decide if there's a GOP alternative to Trump,1.0352941751480103,Most likely human-generated
Opinion: The real problem with the Pope's extreme words about surrogacy,0.9553072452545166,Most likely human-generated
Opinion: Why Trump's immunity claim fell flat in court,1.0119760036468506,Most likely human-generated
Opinion: Who won the Republican presidential debate?,1.045161247253418,Most likely human-generated
Opinion: What our obsession with Gypsy Rose Blanchard says about us,0.9875776171684265,Most likely human-generated
Opinion: The fear of physical harm that keeps even Trump's supporters in line,1.016853928565979,Most likely human-generated
Opinion: Two key questions hang over Taiwan's election,1.0141843557357788,Most likely human-generated
Opinion: What Hunter Biden and Donald Trump are teaching us,0.9672130942344666,Most likely human-generated
Opinion: Bill Belichick and Nick Saban were the kind of coaches I tell my therapist about,1.0062111616134644,Most likely human-generated
Opinion: This movie takes on American individualism at its most absurd,1.0056496858596802,Most likely human-generated
Opinion: What the Alaska Airlines incident tells us about flight safety,0.957317054271698,Most likely human-generated
Opinion: Listen to what Trump's own officials have to say about him,1.0,Most likely human-generated
Opinion: DEI and free speech can go hand in hand,1.0523256063461304,Most likely human-generated
Opinion: The former president who did what Trump is trying to do,1.0179641246795654,Most likely human-generated
Opinion: 'Vivek is not MAGA.' Trump's bitter breakup with Ramaswamy,0.9710982441902161,Most likely human-generated
Opinion: Iowans too often get it wrong,1.0531915426254272,Most likely human-generated
Opinion: Trump's Iowa win shows the Republican nomination is no contest,0.9885057210922241,Most likely human-generated
Opinion: Psychology explains why the Israeli - Palestinian conflict is so intractable,1.0416666269302368,Most likely human-generated
Opinion: Abbott's war on migration has led to another tragedy in Texas,1.0182926654815674,Most likely human-generated
"Opinion: Biden's supporters need to get real about Trump, and fast",1.0648648738861084,Most likely human-generated
Opinion: The repercussions from Taiwan's election will continue for years,0.95652174949646,Most likely human-generated
Opinion: War is a way of life for the Houthis,0.949999988079071,Most likely human-generated
Opinion: Trump's dangerous echoes of the eugenics movement,1.0246913433074951,Most likely human-generated
Opinion: Why so many Americans are misapplying 'settler colonialism' to Gaza,0.9204545617103577,Most likely human-generated
Opinion: What's really working for Trump,0.959770143032074,Most likely human-generated
Opinion: Why a new study gives a misleading view of inequality in America,1.0235294103622437,Most likely human-generated
Opinion: The Civil War mythology that's become a talking point of the 2024 campaign,1.0613497495651245,Most likely human-generated
Opinion: New data is making us rethink the narrative about runaway inequality,0.9637681245803833,Most likely human-generated
"Opinion: Teen obsession with skin care products isn't a trend, it's a warning sign",1.1092896461486816,Most likely human-generated
Opinion: Trump's behavior in E. Jean Carroll trial is a chilling trigger for sexual assault survivors,1.01694917678833,Most likely human-generated
Opinion: America needs Trump's election subversion trial to be televised,1.0809248685836792,Most likely human-generated
Opinion: Do Republicans really want to solve the border crisis?,1.0167597532272339,Most likely human-generated
Opinion: Why New Hampshire isn't Haley's only shot to be the GOP's nominee,1.0439560413360596,Most likely human-generated
Opinion: Germany 's far right is surging. Banning it would backfire,1.077380895614624,Most likely human-generated
Opinion: Katherine Heigl was right all along,1.0061349868774414,Most likely human-generated
Opinion: 'Origin' brilliantly exposes America 's caste system. Here's how we tear it down,1.0,Most likely human-generated
Opinion: What the West gets wrong on Stalin and Putin,1.0055248737335205,Most likely human-generated
Opinion: Our possibly short national nightmare,1.0124223232269287,Most likely human-generated
Opinion: Here's why voters in New Hampshire will be writing in Biden's name on the ballot,1.0059523582458496,Most likely human-generated
Opinion: Nikki Haley's right. Red flags about Trump's mental fitness can't be ignored,1.0347222089767456,Most likely human-generated
Opinion: It's over 100 days since you were taken hostage. Our baby girl is crawling now,0.9946808218955994,Most likely human-generated
Opinion: The real problem the DeSantis withdrawal poses for Haley,1.021621584892273,Most likely human-generated
Opinion: The absurdity of the return-to-office movement,1.0059523582458496,Most likely human-generated
Opinion: It's too dangerous to allow this antiquated law to exist any longer,0.9642857313156128,Most likely human-generated
"Opinion: Elon Musk, Harvard and the art of 'taking action' while doing nothing",0.9945054650306702,Most likely human-generated
Opinion: Why the 'Barbie' Oscars snubs are so enraging,1.0274724960327148,Most likely human-generated
"Opinion: In victory, Trump loses it",0.9230769276618958,Most likely human-generated
Opinion: Defendants in the Georgia election case have no reason to complain - even if the Fani Willis allegations are true,0.9627329111099243,Most likely human-generated
Opinion: It's frightening to imagine what Donald Trump could do with the CIA in a second term,1.0531915426254272,Most likely human-generated
Opinion: This is the difference Jon Stewart could make in the 2024 election,1.0059880018234253,Most likely human-generated
Opinion: How Wayne LaPierre ran the NRA as 'Wayne's World',0.9824561476707458,Most likely human-generated
Opinion: Democrats could be repeating their mistake from 2016,1.0116279125213623,Most likely human-generated
Opinion: We Brits don't need tea-brewing advice from Americans,1.0424528121948242,Most likely human-generated
Opinion: The 'Barbie' outrage is missing a very important point',0.9691358208656311,Most likely human-generated
Opinion: The actual hidden truth about UFOs,0.9943820238113403,Most likely human-generated
Opinion: America failed to heed Stanley Kubrick's warnings. Trump is the proof,0.9939024448394775,Most likely human-generated
Opinion: Why newsroom layoffs are so dangerous,0.9823529124259949,Most likely human-generated
Opinion: E. Jean Carroll's victory over Trump is every survivor's victory,0.9836065769195557,Most likely human-generated
Opinion: As a child I fled the Nazis. As a grandmother I survived Hamas attack. Why this Holocaust Memorial Day is different,0.9693251252174377,Most likely human-generated
Opinion: Everyone has an opinion about Martha Stewart,1.0253807306289673,Most likely human-generated
"Opinion: Kyte Baby isn't the problem here, American parenthood is",0.9709302186965942,Most likely human-generated
Opinion: What could fall apart after Trump's victory,0.9824561476707458,Most likely human-generated
