Link,Score,Prediction
NJ_2021_1a33cd6e05603050347c2b30db3cb3af.html.gz,1.0337837934494019,Most likely human-generated
NJ_2021_1c225747f133a7a36777b9c2f748b391.html.gz,1.0555555820465088,Most likely human-generated
NJ_2021_5d199df9712a13b12c572b0be442f09e.html.gz,1.0555555820465088,Most likely human-generated
NJ_2021_64c9bf1c00a1f9da95b2ac41b8abc692.html.gz,1.0399999618530273,Most likely human-generated
NJ_2021_7bb5e9cebbdd779b69cb69fcca36b47e.html.gz,0.9558823704719543,Most likely human-generated
NJ_2021_7c9e2d6c9a4fc23a4fc34b1388c48c8a.html.gz,0.9577465057373047,Most likely human-generated
NJ_2021_808464ba59c62467cdba21a50d00650f.html.gz,0.9850746393203735,Most likely human-generated
NJ_2021_827c2b3efc12b16bfb9786e79a75a7e2.html.gz,0.9733333587646484,Most likely human-generated
NJ_2021_b96df0677f31533d12c1004f315c6946.html.gz,1.0571428537368774,Most likely human-generated
NJ_2021_bb0859f818b1480f0ded0ec98087a31f.html.gz,0.9941520690917969,Most likely human-generated
NJ_2021_c2a471512b4da9db7b65eda525b7798a.html.gz,0.9756097793579102,Most likely human-generated
