Link,Score,Prediction
CA_2020_154631d049fd396fe4b24563a43007bd.html.gz,0.9863945841789246,Most likely human-generated
CA_2020_1758324f732d2a3b3f868de31f949031.html.gz,1.0201342105865479,Most likely human-generated
CA_2020_178d45b77617ca3803ba585119e579e1.html.gz,1.0625,Most likely human-generated
CA_2020_29891a5c228bbd2c9889629abf45f690.html.gz,0.9586206674575806,Most likely human-generated
CA_2020_4bf84b89cc995c89c43f75da68d9f3bd.html.gz,1.0,Most likely human-generated
CA_2020_5438bebae6753a409ea9f544c35a7f7a.html.gz,1.0064102411270142,Most likely human-generated
CA_2020_714153d6643d40a820568dc10654c47c.html.gz,1.0055866241455078,Most likely human-generated
CA_2020_794618784437ad23ab91a7e0bc3844ea.html.gz,1.024844765663147,Most likely human-generated
CA_2020_9feb6e7290b8f75c279bc05525188ff5.html.gz,0.9855072498321533,Most likely human-generated
CA_2020_ab7dd6adccae66e4f3a918d6977764a8.html.gz,1.0219780206680298,Most likely human-generated
CA_2020_affc7ef87b126261ab1b55c2fb5de72e.html.gz,1.0111111402511597,Most likely human-generated
CA_2020_b31f61a0c956b17136b013771a188b60.html.gz,0.9753086566925049,Most likely human-generated
CA_2020_bb9bd0a7b5916459a6dafd14decbdf17.html.gz,1.0370370149612427,Most likely human-generated
CA_2020_c1ead1664fde0c24a9318d865e71893e.html.gz,1.0342856645584106,Most likely human-generated
CA_2020_dfdec5cf4069f7791f3ef15c997a5151.html.gz,1.0108108520507812,Most likely human-generated
CA_2020_e998111d12f62ecf9fff386b1dcad3a0.html.gz,0.9890710115432739,Most likely human-generated
