Link,Score,Prediction
OK_2021_08e4bf441460f3ff0ecd441ae6aa8ef0.html.gz,1.0062893629074097,Most likely human-generated
OK_2021_0fe55f320e99a122da5de35e1ddad149.html.gz,1.0558658838272095,Most likely human-generated
OK_2021_3f19d30c1405a383c7e26e33b3ad38a5.html.gz,1.0559005737304688,Most likely human-generated
OK_2021_41bf955c2e39fc30ae8fd90616b42bbd.html.gz,1.0062111616134644,Most likely human-generated
OK_2021_42fea9e9ce85896e3173a9a05ee07e1d.html.gz,1.0419580936431885,Most likely human-generated
OK_2021_4c55a63cc851b89df033db4e81f3f044.html.gz,0.977142870426178,Most likely human-generated
OK_2021_7464f3ec8e980adf15e01394833382fc.html.gz,1.0268456935882568,Most likely human-generated
OK_2021_8874f73db4a02416fd2e68e1604fc2f7.html.gz,1.0,Most likely human-generated
OK_2021_92be8d53cd4186f86112ce2326739d31.html.gz,0.9437500238418579,Most likely human-generated
OK_2021_a0cbce69ecd0180d81ea95323c11d573.html.gz,0.9813664555549622,Most likely human-generated
OK_2021_a1a77fdf8f0798b1b056612094329dea.html.gz,0.9729729890823364,Most likely human-generated
OK_2021_a349364a4149dec55d7c0e57a2410640.html.gz,1.0122699737548828,Most likely human-generated
OK_2021_ce0743e08df3f908b733e844c666ea3a.html.gz,0.9791666865348816,Most likely human-generated
OK_2021_de6a1f29686f891186805fdaf5615046.html.gz,0.992094874382019,Most likely human-generated
