File,label,score
AZ_2024_25981849960ca17785b514ada41d93c3.html.gz,HUMAN,0.2710243535880155
AZ_2024_34ab6f34dba007a9fcc08475eb72a08d.html.gz,HUMAN,0.1946527290826064
AZ_2024_3e7804edabec4d8a2230dddc77e32fb6.html.gz,HUMAN,0.22527441618303853
AZ_2024_8743cd3e380a7b16a7b9bf85ef6f0693.html.gz,HUMAN,0.30131231954815574
AZ_2024_8353d8eec129462355a17a7b11d519aa.html.gz,HUMAN,0.2666665265761927
AZ_2024_79f316698c5fe2571dbc6a94c6925faa.html.gz,HUMAN,0.18836506899892722
AZ_2024_a13bc62acdbd801366ef2c7a7945afc9.html.gz,HUMAN,0.19323407071283583
AZ_2024_b4677eb7618025215e33fb61f10f25cc.html.gz,HUMAN,0.19085092025063977
AZ_2024_b5d3202e8c56f505be03c11f96430266.html.gz,AI,0.7550909257255478
AZ_2024_e28639a0e91bef6f5e2e50d0fae5617a.html.gz,HUMAN,0.19459484641099725
AZ_2024_b8bda89f15abb077537560a4eba6d80e.html.gz,HUMAN,0.19612566092698258
AZ_2024_c3fd042be025615c6a616040c6aa3662.html.gz,HUMAN,0.2860811197922803
