Link,Score,Prediction
NE_2021_065baf0419893d6258dcac171aee63f8.html.gz,0.9746835231781006,Most likely human-generated
NE_2021_07da4a7a923ca18837c5d0f7a2f460b5.html.gz,0.9160839319229126,Most likely human-generated
NE_2021_080d01e1d20f60c544e2a2417a199769.html.gz,0.9591836929321289,Most likely human-generated
NE_2021_09c946d76561150d1c73f972b0e447e7.html.gz,0.9342105388641357,Most likely human-generated
NE_2021_37aebcccd00a3656d86a2c1e7a99a043.html.gz,0.9507042169570923,Most likely human-generated
NE_2021_52114fd4cb261e445ddee21ffbf98eed.html.gz,1.0514706373214722,Most likely human-generated
NE_2021_83e0796f568b669c60aeb5b643c81016.html.gz,0.9712643623352051,Most likely human-generated
NE_2021_b0a9d8fe676cac7c1f780fc1d2f4025c.html.gz,0.984375,Most likely human-generated
NE_2021_b1cd8f5693345c9a12e7f0ebe3e5f95d.html.gz,0.9932885766029358,Most likely human-generated
NE_2021_d15cba7efa2de549b17b7992e8e11ebe.html.gz,0.9933775067329407,Most likely human-generated
NE_2021_d3c1b1d44b7eb9f212db5fa31e3c862d.html.gz,1.0,Most likely human-generated
NE_2021_dfaf9ea5c8feb667d86e911f3464d8bd.html.gz,1.0,Most likely human-generated
NE_2021_ed8cb9613ce4cf991ee97b2417076dbc.html.gz,0.9947643876075745,Most likely human-generated
NE_2021_f1b48f430c8c291d52f6f0e32b23530e.html.gz,0.9197860956192017,Most likely human-generated
NE_2021_f327ef49b6d08a6f18a086ad53b3eb88.html.gz,1.03125,Most likely human-generated
