File,label,score
NC_2023_0c1b2d4c29fed512923b38802cf8bb53.html.gz,HUMAN,0.4314672422542967
NC_2023_05d8ccbc14a08cb7dec56524e9d81b77.html.gz,HUMAN,0.20413383959995393
NC_2023_1cde2df33a4528a28d65d71a750d9286.html.gz,HUMAN,0.18829548436682358
NC_2023_2b266bc4768d5db4fd5665e101455dc6.html.gz,HUMAN,0.19267287709676664
NC_2023_2feaed884bf3b44955e776f21835d08a.html.gz,HUMAN,0.23739933615062703
NC_2023_6b51c94842b43c8d6e92178e725cd0a5.html.gz,HUMAN,0.34795682042626225
NC_2023_724e42ce0b0d896c70f6626c6446f85e.html.gz,HUMAN,0.22384285696871764
NC_2023_a7dc0e6f4ff0dd2f3f167163ccaacd1c.html.gz,HUMAN,0.4489572529554573
NC_2023_777921ae83c9f5e3eaddc43b99c2d67c.html.gz,HUMAN,0.20118267772318812
NC_2023_ecf419258d4357f983b86cdc8025a5c2.html.gz,HUMAN,0.19592577461421432
NC_2023_f1c3ddd0ea90f56057b4d80dffd5b481.html.gz,HUMAN,0.19803230566207874
NC_2023_b5b157b1ee6f4bc30775d2a68fbcd58e.html.gz,HUMAN,0.20464541928645602
