Link,Score,Prediction
CA_2024_0af4a9b5ca54da5dfd7d04efa637b40d.html.gz,1.0393258333206177,Most likely human-generated
CA_2024_388987e13ea70d4e998726ef4ca9cb90.html.gz,1.0645161867141724,Most likely human-generated
CA_2024_3f66e77bc36318c48a2a17d061662519.html.gz,0.9629629850387573,Most likely human-generated
CA_2024_416657913e350872c620c58146b5a658.html.gz,1.0352113246917725,Most likely human-generated
CA_2024_483a2a43e5c795d75f9a14ec65f05293.html.gz,1.049723744392395,Most likely human-generated
CA_2024_49303b6418bab8b3485bb104a706923b.html.gz,0.9389312863349915,Most likely human-generated
CA_2024_4abc4b5555a4725dbc263c3ad93d4f11.html.gz,1.0518134832382202,Most likely human-generated
CA_2024_54c185031e69894080e2f84514a1dfd7.html.gz,0.9492753744125366,Most likely human-generated
CA_2024_555f35058e24575153cb87017a61eeb4.html.gz,0.9924242496490479,Most likely human-generated
CA_2024_612821fd0f290752c70975d2c3d3da5c.html.gz,1.037313461303711,Most likely human-generated
CA_2024_652ff9b02b4d7fef5bace3c20b36790d.html.gz,0.9832402467727661,Most likely human-generated
CA_2024_74f6c37605df7738815a1785b9e3f49e.html.gz,1.033707857131958,Most likely human-generated
CA_2024_7b38a3dff55cef9b4db9eeaa6e8b94ef.html.gz,1.0728477239608765,Most likely human-generated
CA_2024_7b419da786023d7fd240353ee35cf6df.html.gz,0.9944444298744202,Most likely human-generated
CA_2024_7d4fd2b951549c4d8a1efd72d3c0c1b7.html.gz,1.0062111616134644,Most likely human-generated
CA_2024_7e066d217254e719ada63a10db8ad900.html.gz,1.0591715574264526,Most likely human-generated
CA_2024_7e7d51564dc30f93651ff331305c6abe.html.gz,0.9371428489685059,Most likely human-generated
CA_2024_83847695bb9bab6dd31a8a3821a2a37e.html.gz,1.0,Most likely human-generated
CA_2024_856cbe0f3043999396ab1a2a44cd40d3.html.gz,1.024999976158142,Most likely human-generated
CA_2024_886b651a354971f9f307b8f732e5679b.html.gz,0.9873417615890503,Most likely human-generated
CA_2024_888df6471d2426f27a6fb14c7227dd61.html.gz,1.0896551609039307,Most likely human-generated
CA_2024_8b78d264d3e9b5766624d91900519f69.html.gz,0.9398496150970459,Most likely human-generated
CA_2024_8cc3603b004b3eace55d6147019dd97d.html.gz,1.0451127290725708,Most likely human-generated
CA_2024_8df74d429246b237a6e0096c9d178b61.html.gz,0.976190447807312,Most likely human-generated
CA_2024_9909f25e66c3d34222d1e0eaa38489e2.html.gz,0.89682537317276,Most likely human-generated
CA_2024_9a38c5c2ce121b91cf937062b3eeaecf.html.gz,0.984375,Most likely human-generated
CA_2024_a68d510df97695f7f9a83b68690fd389.html.gz,1.0073529481887817,Most likely human-generated
CA_2024_ab7dd6adccae66e4f3a918d6977764a8.html.gz,1.0219780206680298,Most likely human-generated
CA_2024_b13997a746060a002b3cbece68382ffb.html.gz,1.0,Most likely human-generated
CA_2024_c82fa2b6e8fe6c2e504b7cfe7643b0d1.html.gz,0.9777777791023254,Most likely human-generated
CA_2024_dd6db4c41c2def5bfd99219ec9f55051.html.gz,1.0335195064544678,Most likely human-generated
CA_2024_dfc598e0487fbcf45f74224f9baefd29.html.gz,0.9881889820098877,Most likely human-generated
CA_2024_fa3c8343fe7f6c82ba012ca4d200581b.html.gz,0.976190447807312,Most likely human-generated
CA_2024_fef116a1255fd89af1057f09e5d199a9.html.gz,0.9433962106704712,Most likely human-generated
