File,label,score
IL_2023_151745a1b4695c63d4fa4a8e729e7b84.html.gz,AI,0.6825410299836076
IL_2023_0763c72e20744f7d3c3dbc18cd491529.html.gz,HUMAN,0.19529832800795274
IL_2023_0143aef6d6d6b32976d0d348b2c350a1.html.gz,HUMAN,0.19788734122478452
IL_2023_2395f2edcd2a93db7d0e0f2ab1ac4af2.html.gz,AI,0.9075802890066312
IL_2023_367a42a8b8528b23709ee36da710fd7f.html.gz,HUMAN,0.43128451519095873
IL_2023_27cc5e2ac02d86d600ed55e4102bed00.html.gz,HUMAN,0.2803867455759934
IL_2023_4015b624a041347a34d9f45a59967952.html.gz,HUMAN,0.34326500120208936
IL_2023_545e5ab4c8885ccad020abc9b34344fb.html.gz,HUMAN,0.4984374429279274
IL_2023_564ccd8a224f4baf778e5e605f670841.html.gz,HUMAN,0.22191655662748122
IL_2023_81672e9f81153069d522333d3f886027.html.gz,AI,0.514027504675854
IL_2023_85b0d9ba18f97a5ef0cbefa9595ae2bd.html.gz,HUMAN,0.19194432115812726
IL_2023_882d2ce005218107645fb8799e548c73.html.gz,HUMAN,0.18926233955002822
IL_2023_8a09d25a2e2e52ec17c22141cf270cdf.html.gz,AI,0.9842158096741381
IL_2023_91818bf99e035c47f88da445980e9cde.html.gz,HUMAN,0.20260429328938276
IL_2023_92d66896adbe6b3bca6eea9490d109aa.html.gz,AI,0.619605234350973
IL_2023_a42ba26aad55bc972144b73a3666c57f.html.gz,HUMAN,0.20691458168463905
IL_2023_b71d068eb8037928c1f5f0c325f58773.html.gz,HUMAN,0.3350899689124051
IL_2023_b8101bae0e2b2c1d5e89034fb36f25a6.html.gz,AI,0.5477078577482005
IL_2023_bd77c857e9671cf8e8c03b3b8f79b34d.html.gz,HUMAN,0.22893668402429346
IL_2023_d5cd9fde70c66e5eb3dfd80597d58ebe.html.gz,HUMAN,0.268832456444637
IL_2023_eb577704ceeb61f899cb7c5cbb7d1d5e.html.gz,HUMAN,0.40395708948514636
IL_2023_f42dd6678eeac0436982b7f8ce766f10.html.gz,HUMAN,0.255064419197625
