Link,Score,Prediction
ME_2022_009e0ab2c223375c38b4b1653796b3de.html.gz,0.9365671873092651,Most likely human-generated
ME_2022_1a98d9a3d5ff14ae0252f135e3ae469c.html.gz,0.9784172773361206,Most likely human-generated
ME_2022_416607e8d4f0053fe683eae10f666df7.html.gz,0.9813664555549622,Most likely human-generated
ME_2022_4be6117b51ce400676dcbd2d0263c270.html.gz,1.0,Most likely human-generated
ME_2022_4e81dc77320a49db6ae64b61cc5c6296.html.gz,1.0063694715499878,Most likely human-generated
ME_2022_553d2589ff9b66a2d15d645dae7c4dc0.html.gz,0.9622641801834106,Most likely human-generated
ME_2022_6145c1eaa380bd63bb82f4b1a0f13bb0.html.gz,0.9352940917015076,Most likely human-generated
ME_2022_64a0b097467a2496d71b918e2c62bebb.html.gz,0.9689440727233887,Most likely human-generated
ME_2022_680cc14358bdb21cb799494a862d1050.html.gz,0.9526627063751221,Most likely human-generated
ME_2022_72713ad09b1fcfb567999acdf4f856ef.html.gz,1.0529412031173706,Most likely human-generated
ME_2022_74663202183ed8e8486169230c6c177c.html.gz,1.0187499523162842,Most likely human-generated
ME_2022_7b33b48e32fd0eb31ed8fc852e106e7f.html.gz,0.97826087474823,Most likely human-generated
ME_2022_85a57865a662421cd9c0b5b541c053e8.html.gz,0.9840425252914429,Most likely human-generated
ME_2022_8f7b98ed4eac3d9413aa38f3c86ad705.html.gz,0.9793103337287903,Most likely human-generated
ME_2022_91cf7bd38d9e6619d3665e182e3f269d.html.gz,0.9766082167625427,Most likely human-generated
ME_2022_94a428badf7bc7e42b7994f2da054602.html.gz,1.0647481679916382,Most likely human-generated
ME_2022_a09643e1439ce6341b84af8a8978a694.html.gz,1.0118342638015747,Most likely human-generated
ME_2022_b4ad0fe10e99a9800f9989971048a5f6.html.gz,0.8270041942596436,Most likely AI-generated
ME_2022_b941cd955248691469de2260f42de7ba.html.gz,1.0271738767623901,Most likely human-generated
ME_2022_bc82865508f0b35d40320976b2a0832a.html.gz,0.9934640526771545,Most likely human-generated
ME_2022_d0d827574fc049993eaa15e960687e7b.html.gz,0.9885057210922241,Most likely human-generated
ME_2022_d414658c3a53d4be24888a414d5e1b2a.html.gz,1.006666660308838,Most likely human-generated
ME_2022_daab71fbc37f5a671c373ff05339e8d7.html.gz,1.0053191184997559,Most likely human-generated
ME_2022_dae8c50f5f642f59b61470afdef1ad2e.html.gz,0.9347826242446899,Most likely human-generated
ME_2022_e7620d9916d0103395162881865d5bc1.html.gz,1.091428518295288,Most likely human-generated
ME_2022_fc7ed2ebccf17dd970c7abbb0221ad9c.html.gz,0.9644970297813416,Most likely human-generated
