Link,Score,Prediction
MD_2021_09f3622be508c1b681193eca9e1a4f63.html.gz,0.9738562107086182,Most likely human-generated
MD_2021_0b90c39effd73e994e6c0c71c4e85c2d.html.gz,0.9741935729980469,Most likely human-generated
MD_2021_12af3302b8da3baaa10aec12c1fd31ef.html.gz,0.9941860437393188,Most likely human-generated
MD_2021_1e150eddde02f989c5aa161ecc664df6.html.gz,1.0484848022460938,Most likely human-generated
MD_2021_1fe9df223c0c4e4712937d8341cf5ae1.html.gz,0.9930070042610168,Most likely human-generated
MD_2021_316e2b713a27262222f556d0c6d31e83.html.gz,1.0116958618164062,Most likely human-generated
MD_2021_332836666ad50a3b31eac7ba098df640.html.gz,0.9568345546722412,Most likely human-generated
MD_2021_3f29aef300ab321a119cc4e9f23b4091.html.gz,1.0444444417953491,Most likely human-generated
MD_2021_4b46f63ada6c2195e2ac6ba350342e5c.html.gz,0.9583333134651184,Most likely human-generated
MD_2021_4bfcbccebacc519786f38d66a64f94d9.html.gz,1.0252525806427002,Most likely human-generated
MD_2021_5a550e07be76cb1fce5510fad50d867d.html.gz,1.0993788242340088,Most likely human-generated
MD_2021_6c1d78bda5bd39def792225b0ae2c48a.html.gz,0.9942857027053833,Most likely human-generated
MD_2021_728797d8ccc58bb469fa5a1e0f7e1b8f.html.gz,1.0223463773727417,Most likely human-generated
MD_2021_76e89a72e03ff092e615663d9931a809.html.gz,1.0418847799301147,Most likely human-generated
MD_2021_7a1215df6a60c09fbcaabe0aa9aefb10.html.gz,1.0,Most likely human-generated
MD_2021_7c7e187ef47e5e37e91ad7fd98414d86.html.gz,0.9612902998924255,Most likely human-generated
MD_2021_7d0f1ab421df4b7387dab518e7b73c79.html.gz,1.0266666412353516,Most likely human-generated
MD_2021_7e72556c8ef784d0b139cd2b9ce23480.html.gz,0.9931972622871399,Most likely human-generated
MD_2021_84d049ba57534bc8b0b2d001c8f86a72.html.gz,1.0,Most likely human-generated
MD_2021_8a9c383e872e3bad6d47a57243e42bf8.html.gz,0.9820359349250793,Most likely human-generated
MD_2021_8e32c81f6becf1e37ba0d1bae9dd3402.html.gz,1.0331125259399414,Most likely human-generated
MD_2021_8f87a16617e4b76bac1fb322a372aeb8.html.gz,1.0418847799301147,Most likely human-generated
MD_2021_933f4eb646443aed7254a76aa2949d2a.html.gz,1.0308642387390137,Most likely human-generated
MD_2021_95579ef6edbb550c122019cea5d2fda9.html.gz,0.8805969953536987,Most likely human-generated
MD_2021_9df5ddac4a5c288e08d83a8ab2101670.html.gz,0.9554139971733093,Most likely human-generated
MD_2021_aa8d547f958d388162883bda4ff75eb5.html.gz,0.9882352948188782,Most likely human-generated
MD_2021_acaf8bb256832a4446ab08b2e50ff810.html.gz,0.957317054271698,Most likely human-generated
MD_2021_b25d9ccb8ae2a0659e0c7022973d24e1.html.gz,1.0049505233764648,Most likely human-generated
MD_2021_b698710f96d78ebf9b28257ca7cd1022.html.gz,0.9147287011146545,Most likely human-generated
MD_2021_b9f617379293897c838663dcc4db31f6.html.gz,0.9649122953414917,Most likely human-generated
MD_2021_c3eea68b6e2a8a23e14e9fd2403a2c6f.html.gz,0.9779411554336548,Most likely human-generated
MD_2021_c5e05998b4c984ce4ee3dedeab36e9f0.html.gz,0.9934640526771545,Most likely human-generated
MD_2021_cdd0e9f99b9c8c2397c567524e68b591.html.gz,1.0,Most likely human-generated
MD_2021_d238898ebc5a413f8b74a1277d5b2fa8.html.gz,0.949999988079071,Most likely human-generated
MD_2021_d7d093fddea91a06dc522ff38085117c.html.gz,1.0466666221618652,Most likely human-generated
MD_2021_df4688577e232c66fbb7517d4d947a55.html.gz,1.0509554147720337,Most likely human-generated
MD_2021_ebe8294683ff5342efa9da2c8f2f0fdb.html.gz,0.9896373152732849,Most likely human-generated
