Link,Score,Prediction
CT_2021_00cb28146201508663a0c64a0542e954.html.gz,0.9580838084220886,Most likely human-generated
CT_2021_06075799c9f6cab357f837a278331f5b.html.gz,0.949999988079071,Most likely human-generated
CT_2021_0e9fad138c6753fc9def8d7b2ae47274.html.gz,1.0065789222717285,Most likely human-generated
CT_2021_0eb66096803393383ac9508400685529.html.gz,1.0413793325424194,Most likely human-generated
CT_2021_1bfbe15aad6a7c37f65aa20ca52e97d6.html.gz,0.9794520735740662,Most likely human-generated
CT_2021_3e307771e03ca9292d45a9bd5e49526d.html.gz,0.9931972622871399,Most likely human-generated
CT_2021_3ed3a39f7a64f5dd97a6e5ae0070958a.html.gz,0.9271523356437683,Most likely human-generated
CT_2021_43d3212196e7a15b6f0e136b9edee977.html.gz,1.0394736528396606,Most likely human-generated
CT_2021_68b18512185e0ad8975f52a5b6487145.html.gz,1.0460525751113892,Most likely human-generated
CT_2021_724dd22254dfc4248bc2085216724f38.html.gz,0.9454545378684998,Most likely human-generated
CT_2021_732f1bb8eb0c7159ce9040060976c9ad.html.gz,0.9933333396911621,Most likely human-generated
CT_2021_7db090af900c8f60293a4c4a269130d7.html.gz,1.0281124114990234,Most likely human-generated
CT_2021_7ec567b4c4ecacba3af7cbde88aec97f.html.gz,1.052380919456482,Most likely human-generated
CT_2021_7f929245815b42bc38d4e37ef1f8baaa.html.gz,1.0,Most likely human-generated
CT_2021_8180e38bc59ded722916a255693f6dac.html.gz,1.0166666507720947,Most likely human-generated
CT_2021_83ca68e8edb9c782eef650036bb9acc0.html.gz,0.9111111164093018,Most likely human-generated
CT_2021_8b878ac97e0d546e10d1c489a7be0d29.html.gz,1.1075949668884277,Most likely human-generated
CT_2021_9928da32664aeb4f61b49a97e4854b27.html.gz,1.0096617937088013,Most likely human-generated
CT_2021_a03de98977554b5d5a68a4f156fc652b.html.gz,0.9652777910232544,Most likely human-generated
CT_2021_abfc7b3fe5356f520f0e7b7de157488f.html.gz,1.0229357481002808,Most likely human-generated
CT_2021_bc373fcfb3280622ec5febf0ab778c6e.html.gz,0.9790209531784058,Most likely human-generated
CT_2021_e0d76e1f3cffeb3954b3f98f7761a14d.html.gz,1.073170781135559,Most likely human-generated
CT_2021_e95d8e4b9ffe4b49f97787dd34880ca6.html.gz,0.9790209531784058,Most likely human-generated
CT_2021_f574761b63128d4479e92ada90450528.html.gz,1.0290697813034058,Most likely human-generated
CT_2021_f5c817ab2b03e61d1d8e5b1530f6c702.html.gz,0.9436089992523193,Most likely human-generated
CT_2021_f84ec71e6cdd4733a0e9003efe10d964.html.gz,0.9718875288963318,Most likely human-generated
CT_2021_fdfeed1c15a88edafddefa53f55de890.html.gz,0.933920681476593,Most likely human-generated
