Link,Score,Prediction
TX_2022_07da64d08d3dd6d5d5612e535842f7e4.html.gz,1.0059880018234253,Most likely human-generated
TX_2022_0ab107a393e618d91c0ddc0ffac0f46f.html.gz,1.0273972749710083,Most likely human-generated
TX_2022_0b8f45026eabe82c321e7b2927438ba6.html.gz,1.0218579769134521,Most likely human-generated
TX_2022_0c75d97c6916c25a03bf819dcdc67959.html.gz,0.9570552110671997,Most likely human-generated
TX_2022_0f08926ce9e1606478e4fe2c9a4f648f.html.gz,1.0359711647033691,Most likely human-generated
TX_2022_10628fbd8f480a99fef19328cff7c6b3.html.gz,1.0257511138916016,Most likely human-generated
TX_2022_139004dfa9ea58484bbbb0c2c096bf4f.html.gz,1.01694917678833,Most likely human-generated
TX_2022_15ffa6c91a856f96f2b38e4e049d401d.html.gz,0.9852941036224365,Most likely human-generated
TX_2022_165e482348cbc399e39885add08f2aa5.html.gz,0.970588207244873,Most likely human-generated
TX_2022_1af7dbacfc1edc6aeaa3dc45b02af136.html.gz,1.045454502105713,Most likely human-generated
TX_2022_1f36b432b03140f039167b50d1c60b4a.html.gz,1.0352113246917725,Most likely human-generated
TX_2022_20d70481e8d79a89bab26fe211f4b0a9.html.gz,1.0223463773727417,Most likely human-generated
TX_2022_23ac5a642cc0cf2a4f2bc8df789757a5.html.gz,1.0242424011230469,Most likely human-generated
TX_2022_2735fbeb06faebab2c5c62f1ceaaaa74.html.gz,0.9637681245803833,Most likely human-generated
TX_2022_28cf1ce83da3a8db845f842b0064e224.html.gz,0.9784946441650391,Most likely human-generated
TX_2022_3922cbf0b944455731f08b7d41db4292.html.gz,1.0209424495697021,Most likely human-generated
TX_2022_40922d5f42271cd047b394364e3375c8.html.gz,1.0278884172439575,Most likely human-generated
TX_2022_442770587538173b33f37e7a9315d1e8.html.gz,1.1141552925109863,Most likely human-generated
TX_2022_4e442ff94d55b24a6a808e3e5ecc93a8.html.gz,0.9465240836143494,Most likely human-generated
TX_2022_55a1a5bb15ad1e4f3499c1a04c046f7a.html.gz,1.0074074268341064,Most likely human-generated
TX_2022_5e42d62cc4c5be289c417cbb68468af2.html.gz,1.0548779964447021,Most likely human-generated
TX_2022_62c3eb511d2b8ba4e3fed1ac853267c0.html.gz,0.9518072009086609,Most likely human-generated
TX_2022_63a9294f865f7fcc4be758b5eed84e4c.html.gz,1.06521737575531,Most likely human-generated
TX_2022_65fdc9ca64d86e9a00082ea8a554ead2.html.gz,1.0656565427780151,Most likely human-generated
