File,label,score
ME_2022_1918451977b04aa2d7ebe4b12e1381fa.html.gz,HUMAN,0.2805401647640071
ME_2022_2d79b7288d6575adde790d1f7e313301.html.gz,HUMAN,0.24688190031500215
ME_2022_1aa78d84f2b28b07f8b54ad800704b56.html.gz,HUMAN,0.1876879629642104
ME_2022_533a0152d366c02fc271274bcf88ac5a.html.gz,HUMAN,0.26644027559249644
ME_2022_55bc6172dd9a2f638b888a75876a68a7.html.gz,HUMAN,0.19130539233795502
ME_2022_788bdf45aedcd708fddfdce8df0e9ed7.html.gz,AI,0.7735093079635184
ME_2022_b51f954e12970fdc73751fc8c87e0b74.html.gz,AI,0.5849305963368447
ME_2022_e23f818975589a2579316e731cc9953a.html.gz,HUMAN,0.20033720765093221
ME_2022_db8fe92236be3b332bae80f473ee8124.html.gz,HUMAN,0.2765280463872816
ME_2022_e80e048cc50d24c83af068b6b9a53bb6.html.gz,HUMAN,0.2449749287888389
