Link,Score,Prediction
PA_2023_04205fc9d5c84a74702034d92338cd92.html.gz,1.023391842842102,Most likely human-generated
PA_2023_084167162e87ddd9eb3a551ed3de44a2.html.gz,0.9655172228813171,Most likely human-generated
PA_2023_0f2391ba34f5a55b09ba40c41307cdb4.html.gz,0.969924807548523,Most likely human-generated
PA_2023_103858c44b8a94682ecc4dcf6ce8a36d.html.gz,0.985401451587677,Most likely human-generated
PA_2023_11b4270f5168b707420cbde05e681b77.html.gz,1.013071894645691,Most likely human-generated
PA_2023_21ac38657636316fb5621fbab44f330b.html.gz,0.9931034445762634,Most likely human-generated
PA_2023_25928ff5b9d14a02617d579d4986a26d.html.gz,0.987261176109314,Most likely human-generated
PA_2023_26ca321117aab4e57f7e70a409ef6215.html.gz,1.0188679695129395,Most likely human-generated
PA_2023_33fe9544ed5cfc08e95f9118233adbcf.html.gz,1.084269642829895,Most likely human-generated
PA_2023_402c773c0b70c36f03b0f99da7cfb85e.html.gz,1.0,Most likely human-generated
PA_2023_457fc41ab1df21873bb7d56c0488c9ed.html.gz,0.9586206674575806,Most likely human-generated
PA_2023_56c730c67ebec880733e1bbf0b6d9127.html.gz,1.0059880018234253,Most likely human-generated
PA_2023_6249d9853d52f8d01ecd178e624769f8.html.gz,0.9862068891525269,Most likely human-generated
PA_2023_7c2a4dd3ac0f7eb54194f5bc1865a59d.html.gz,1.012738823890686,Most likely human-generated
PA_2023_81573c7d1f2703c62c8dcc0ca4d33d7b.html.gz,0.9857142567634583,Most likely human-generated
PA_2023_8d80e10f91fa21df44fdc2f56aeb0cbb.html.gz,1.0694444179534912,Most likely human-generated
PA_2023_979961cb139e81d173c15adcfbc1d8a0.html.gz,0.9366196990013123,Most likely human-generated
PA_2023_a691cfb0335e744142411e1f1dbf5147.html.gz,0.9770992398262024,Most likely human-generated
PA_2023_a8f362d8eef0501a58d3c4a77a512cb1.html.gz,1.0522875785827637,Most likely human-generated
PA_2023_acefe9678dc1b254ddf7db6ecb4db30e.html.gz,0.9666666388511658,Most likely human-generated
PA_2023_ad09547083a566f0b7e50cfecaa75055.html.gz,0.9932885766029358,Most likely human-generated
PA_2023_bf6a39428810d0374e3f5be54a0dc57b.html.gz,1.0309277772903442,Most likely human-generated
PA_2023_d3c1647f2491e7f470b99285023c373e.html.gz,1.0056818723678589,Most likely human-generated
PA_2023_e04817e3afcdcc3f20be5d168729c2fc.html.gz,1.0,Most likely human-generated
PA_2023_e33e7a32dd7403fb4a9cf399b7b079cd.html.gz,0.9655172228813171,Most likely human-generated
PA_2023_e6d7c28ea495dc22b384ab096a35c704.html.gz,0.9366196990013123,Most likely human-generated
PA_2023_e97dcb49ddbe140d4a01dd8b3d69315a.html.gz,1.0724637508392334,Most likely human-generated
PA_2023_eeff93be03ebff39c931da172280ec8f.html.gz,0.9805825352668762,Most likely human-generated
PA_2023_f871d165079acaae3cbcb2307a56104e.html.gz,0.9452054500579834,Most likely human-generated
PA_2023_fe89eedc054cc42b8aa7e759310e93f5.html.gz,0.9387755393981934,Most likely human-generated
