Link,Score,Prediction
MN_2020_04c0b43585a5e8eedff3f4c6968b7f91.html.gz,0.9928571581840515,Most likely human-generated
MN_2020_1c05f666720bcad2b4577c3ba425a1fc.html.gz,0.9496402740478516,Most likely human-generated
MN_2020_298989575a5f29bf983f7a50774580d6.html.gz,1.037500023841858,Most likely human-generated
MN_2020_487b8fda81789c03cf5da02e53f23353.html.gz,0.97826087474823,Most likely human-generated
MN_2020_7cca5f9f82db8bb4a64b168ab364f7ea.html.gz,1.0062893629074097,Most likely human-generated
MN_2020_86fbe13b3eb58e7fac94eb19a9396b7d.html.gz,1.032679796218872,Most likely human-generated
MN_2020_9615c39f033440463adea3a66a02a4d5.html.gz,0.9738562107086182,Most likely human-generated
MN_2020_aa129e1a3fb0110e11e26aefacaaf4d0.html.gz,0.9824561476707458,Most likely human-generated
MN_2020_ad397fb0a552ff55ae50395e6a5574cc.html.gz,0.9929577708244324,Most likely human-generated
MN_2020_b7827ea169c9213c4a1640e2d781684c.html.gz,1.0389610528945923,Most likely human-generated
MN_2020_bbd9c037be5ac49b607ca4d952ba584d.html.gz,1.0289256572723389,Most likely human-generated
