Link,Score,Prediction
TN_2024_21f138e5c47db7181905d32122fae180.html.gz,0.9583333134651184,Most likely human-generated
TN_2024_2fb2591ba8194f4e7b931de866cd5df1.html.gz,1.0439560413360596,Most likely human-generated
TN_2024_3088f1a7e9324455cbe4a1f137d692b8.html.gz,1.0116279125213623,Most likely human-generated
TN_2024_31240f5b7c5a754660543c5ad81538a0.html.gz,1.0444444417953491,Most likely human-generated
TN_2024_3156a5428a6c998b480c077558fb833b.html.gz,1.0121212005615234,Most likely human-generated
TN_2024_349d8b8222a42e8e17cf95f03a3040d1.html.gz,1.0472440719604492,Most likely human-generated
TN_2024_6033e7832e3915267c12e5a6fa14bf1a.html.gz,1.0059171915054321,Most likely human-generated
TN_2024_70c347703ebe530128422a50e58c5b4a.html.gz,0.9271523356437683,Most likely human-generated
TN_2024_75a3c2a271203e308aeaf6f92e00aed7.html.gz,1.0,Most likely human-generated
TN_2024_8225c7f2ee6400c5f3db9434104fa161.html.gz,1.0,Most likely human-generated
TN_2024_8c65031589bcd9fa4cdfd3d1e2d99dad.html.gz,1.029411792755127,Most likely human-generated
TN_2024_a7d781da4c56668fc20e83dbd8261d47.html.gz,0.9235293865203857,Most likely human-generated
TN_2024_e3d1e2d6794968291b9fcbacab77ebd4.html.gz,1.0573248863220215,Most likely human-generated
