File,label,score
NM_2021_0acf1f4727111e7d5c20ead15e656a9f.html.gz,HUMAN,0.19732878239509266
NM_2021_1549b215044f60b8c46c4ebefafb0e2f.html.gz,HUMAN,0.19447428531363273
NM_2021_36ec6e80320382eac9dcd278598ac747.html.gz,HUMAN,0.1894370316647348
NM_2021_417cfda53be1f2bd051b56bd84325093.html.gz,AI,0.9999999968172723
NM_2021_4b1a67dc7dc5552d17e4a71551c35757.html.gz,AI,0.6864201788077685
NM_2021_63d40854ca93d0e46907aa0a0824a77f.html.gz,AI,0.6309021585088066
NM_2021_714290ee0aca5824c025878d215d15f0.html.gz,HUMAN,0.19160435127592573
NM_2021_7f23c7f62648974904de4a6fd40f481a.html.gz,HUMAN,0.1874871602526284
NM_2021_6b869c777da16f47612de87e92185630.html.gz,AI,0.9997981541040316
NM_2021_557e429dd19dac7103689cec5cf52538.html.gz,HUMAN,0.2946504287728383
NM_2021_8a1f12fd43f1df74422dc76704fd5f08.html.gz,HUMAN,0.3326806886190578
NM_2021_9347790b4e383671aaf2ea70c6541cac.html.gz,AI,0.9773420247775648
NM_2021_a6eef6cd4206ff09fed9622933d3868b.html.gz,AI,0.9999999968172723
NM_2021_8bd2fbdcec45c42d47c7383d1a1061c5.html.gz,HUMAN,0.23342795847086728
NM_2021_8d3f149223acf9620e5e68f49b14b2b5.html.gz,AI,0.6346306963682183
NM_2021_b138cf16b91e6f4e7d5b2d8925c7f33a.html.gz,HUMAN,0.18850965294721667
NM_2021_b6edc35d904e46eebb74532bdef1efa5.html.gz,AI,0.6425327510387284
NM_2021_ba9d7c8c61359de5db96d01b476844bc.html.gz,HUMAN,0.19697325855419048
NM_2021_bd6a4a6511620d26604323f121926db8.html.gz,HUMAN,0.2495965148350839
NM_2021_cc54e96282e1c7aa8586365a9fd7d7ad.html.gz,HUMAN,0.31629135623755733
NM_2021_cd9523d5275680c3b8d505e03c4c1f1e.html.gz,HUMAN,0.362286245412224
NM_2021_d4d927aea5ffa9fddc1dc24ca23ed40f.html.gz,HUMAN,0.18749556640579096
NM_2021_ce277231d3983a4d85c526928fe6b1a7.html.gz,AI,0.9384405184517467
NM_2021_d9dc4b44f2ecb4f1ec18b1c10fbf57a7.html.gz,AI,0.9575543431843118
NM_2021_ee4797220d28d48d7d4bb786e3a00c74.html.gz,HUMAN,0.3813166178395368
NM_2021_f7106f9014ade89e35d613e7f22c0510.html.gz,HUMAN,0.38217892805597403
