Link,Score,Prediction
OR_2024_01b913d77aba45a2eed5cd1718bf5fa4.html.gz,1.0418604612350464,Most likely human-generated
OR_2024_039d8843b6e9c548a33495129dee6b2f.html.gz,1.0365853309631348,Most likely human-generated
OR_2024_046419a26690e1b1d0cea2e54fae3acd.html.gz,0.9797297120094299,Most likely human-generated
OR_2024_05324577f39f6ab9149d9d1008e436fd.html.gz,0.9800000190734863,Most likely human-generated
OR_2024_08654f20171190c2185d02939ca3c15d.html.gz,0.9865771532058716,Most likely human-generated
OR_2024_08a45ade31a7ab84aecc640bba167090.html.gz,0.9717513918876648,Most likely human-generated
OR_2024_097c003391d3e6c6bbfa664e51330526.html.gz,0.8491619825363159,Most likely AI-generated
OR_2024_0caf35f9bf686843757d4850fa57bb66.html.gz,0.884353756904602,Most likely human-generated
OR_2024_0e619c8742469dc3c37b950ab8abc418.html.gz,0.9591836929321289,Most likely human-generated
OR_2024_0fa40e2c5c6d819fd7f53d8f249fc182.html.gz,1.0,Most likely human-generated
OR_2024_1470beb3f0361fe933eb9dd4642982e8.html.gz,0.9815950989723206,Most likely human-generated
OR_2024_15b98afb825422a3bcfa938dc33fa6ac.html.gz,1.0230768918991089,Most likely human-generated
OR_2024_15f0a7aede49670b50873a834096b16b.html.gz,0.9539473652839661,Most likely human-generated
OR_2024_1a9967319ac6ac1e6c7352ae71856116.html.gz,1.070588231086731,Most likely human-generated
OR_2024_1ab9e8deae548433b3751232e72bca88.html.gz,0.9944444298744202,Most likely human-generated
OR_2024_1bfe262bb5ad3fd7a22e88986ee512ea.html.gz,0.9818181991577148,Most likely human-generated
OR_2024_1d0b63025e6720ada568830e8b30272e.html.gz,1.034682035446167,Most likely human-generated
OR_2024_1d802f6c487388a70c8552f6adf12577.html.gz,1.0,Most likely human-generated
OR_2024_1d8f05926c688d5a16d91d13963e12f4.html.gz,1.024844765663147,Most likely human-generated
OR_2024_1d91c526741a60e4dfa80c5017756bf7.html.gz,0.9034482836723328,Most likely human-generated
OR_2024_1ed3ceafcc5a368b212a505fce75ab19.html.gz,0.9935897588729858,Most likely human-generated
OR_2024_20eebf0ee1d0b38a49fbb6bf4aa94ded.html.gz,1.047619104385376,Most likely human-generated
OR_2024_22cfb3573440bb0ed5e45760e1bded1d.html.gz,1.029940128326416,Most likely human-generated
