Link,Score,Prediction
GA_2023_01bf865f1357249470c2d9bba5050970.html.gz,1.011049747467041,Most likely human-generated
GA_2023_05839cf824c499948aa465f2d4f9ea55.html.gz,1.0258064270019531,Most likely human-generated
GA_2023_309247403c09544a5d402edc4cb86cda.html.gz,0.9580152630805969,Most likely human-generated
GA_2023_5ab56788ae6fc9946ad90adc76622971.html.gz,1.0208333730697632,Most likely human-generated
GA_2023_61dfe409328547d086ba83200360ad4b.html.gz,1.0064934492111206,Most likely human-generated
GA_2023_7e9d02f4a8912c93d4969812741e6832.html.gz,1.0140844583511353,Most likely human-generated
GA_2023_9486692859bed6bf395545d5707e3c1b.html.gz,0.9925373196601868,Most likely human-generated
GA_2023_a5e83f1851a3b356593fd886105ad6d3.html.gz,1.0714285373687744,Most likely human-generated
GA_2023_bdfa28dc02c0aa83e0584d77610e6c8a.html.gz,1.0367647409439087,Most likely human-generated
GA_2023_db19f3d49d87658a76cb11aae246bc87.html.gz,1.0404040813446045,Most likely human-generated
GA_2023_e945dfe811a91de3a36707d1541ad32e.html.gz,0.9720670580863953,Most likely human-generated
