Link,Score,Prediction
CO_2020_0672f5254de7561e2b3e9d44f918ee1f.html.gz,0.9923076629638672,Most likely human-generated
CO_2020_163ecc6b98f32b79933637c95752d55d.html.gz,0.9585798978805542,Most likely human-generated
CO_2020_3a6db7faa551106cd77aa0d107449650.html.gz,1.0,Most likely human-generated
CO_2020_5245eef14d290c2c9727d3bb130d920c.html.gz,1.0166666507720947,Most likely human-generated
CO_2020_60df6ab779e6a5e7778e53dac7c7d87e.html.gz,0.9509202241897583,Most likely human-generated
CO_2020_660419100ba37a0ab920b57b4a0010ef.html.gz,1.0506329536437988,Most likely human-generated
CO_2020_7546c73f8d2baaff8d862689c5dfd9f3.html.gz,0.9523809552192688,Most likely human-generated
CO_2020_7faba238aa98c615270d84a4542af68e.html.gz,0.9823529124259949,Most likely human-generated
CO_2020_bc3941debd13fe568ab6a13a52099627.html.gz,1.028735637664795,Most likely human-generated
CO_2020_c2636ad0c11f2afa620023cbf5cc5343.html.gz,0.9653179049491882,Most likely human-generated
CO_2020_c9794626ef160582302c99ae82a6d658.html.gz,0.984000027179718,Most likely human-generated
CO_2020_ea221eb56997f42a4b2174487dc6aa26.html.gz,1.0177514553070068,Most likely human-generated
CO_2020_f6dffd40587f3abbf76dd9012f256e2a.html.gz,0.9943820238113403,Most likely human-generated
