Link,Score,Prediction
NH_2022_0581688d0d20764f805f4f5fcc3687fa.html.gz,1.0211267471313477,Most likely human-generated
NH_2022_0c1d690f1143ffed9dcdeadeed2bb125.html.gz,1.0181818008422852,Most likely human-generated
NH_2022_1399314455bfb2c1d8ec8978d25634b6.html.gz,1.0328947305679321,Most likely human-generated
NH_2022_21eb2b921d1caeab5bbb98b5f75f6882.html.gz,0.9828571677207947,Most likely human-generated
NH_2022_28b15d5f559288d171b0345f1d2c5511.html.gz,1.0,Most likely human-generated
NH_2022_4ed18736ff40ed1cf3450ba6f665f057.html.gz,0.9937499761581421,Most likely human-generated
NH_2022_5225421e62cad61114dae402ab699b26.html.gz,0.9622641801834106,Most likely human-generated
NH_2022_56870685bc2f500a1a1d84268fab70c1.html.gz,1.0062111616134644,Most likely human-generated
NH_2022_7556cca0aff1859f16d5ddcfa3b21379.html.gz,1.0,Most likely human-generated
NH_2022_86aae21c25e531fb8b493647043e1923.html.gz,0.9586465954780579,Most likely human-generated
NH_2022_880c12681ca3265bbc359f22997f592f.html.gz,0.9491525292396545,Most likely human-generated
NH_2022_a628971b1978c9476f2c0f9319cf73d8.html.gz,1.0,Most likely human-generated
NH_2022_a9795fec83465851891a0199ac1ac93a.html.gz,1.010695219039917,Most likely human-generated
NH_2022_adf262a105e6081cd75df182aaed9dbc.html.gz,1.0555555820465088,Most likely human-generated
NH_2022_b6272ca3bea03d60bd911b4128b38dc8.html.gz,0.9226190447807312,Most likely human-generated
NH_2022_d7ff12c5dc5aa3bf8ce0f6d1680a4414.html.gz,1.0,Most likely human-generated
NH_2022_e61c0a76423a257589d83c00fef1759c.html.gz,0.9722222089767456,Most likely human-generated
NH_2022_e7149e3a9a57ea3479e5dadefe7a199c.html.gz,0.9418604373931885,Most likely human-generated
NH_2022_f3be4092df954b6db1ef7c1b2fc9bd33.html.gz,1.00632905960083,Most likely human-generated
