File,label,score
SD_2022_245fa4d1c15748fad674139268774a32.html.gz,HUMAN,0.18748270096708242
SD_2022_0e93731e1419fcdefba930d71a6cb6ad.html.gz,HUMAN,0.19178710149216968
SD_2022_229dbf42ef33683bfe18e852c7212716.html.gz,HUMAN,0.3592945502257314
SD_2022_2f336804a16da8ea7bd63a2e41f021a4.html.gz,HUMAN,0.19627970874019127
SD_2022_3339de1368e5aa395585a5993a631139.html.gz,HUMAN,0.1884658433484934
SD_2022_4390ce7aea8d8ea397942724cd41e257.html.gz,HUMAN,0.24786935258242568
SD_2022_7f7e86d34d9b9b51a892e16faa2fe0c7.html.gz,AI,0.600652879663652
SD_2022_7cfd3a55f0dc3e11b8ec5d324587bb6d.html.gz,HUMAN,0.18751285861817213
SD_2022_87f92a0d3e8d11a7170022b337df57bc.html.gz,HUMAN,0.18758238677519717
SD_2022_8e3d73a682eb99cb6618ee2a3f67d1bc.html.gz,HUMAN,0.2051609372694687
SD_2022_8ee76f36072ee82910f6a1a117cbe5e1.html.gz,AI,0.999823972047707
SD_2022_932db10c6ef8ac051b54912e5f4b573a.html.gz,HUMAN,0.18886142885581667
SD_2022_aea8660aa9ed0a08efe3e70ad1a3171f.html.gz,HUMAN,0.21767229876621103
SD_2022_abbcf194c081f8804356e8fcc9af99ab.html.gz,HUMAN,0.24030216885240957
SD_2022_99c371f4140e195e23d3e86fae2470b1.html.gz,HUMAN,0.18747557998818729
SD_2022_b1ccddf39731fababe295feedaa3361f.html.gz,HUMAN,0.3575899958636275
SD_2022_ee40870a1c654464661f2fb558168c3f.html.gz,AI,0.8585891984119636
SD_2022_f224e183bbd98535d0d5f74ac1d99e21.html.gz,HUMAN,0.20418144176212713
SD_2022_fb8f28b2fe060b827f66b78af608efd2.html.gz,HUMAN,0.35096591754267265
