Link,Score,Prediction
NM_2024_135774e00f765febc4054f8b8a65fc9b.html.gz,0.9741935729980469,Most likely human-generated
NM_2024_37f62b7fbcbe779d57ccae40a45a8cd7.html.gz,0.9724137783050537,Most likely human-generated
NM_2024_46253d110430716e5b93d1cd68b4d0cc.html.gz,1.0,Most likely human-generated
NM_2024_55454078a6e32c30064bf4ad5818b928.html.gz,0.98591548204422,Most likely human-generated
NM_2024_575c5236e4d6cbc70f8ba31b93067dcb.html.gz,1.0070422887802124,Most likely human-generated
NM_2024_6991b0b8b7b1198c4b8dee315bb6328e.html.gz,0.9746835231781006,Most likely human-generated
NM_2024_75cf05c799ce4d944b768ea4722672f2.html.gz,1.0132449865341187,Most likely human-generated
NM_2024_774a1ab5716c8c601384f7155ed8992c.html.gz,1.017241358757019,Most likely human-generated
NM_2024_8b944c595dd38bbe1854e095d944b16b.html.gz,0.98591548204422,Most likely human-generated
NM_2024_99a0fadd0abf6f30c051c36b50455b7c.html.gz,1.0228571891784668,Most likely human-generated
NM_2024_e1d3c3fac0ef0da5bf62aa1783bcc843.html.gz,1.013157844543457,Most likely human-generated
