Link,Score,Prediction
AL_2024_029e775d2c84b6c2195257efe2493263.html.gz,1.0538922548294067,Most likely human-generated
AL_2024_03fe5c094df173d4831a3b175a52cab3.html.gz,1.0052909851074219,Most likely human-generated
AL_2024_05f890323e67252ef345d04daf7bea8b.html.gz,0.9440298676490784,Most likely human-generated
AL_2024_0b777a7c14c709ed2a44ddfc5ed2e33f.html.gz,1.0211267471313477,Most likely human-generated
AL_2024_0bc87f384b9d65cdfb933a85a7754e68.html.gz,1.0,Most likely human-generated
AL_2024_10bc468913441086a4dbfff68efabcc8.html.gz,1.0052909851074219,Most likely human-generated
AL_2024_13b15d3b3ccd50d29344cb2fd3fd8872.html.gz,1.0466666221618652,Most likely human-generated
AL_2024_13c7275e398498236d51a2a202dbd9ed.html.gz,0.9956331849098206,Most likely human-generated
AL_2024_195b11a11729c352b6d367559ad58592.html.gz,0.9874213933944702,Most likely human-generated
AL_2024_20c2baa2d1f0a035f51a1aaec9b11967.html.gz,1.0232558250427246,Most likely human-generated
AL_2024_21c7204fbb0905aa926d25c75aed3a37.html.gz,0.9510489702224731,Most likely human-generated
AL_2024_28f83e0471005b17399b008b230f9cd9.html.gz,0.9754601120948792,Most likely human-generated
AL_2024_296321c487140375e00b1ca5ee1acb05.html.gz,0.9829545617103577,Most likely human-generated
AL_2024_2d3d0277257647cf22788c43f10d5914.html.gz,1.0463576316833496,Most likely human-generated
AL_2024_2da4b81f86ec64061497422b5154039c.html.gz,1.0060975551605225,Most likely human-generated
AL_2024_2f8b7bd3178c244c021fa7499fbd1912.html.gz,1.0272108316421509,Most likely human-generated
AL_2024_306cab1389950615b06c988ad7e7849e.html.gz,0.9822485446929932,Most likely human-generated
AL_2024_3495df62f7e65b727f02108129758cb4.html.gz,0.9099525809288025,Most likely human-generated
AL_2024_34a4c63e2754150814f99af0f59ebd87.html.gz,0.9863945841789246,Most likely human-generated
AL_2024_363dbfdc56828826a396473059fc8541.html.gz,0.8897637724876404,Most likely human-generated
AL_2024_3800644dbf9c1401cbbeea56b045c4a6.html.gz,0.9934640526771545,Most likely human-generated
AL_2024_39ba82fe06725529f238f6e6c22e73b5.html.gz,0.9924242496490479,Most likely human-generated
AL_2024_3a8c22d85727c499ee0d999e001eb52b.html.gz,1.0292397737503052,Most likely human-generated
AL_2024_3e1d42ab7aa2377261f8ee45c3abbcbb.html.gz,1.0547945499420166,Most likely human-generated
AL_2024_3fc99c9e27eda7b1caa05d04e268e92f.html.gz,1.0,Most likely human-generated
AL_2024_3fef9b8053be2666dfe05fe9dc08bd99.html.gz,1.068750023841858,Most likely human-generated
AL_2024_424c0663d2859df400535d33fefd0ec9.html.gz,0.9745222926139832,Most likely human-generated
AL_2024_4496a1859000d903384789881c793f92.html.gz,0.9645669460296631,Most likely human-generated
AL_2024_45f3c0b8017b796f3d9709f06b6e8467.html.gz,0.9238095283508301,Most likely human-generated
AL_2024_4d4ad89b24535785eaacd5a3a3cd2cb0.html.gz,1.0282485485076904,Most likely human-generated
AL_2024_519db7d11e0589c6e81a9aec0c1cc972.html.gz,0.9567901492118835,Most likely human-generated
AL_2024_51c72e267f7a371659ba9d20a37c12ce.html.gz,1.021276593208313,Most likely human-generated
AL_2024_52dfcd7d65b6d72c4ba8c360d7c92ab5.html.gz,0.9653179049491882,Most likely human-generated
AL_2024_5a15312bd0ddf9261c32b11e1a69668a.html.gz,1.0816326141357422,Most likely human-generated
AL_2024_60dffdc940ca1f5932dc6cef849205e5.html.gz,0.9455782175064087,Most likely human-generated
AL_2024_659bdf9e4811c083b34f0add3f2f855c.html.gz,0.9850746393203735,Most likely human-generated
AL_2024_67875a796d78336d77ac943629fe886a.html.gz,1.0617283582687378,Most likely human-generated
AL_2024_6cba0608dc920c8b8f7b52c3dab6bd9b.html.gz,0.9655172228813171,Most likely human-generated
AL_2024_71fdebb0fba735d41b07a789a4d25dfd.html.gz,1.0416666269302368,Most likely human-generated
AL_2024_72469153ce6e7768f7079cdc7c542858.html.gz,0.9797297120094299,Most likely human-generated
AL_2024_72b2fe12fe7770c883e50d151f268ae9.html.gz,1.0,Most likely human-generated
AL_2024_762c26b19a89883b252de2c773d7ad71.html.gz,1.0449438095092773,Most likely human-generated
AL_2024_79c299dace7444d36b2a9c19ffe7df0d.html.gz,0.9870129823684692,Most likely human-generated
AL_2024_7c27e2dbc5e6e1233bea3a033c20d50f.html.gz,0.9955357313156128,Most likely human-generated
AL_2024_81e19b987da42764bea6224c4e7f94e0.html.gz,0.9490445852279663,Most likely human-generated
AL_2024_838bb1b46b6d08a7f91d079af1be6a1e.html.gz,0.9298245906829834,Most likely human-generated
AL_2024_84a071edd5795b37ac0e58fb3fac490d.html.gz,1.0073529481887817,Most likely human-generated
AL_2024_866e125647292887b98e050011f18040.html.gz,1.0113636255264282,Most likely human-generated
AL_2024_8a1b2984abae0daa5c5e7b7802b138e8.html.gz,1.0129032135009766,Most likely human-generated
AL_2024_8a7921e76959f1b2119c390ea5697edc.html.gz,1.0,Most likely human-generated
AL_2024_91a0b1d37d3d36145de18cef2ab85b02.html.gz,0.9935064911842346,Most likely human-generated
AL_2024_92b5af7fff59edb570897428d95a738d.html.gz,1.0266666412353516,Most likely human-generated
AL_2024_99cc668ca6ca7b7fc1d9d0221a276abc.html.gz,0.9424460530281067,Most likely human-generated
AL_2024_9a9893ffff958d50738548c695b8030d.html.gz,1.0437955856323242,Most likely human-generated
AL_2024_9c490697e273dc003a869ed65abef8c7.html.gz,1.0228571891784668,Most likely human-generated
AL_2024_9e2a17485ddcb0b18193c863b3c9a2bb.html.gz,0.940119743347168,Most likely human-generated
AL_2024_a0cb0cecf56c99962b154659d8c14b75.html.gz,1.0392156839370728,Most likely human-generated
AL_2024_a2585043f01edc27d99a5f14b5b17084.html.gz,0.9736841917037964,Most likely human-generated
AL_2024_a52bd3068f77683862815712b1b47e70.html.gz,1.006622552871704,Most likely human-generated
AL_2024_a8a9d51036fbfb6f3e14c12e0217a3b8.html.gz,1.0071429014205933,Most likely human-generated
AL_2024_ab23d3ed132953b82f83686be194bb4e.html.gz,1.0,Most likely human-generated
AL_2024_ab8bacba2f179fbf464c385faa6de1c9.html.gz,1.0439560413360596,Most likely human-generated
AL_2024_abc8d1f2f149e1842fcc051f189c8d1a.html.gz,0.9666666388511658,Most likely human-generated
AL_2024_b142724d24e496e89559cee022be5b91.html.gz,1.0246913433074951,Most likely human-generated
AL_2024_b1c875bb17fdf9fe523c5df9d00c7cd3.html.gz,1.0,Most likely human-generated
AL_2024_b1d542cea2831079da6b0b559cedb845.html.gz,0.970588207244873,Most likely human-generated
AL_2024_b391cfa1fd479c29a8f56912bc948724.html.gz,0.9575471878051758,Most likely human-generated
AL_2024_b95cb1a6c380acc940e392fbf90dd27f.html.gz,1.0176470279693604,Most likely human-generated
AL_2024_b9bae735d490550fb4947477feaa11e4.html.gz,1.0069444179534912,Most likely human-generated
AL_2024_bacf1b0d79a56a6ad1598931430df8b1.html.gz,0.9238095283508301,Most likely human-generated
AL_2024_bb2a665c65ea938417c01e4876759f89.html.gz,1.0308642387390137,Most likely human-generated
AL_2024_bcec2fcef3e516ebba30794c78806b36.html.gz,1.0144927501678467,Most likely human-generated
AL_2024_bceeff1804b888435b6dc1362bbdba47.html.gz,1.0222222805023193,Most likely human-generated
AL_2024_bd20a27e60f0de0dea4d6f8883fd5618.html.gz,1.0410958528518677,Most likely human-generated
AL_2024_bd90215eec1a60eaef47d9ea53c84162.html.gz,0.988095223903656,Most likely human-generated
AL_2024_bd9e824cf6ba4566ef1ad99ab60221c1.html.gz,0.9855072498321533,Most likely human-generated
AL_2024_bde5a43542ad43348bd71560fa41b78f.html.gz,1.0499999523162842,Most likely human-generated
AL_2024_c1997b5c070efa982823c5eb8d3d6842.html.gz,1.0181818008422852,Most likely human-generated
AL_2024_c754de51423d2e7c8c9801c3d3896161.html.gz,0.9693251252174377,Most likely human-generated
AL_2024_ca517f9932425a805dba69965303e085.html.gz,0.9937499761581421,Most likely human-generated
AL_2024_cb38b830d89f8adb70130f5774ecd57d.html.gz,0.9466666579246521,Most likely human-generated
AL_2024_cbacc831920581a99a95c0a07cb22bb8.html.gz,1.0310559272766113,Most likely human-generated
AL_2024_d04feee4ea02a27beb8f55a9427f8576.html.gz,0.9568345546722412,Most likely human-generated
