Link,Score,Prediction
MS_2023_1d72237b51433395e4ccf5612d2844bb.html.gz,0.8867924809455872,Most likely human-generated
MS_2023_227a857db2c9ceb02183ba4aa709e9a4.html.gz,1.0352113246917725,Most likely human-generated
MS_2023_29df3868fcca658ae91057ed2112a812.html.gz,1.0,Most likely human-generated
MS_2023_317fbcf6bb4d3c58882309abc4b40aa9.html.gz,0.9938271641731262,Most likely human-generated
MS_2023_52ad30155c13a06df3b9a62187019c9f.html.gz,1.0050761699676514,Most likely human-generated
MS_2023_612c974d9d5dca61db54d7e62f198423.html.gz,1.0704225301742554,Most likely human-generated
MS_2023_7466a6f59f528c2f984d84a73d24706b.html.gz,1.034883737564087,Most likely human-generated
MS_2023_76ab9d401f9d8a87f7dcd03e71939af3.html.gz,0.9863945841789246,Most likely human-generated
MS_2023_9b093e315bb6d01061225be72f8eda5e.html.gz,0.9802371263504028,Most likely human-generated
MS_2023_a095993596b7ee2276c98ae9658f9b9c.html.gz,1.0,Most likely human-generated
MS_2023_a4121f1159bec4aeb1e4ec7df697d6b2.html.gz,1.095588207244873,Most likely human-generated
MS_2023_aa35f56a4e630be56655836dc944fdcf.html.gz,1.0,Most likely human-generated
MS_2023_baec3ec4f921e271a94fcda85c580ff3.html.gz,0.9291045069694519,Most likely human-generated
MS_2023_de94ef0bf18a57c044dc495270d511dd.html.gz,0.9626865386962891,Most likely human-generated
MS_2023_f988e35ab10c90e2856058354a50e6e0.html.gz,0.9735099077224731,Most likely human-generated
MS_2023_fad1e6c000f7e253471dd7d271e9c648.html.gz,1.0,Most likely human-generated
