Link,Score,Prediction
NC_2020_020bc6ca814934b1a48e5fbfd006d175.html.gz,1.018072247505188,Most likely human-generated
NC_2020_024b4a8a18f96eb62f27042a76685674.html.gz,1.0052909851074219,Most likely human-generated
NC_2020_03eadeb00bc1be25112fe2119745f535.html.gz,0.922448992729187,Most likely human-generated
NC_2020_0553d5f470d7eb2f9eb973ab4f325701.html.gz,0.9862068891525269,Most likely human-generated
NC_2020_063eaf60b453a65b97494b96f6abf540.html.gz,0.9790209531784058,Most likely human-generated
NC_2020_081565d8277cf762df8a15d80f3678bf.html.gz,0.9473684430122375,Most likely human-generated
NC_2020_09ec477b67af1500f605172fa286697c.html.gz,0.9800000190734863,Most likely human-generated
NC_2020_12fe0e35a907413143850104c7a189ab.html.gz,0.9290322661399841,Most likely human-generated
NC_2020_16c6fe007f42339679a3b1b92e893d4b.html.gz,0.9303797483444214,Most likely human-generated
NC_2020_1844dd8a28335c451709cde100923748.html.gz,0.9531915187835693,Most likely human-generated
NC_2020_187daab703f17a8177e5455f21ac3e94.html.gz,0.9448819160461426,Most likely human-generated
NC_2020_1ba249cba6c77cb1102666af72a8f4f8.html.gz,0.9770992398262024,Most likely human-generated
NC_2020_1ba7b1b0fc195a2d6693da5876eef33d.html.gz,0.9418604373931885,Most likely human-generated
NC_2020_1bcbab18b49abe0e3ce1c0c13fea0f40.html.gz,1.0,Most likely human-generated
NC_2020_1c27970c46983501cd2470ca480990db.html.gz,0.9385474920272827,Most likely human-generated
NC_2020_1d8b1c9fa6d5b71df1ca943f6d965e28.html.gz,1.0223463773727417,Most likely human-generated
NC_2020_26e928d2bf54cf06dd09221d71321d19.html.gz,1.0193548202514648,Most likely human-generated
NC_2020_2e9998790bba8549be1fb26cff8d234f.html.gz,0.9363057613372803,Most likely human-generated
NC_2020_2f6e8b799746f4d3c27443fda446a39b.html.gz,0.9876543283462524,Most likely human-generated
NC_2020_3199565111eae6f87641173febad626a.html.gz,0.954285740852356,Most likely human-generated
NC_2020_32bc517007022bae330011f6cb2bc7b9.html.gz,1.041176438331604,Most likely human-generated
NC_2020_34d7e4a9014b21f43bd8198a4a5a386d.html.gz,1.0126582384109497,Most likely human-generated
NC_2020_376c721f0e6d75ed9394f5e396f15683.html.gz,1.0056818723678589,Most likely human-generated
NC_2020_38790ff3077b152fad9b8d4792655857.html.gz,1.0514706373214722,Most likely human-generated
NC_2020_3d204c5f32499a1cfc42f0638f275c9f.html.gz,1.0209790468215942,Most likely human-generated
NC_2020_3d47c391e13ff9edb6b0643fca2c1f1b.html.gz,1.0304877758026123,Most likely human-generated
NC_2020_418498f62409caac6409499e340dd5e1.html.gz,0.9814814925193787,Most likely human-generated
NC_2020_4212b5d5c286083645e720f00aa8cb33.html.gz,0.9594594836235046,Most likely human-generated
NC_2020_42f47bbf49c0617bd5401f3b8f38d4b5.html.gz,0.9766082167625427,Most likely human-generated
NC_2020_484d7963f3f1a05c03d8fd2fdb841e5f.html.gz,1.0062893629074097,Most likely human-generated
NC_2020_48f54b9a7c6f2438e68e71f8bfbdea15.html.gz,1.0136985778808594,Most likely human-generated
NC_2020_4c3b227a9974c3e184ffdc2463c06506.html.gz,0.9849246144294739,Most likely human-generated
NC_2020_4d2f8465c1d47e2eb85a7e1134b7aa76.html.gz,0.9881423115730286,Most likely human-generated
NC_2020_4e1900e869420f4eab81614a68338c37.html.gz,0.989130437374115,Most likely human-generated
NC_2020_4fd148d8aece96ab63cb8f02b07071e3.html.gz,1.076923131942749,Most likely human-generated
NC_2020_5154eaaa177f012b447981dd44687e66.html.gz,0.9589040875434875,Most likely human-generated
NC_2020_5658be21d2b541ea7a2359d8d88dbbae.html.gz,0.9411764740943909,Most likely human-generated
NC_2020_581181c397d3c08a4858937678b7a206.html.gz,1.02816903591156,Most likely human-generated
NC_2020_589da39787d7bf61b037fb4cbaa93c89.html.gz,1.0053191184997559,Most likely human-generated
NC_2020_5af70cf440624d34c53665db16c4e32f.html.gz,0.9781420826911926,Most likely human-generated
NC_2020_60293936bb18536691f0d687cd0491e1.html.gz,1.0880000591278076,Most likely human-generated
NC_2020_6122fabe63260d5cd7d76634181dd7a1.html.gz,1.0370370149612427,Most likely human-generated
NC_2020_6264f6663d67ecee2d8ad76f4c3c0892.html.gz,0.9775280952453613,Most likely human-generated
NC_2020_6efc0c1f3236d79a2564bc9432e83301.html.gz,1.0596026182174683,Most likely human-generated
NC_2020_74f01161045d4562f0e00ad41f2ffdeb.html.gz,0.9636363387107849,Most likely human-generated
NC_2020_75a6d5fd9c50b59b574e88cb7954f0f8.html.gz,0.9709302186965942,Most likely human-generated
NC_2020_772f890b5563bdac794046cbc7cb4682.html.gz,0.9577465057373047,Most likely human-generated
NC_2020_7e216f021075f5e50f6ab3a2250a6a10.html.gz,0.9555555582046509,Most likely human-generated
NC_2020_7f0ab75731b4845e43068b6c91a4898d.html.gz,0.9772727489471436,Most likely human-generated
NC_2020_8097d6becf310cea12d3337315dfd438.html.gz,1.0,Most likely human-generated
NC_2020_8a5c53dd6fc394004b53fc17c57553fb.html.gz,1.0060975551605225,Most likely human-generated
NC_2020_8dc0d57f421a75b9f43a41c6ecdc14e8.html.gz,0.9636363387107849,Most likely human-generated
NC_2020_8e466f17a31963b53015736605294333.html.gz,1.0,Most likely human-generated
NC_2020_8f28262888a914ddfcad189a2829d772.html.gz,0.9689119458198547,Most likely human-generated
NC_2020_907acf6633d74c8f2eccbc2db9bc33b9.html.gz,1.0114942789077759,Most likely human-generated
NC_2020_9183ef46b5f92a18396610fad2e1014e.html.gz,1.0181818008422852,Most likely human-generated
NC_2020_93212e4b0503d40dda13de0937f71da8.html.gz,1.1005290746688843,Most likely human-generated
NC_2020_95cf8dab282ee8344e1145d140ef7d6b.html.gz,1.0,Most likely human-generated
NC_2020_980ca6fd34a0195098817a71815b352f.html.gz,1.0,Most likely human-generated
NC_2020_9b3aad46db5005e8e01411122278c552.html.gz,1.0352941751480103,Most likely human-generated
