Link,Score,Prediction
Every Day Is Jan. 6 Now The Editorial Board,0.9826589822769165,Most likely human-generated
The Challenges of Keeping Schools Open letters,0.9884393215179443,Most likely human-generated
The Republican Party Is Succeeding Because We Are Not a True Democracy Guest Essay,1.029940128326416,Most likely human-generated
Prosecute Donald Trump for the Jan. 6 Coup Attempt? letters,1.0114285945892334,Most likely human-generated
"Imagine It’s 2024, and Republicans Are Declaring Trump President Guest Essay",1.0057470798492432,Most likely human-generated
Trump Isn’t the Only One to Blame for the Capitol Riot Guest Essay,1.0,Most likely human-generated
One Single Day. That’s All It Took for the World to Look Away From Us. Guest Essay,1.0196079015731812,Most likely human-generated
Why Republicans Keep Falling for Trump’s Lies Guest Essay,0.9595375657081604,Most likely human-generated
Jimmy Carter: I Fear for Our Democracy Guest Essay,1.017543911933899,Most likely human-generated
Jan. 6 Looks Different Through the Lens of ‘ American Carnage’ Guest Essay,1.0382513999938965,Most likely human-generated
It’s 2086. This Is What American History Could Look Like. Guest Essay,1.0701754093170166,Most likely human-generated
Christian Nationalism Is One of Trump’s Most Powerful Weapons Guest Essay,0.9555555582046509,Most likely human-generated
"The Storming of the Capitol, One Year On Ezekiel Kweku",0.987730085849762,Most likely human-generated
No One Is Coming to Save Us From the ‘Dagger at the Throat of America ’ Guest Essay,1.034682035446167,Most likely human-generated
‘We Barely Qualify as a Democracy Anymore’: Democratic Voters Fear for America Focus Group,1.018072247505188,Most likely human-generated
Why Republican Voters Think Americans Have to Get Over Jan. 6 Focus Group,1.0691823959350586,Most likely human-generated
What Surprised Us in Focus Groups With Voters About Jan. 6 Patrick Healy,1.0,Most likely human-generated
Talking to Voters From Both Parties letters,0.9941520690917969,Most likely human-generated
"Health Workers, ‘Risking Their Own Lives to Save Ours’ letters",1.0116958618164062,Most likely human-generated
How Much Should You Fret About Rising Federal Debt? Peter Coy,1.0,Most likely human-generated
It’s Misleading to Call Addiction a Disease Guest Essay,0.9659090638160706,Most likely human-generated
Politics and the Supreme Court letters,0.9735099077224731,Most likely human-generated
Are Trump’s Followers Too Gullible? letters,0.9470899701118469,Most likely human-generated
Biden Can Still Rescue His Presidency Bret Stephens,1.0,Most likely human-generated
"Justice Gorsuch : Wear a Mask, or Stay in Your Chambers letters",0.9815950989723206,Most likely human-generated
‘The Lowest Point in My Lifetime’: How 14 Independent Voters Feel About America America In Focus,1.0359281301498413,Most likely human-generated
The One Regret From My Time Leading Planned Parenthood Guest Essay,1.037500023841858,Most likely human-generated
Republicans Think There Is a ‘Takeover’ Happening. They Have Some Reading to Do. Jamelle Bouie,0.9305555820465088,Most likely human-generated
Tough Decisions About End-of-Life Care letters,1.0523256063461304,Most likely human-generated
Should Addiction Be Viewed as a Disease? letters,1.0377358198165894,Most likely human-generated
‘Hell Hath No Fury Like a Voter Scorned’: What 14 Swing Voters Have to Say,0.9930070042610168,Most likely human-generated
Amanda Gorman’s Message to the World letters,1.0470588207244873,Most likely human-generated
Meet the People Getting Paid to Kill Our Planet,0.987730085849762,Most likely human-generated
Why I’ve Decided to Take My Podcast Off Spotify Guest Essay,0.9526627063751221,Most likely human-generated
The Complexities of Addiction Treatment letters,0.949999988079071,Most likely human-generated
"Abortion Views, and Personal Stories letters",0.987730085849762,Most likely human-generated
Should We Continue Online Religious Services? letters,0.97826087474823,Most likely human-generated
Help! Sharing Stories of an Obsession With the Beatles letters,0.9732620120048523,Most likely human-generated
The Supreme Court Has Crossed the Rubicon Guest Essay,0.9719101190567017,Most likely human-generated
An Anti-Vaxxer Dies of Covid. Do You Empathize? letters,1.0,Most likely human-generated
See the True Cost of Your Cheap Chicken,0.988304078578949,Most likely human-generated
12 Economically Insecure Americans on What Keeps Them Up at Night America in Focus,1.0,Most likely human-generated
‘Queen Lucy’ Was a Basketball Superstar. How Will We Remember Her? Lindsay Crouse,0.9870129823684692,Most likely human-generated
The American Dream: Successes and Doubts letters,0.9748427867889404,Most likely human-generated
How Should Biden Deal With Russia on Ukraine ? letters,0.9879518151283264,Most likely human-generated
Can We Get Smarter About Disinformation? Jay Caspian Kang,0.9670329689979553,Most likely human-generated
How Can This University Charge Nothing for Tuition? Peter Coy,0.9873417615890503,Most likely human-generated
The Joy of Cooking (Insects),0.9939393997192383,Most likely human-generated
Why We Are Not Facing the Prospect of a Second Civil War Jamelle Bouie,0.9612902998924255,Most likely human-generated
A Look Inside the Chicken Industry letters,0.9883720874786377,Most likely human-generated
"The I.C.U. Patient, and the Family letters",0.9583333134651184,Most likely human-generated
These 12 Women Don’t Want It All. They Want Better. America In Focus,1.041176438331604,Most likely human-generated
Putin Is Making a Historic Mistake Guest Essay,1.0246913433074951,Most likely human-generated
The Battle for the Soul of the Library Guest Essay,1.0164835453033447,Most likely human-generated
Four Times Opinion Writers Analyze Russia ’s Invasion: ‘The World Has Changed Overnight’ Round table,0.9932432174682617,Most likely human-generated
Is Humility the Right Tone for Biden’s State of the Union Address? letters,1.0,Most likely human-generated
How the Russian Invasion Changed This Ukrainian Pacifist’s Mind,0.9877551198005676,Most likely human-generated
