Link,Score,Prediction
NC_2024_09225dacd1bc97c4ca8892f47828fc8f.html.gz,0.9857142567634583,Most likely human-generated
NC_2024_164dea0afac45e1433d465d9782cbe7a.html.gz,0.8880000114440918,Most likely human-generated
NC_2024_1ea1823aa2a5dcccf875fb5295fc0e5e.html.gz,0.9813664555549622,Most likely human-generated
NC_2024_242548699ee7d1b3091b68419370e412.html.gz,0.9716312289237976,Most likely human-generated
NC_2024_2c9270ea6aa286cb70b694eedc7a050c.html.gz,1.079545497894287,Most likely human-generated
NC_2024_2ce5ac2f9c48d0aaa87c9d02218586e1.html.gz,0.9930070042610168,Most likely human-generated
NC_2024_345cc1a8487f679a8f121113b4dea8de.html.gz,1.0785714387893677,Most likely human-generated
NC_2024_546ee9b486dfd6c924f15aeaaf58dce6.html.gz,0.9427083134651184,Most likely human-generated
NC_2024_62d22b02cac0b13963d8905f8ab3d58c.html.gz,0.9420289993286133,Most likely human-generated
NC_2024_8158a07dda141385fb00146481c3384d.html.gz,1.0204081535339355,Most likely human-generated
NC_2024_9654d4a5dbafa2f28755af0dadcd62bc.html.gz,0.9432623982429504,Most likely human-generated
NC_2024_ac16b8485411b12b98f94ec30638376a.html.gz,0.9795918464660645,Most likely human-generated
NC_2024_c7b3ed159a89fd04f5c5f324ec65454a.html.gz,0.9447513818740845,Most likely human-generated
NC_2024_d29ac269141691920cc0f6899ced2e0b.html.gz,0.9527027010917664,Most likely human-generated
NC_2024_e1cfd9f4be2caabc56f12d021c092efe.html.gz,0.991525411605835,Most likely human-generated
NC_2024_f84b4c55a04136ea020166f2b058d236.html.gz,0.9793103337287903,Most likely human-generated
