Link,Score,Prediction
OH_2022_019153eeb32ceeaa9580f671ec8c512a.html.gz,1.0242424011230469,Most likely human-generated
OH_2022_0539961888afc7e81683f95ccc3e9530.html.gz,0.9939393997192383,Most likely human-generated
OH_2022_082cb4f056336938744112c49cc297b8.html.gz,1.0117647647857666,Most likely human-generated
OH_2022_09174e0708646238d9caaab1f9f4bf8d.html.gz,1.024896264076233,Most likely human-generated
OH_2022_0940fea7d034963c141fe205500b5f4e.html.gz,1.0509554147720337,Most likely human-generated
OH_2022_09e5b0c353e301d6282b9cb98012607e.html.gz,0.9944751262664795,Most likely human-generated
OH_2022_0cde56b979a8f650f7d4ddcb4d2238f7.html.gz,1.067415714263916,Most likely human-generated
OH_2022_0e53062bb78643666d2a924e696016a5.html.gz,1.0921052694320679,Most likely human-generated
OH_2022_0f7c41042c62e26303afdeb30d781cfc.html.gz,0.5921052694320679,Most likely AI-generated
OH_2022_135523a149760499e7bdbf5e022cc5e1.html.gz,0.948051929473877,Most likely human-generated
OH_2022_1518a9383e4ceb1e804768a0f56d57d4.html.gz,0.9874213933944702,Most likely human-generated
OH_2022_1cd55cd32841959c5f36d37a3500b84a.html.gz,0.9738562107086182,Most likely human-generated
OH_2022_20387de3bc35f6c07187b83a6845f3ea.html.gz,0.9542483687400818,Most likely human-generated
OH_2022_20a9fcb49b5dd1f2b8c5a44ee9a572a4.html.gz,1.040816307067871,Most likely human-generated
OH_2022_21ade4a32a56613de234d589ab92da79.html.gz,0.9352940917015076,Most likely human-generated
OH_2022_227a47429b45a4cad1b119dc9c52cdc9.html.gz,0.9924812316894531,Most likely human-generated
OH_2022_2307d77a20d3aab35d111ddf75b1dbb3.html.gz,0.9834254384040833,Most likely human-generated
OH_2022_26aca6a8ef9c22ac3dbdd4bbb1c8dd4d.html.gz,1.012195110321045,Most likely human-generated
OH_2022_26fcae9c296abb94c4f50c64fffebb06.html.gz,0.9738562107086182,Most likely human-generated
OH_2022_27466d25484d824fb367371c9e021fbb.html.gz,1.0,Most likely human-generated
OH_2022_278f43d9427513a6c55f251106d0185a.html.gz,1.0465116500854492,Most likely human-generated
OH_2022_2a1e44c997cb68f135bf22ad35a944a8.html.gz,1.0611110925674438,Most likely human-generated
OH_2022_2e390f18590fb09634f4c96a92dc3854.html.gz,1.078787922859192,Most likely human-generated
OH_2022_351841e2f01347ce03542444cbe1c51e.html.gz,1.074324369430542,Most likely human-generated
OH_2022_3a5c140d6879bf2275a4dd50d9e2346d.html.gz,0.9172413945198059,Most likely human-generated
OH_2022_3d8913614b798994ce1c7bf8125a0fc4.html.gz,1.0,Most likely human-generated
OH_2022_40351c6a5cf075cfefa3ca6a2c580a64.html.gz,1.0503144264221191,Most likely human-generated
OH_2022_41204f0c95fd026d039e9906076f6ea2.html.gz,1.0242424011230469,Most likely human-generated
OH_2022_447fb1ae686ae2bcdaa542fce9e65dea.html.gz,1.0187499523162842,Most likely human-generated
OH_2022_44ca9b585c72e9e3d78a17baeee80132.html.gz,1.0355556011199951,Most likely human-generated
OH_2022_45046d8b97f60faab8f5c00d0bbfd77f.html.gz,1.0160642862319946,Most likely human-generated
OH_2022_467f6d58e2c12f8da51c11058fdd6b7f.html.gz,0.9733333587646484,Most likely human-generated
OH_2022_4e6cbc170445b8a567d86795dd906e96.html.gz,1.0052909851074219,Most likely human-generated
OH_2022_524c10f543f7f22b2674b1458084cc1e.html.gz,1.0529801845550537,Most likely human-generated
OH_2022_53dc8d100b4b7e7e055b6f04e4c66077.html.gz,1.0070922374725342,Most likely human-generated
OH_2022_53e9d16d04e299d63cdda2b48b559b1e.html.gz,1.0070922374725342,Most likely human-generated
OH_2022_5603ef144b77b7a998ded6b256f6d70c.html.gz,0.9090909361839294,Most likely human-generated
