Link,Score,Prediction
OH_2024_04b886bf8729daa42bc670141e6aa32d.html.gz,0.8405172228813171,Most likely AI-generated
OH_2024_0cac25713f71c59ad0925260924a1e80.html.gz,0.9318181872367859,Most likely human-generated
OH_2024_0cbd722789c2b9239bf474528e527f5d.html.gz,0.9181286692619324,Most likely human-generated
OH_2024_26ad4154779aa4eb2b877cbb26a676f3.html.gz,1.0319149494171143,Most likely human-generated
OH_2024_39a9d9d586e6ce5c9d8780c6cff9797a.html.gz,1.0136985778808594,Most likely human-generated
OH_2024_3a070e172ab4753bc2f29e459be46c93.html.gz,1.0687023401260376,Most likely human-generated
OH_2024_3a884526c435ab6ddc70af3940357f39.html.gz,1.0789474248886108,Most likely human-generated
OH_2024_42af273580932090d0857356e3b96644.html.gz,1.0536912679672241,Most likely human-generated
OH_2024_53290efb58b3d1ce657b6845f01df27b.html.gz,0.9701492786407471,Most likely human-generated
OH_2024_60ac7dee5308992ed8f5dd174cd00e98.html.gz,1.0211267471313477,Most likely human-generated
OH_2024_6e5e3923b7c44962e6c8f995842d492f.html.gz,1.058394193649292,Most likely human-generated
OH_2024_72df3e0cb49f62e8874bcefd81e30420.html.gz,1.0193548202514648,Most likely human-generated
OH_2024_78e5bd44a7483b075e1fda6265d07240.html.gz,1.0296295881271362,Most likely human-generated
OH_2024_8556aeb00b5a847c33755549bab7432d.html.gz,0.9637681245803833,Most likely human-generated
OH_2024_8a51f5ecb44934c44def115f76b6a3ba.html.gz,0.9625668525695801,Most likely human-generated
OH_2024_942f936f90a39e55086640b0f3577f93.html.gz,0.9554139971733093,Most likely human-generated
OH_2024_957d219aee98366de383bd8ec3ea288a.html.gz,0.9642857313156128,Most likely human-generated
OH_2024_976a480ac25fb847b828bf881d54515c.html.gz,1.0472972393035889,Most likely human-generated
OH_2024_b322fe87681740f5ec36ff05302f025a.html.gz,1.0333333015441895,Most likely human-generated
OH_2024_b554757519513441700712a829360cf7.html.gz,1.0184049606323242,Most likely human-generated
OH_2024_ba80fda2f01378d7f72ed32f18170b1b.html.gz,1.058394193649292,Most likely human-generated
OH_2024_bd413e68944f412365233f7876051b7e.html.gz,1.0909091234207153,Most likely human-generated
OH_2024_be00be85d4ddffb538f4bb9b51ed711c.html.gz,1.0,Most likely human-generated
OH_2024_c4815e4439eaa74df8e3cf8e83a8eed2.html.gz,1.0,Most likely human-generated
OH_2024_cc6879852770c15619b31422eccf9abc.html.gz,1.0284091234207153,Most likely human-generated
OH_2024_db22d402b6b861e29efd44ec3587599d.html.gz,0.9781420826911926,Most likely human-generated
OH_2024_e05e4e0465240d8f73cb4c7c030ea2e4.html.gz,0.9239130616188049,Most likely human-generated
OH_2024_e5570d1b9e5a5902e4aa525328947d1e.html.gz,1.0284091234207153,Most likely human-generated
OH_2024_e58ceba2e5527ac95505f62e9ec768b6.html.gz,1.0,Most likely human-generated
OH_2024_e8c79912eb1657089b9912c46b5dcad6.html.gz,1.0137931108474731,Most likely human-generated
OH_2024_ed776207e9172902a486fb09ac6242d4.html.gz,0.97826087474823,Most likely human-generated
OH_2024_f15bb33255a35dddaea36542d98876f7.html.gz,0.9723502397537231,Most likely human-generated
OH_2024_f1a47fcf7df7389008847b6373826acb.html.gz,0.9943181872367859,Most likely human-generated
OH_2024_fee2624c5863eeceb21e7af13c667ba8.html.gz,1.0196079015731812,Most likely human-generated
