Link,Score,Prediction
MN_2022_05272fec23ccaf913731f9bfaa031235.html.gz,1.0,Most likely human-generated
MN_2022_057d56033b10f8fba9afe1e85fc9f96a.html.gz,1.0487804412841797,Most likely human-generated
MN_2022_060ea5e9c56f806ef6a6139679e5616d.html.gz,0.8708133697509766,Most likely human-generated
MN_2022_069c87db5927dec55db4721d4a40ac72.html.gz,0.9766082167625427,Most likely human-generated
MN_2022_0cabdc4abf6123cc3b574f4f5c0ba615.html.gz,0.9810126423835754,Most likely human-generated
MN_2022_10dcbb020550120974779b2ca53fd786.html.gz,0.9236111044883728,Most likely human-generated
MN_2022_12748597ee1b0c57942ee822b08602d9.html.gz,0.9695122241973877,Most likely human-generated
MN_2022_12a366b3b092ff2a083e90c13cde2904.html.gz,0.9448275566101074,Most likely human-generated
MN_2022_143e47cedf1d41a33d83e3432b4359b0.html.gz,1.0259740352630615,Most likely human-generated
MN_2022_18508bef6afe814d928ac4436e496a2c.html.gz,0.9599999785423279,Most likely human-generated
MN_2022_1a2c4e7bdd18399bd8d91cc9956e4872.html.gz,0.9939758777618408,Most likely human-generated
MN_2022_1cb446cf3c98c7b5e60f72b36d31fe2e.html.gz,0.9642857313156128,Most likely human-generated
MN_2022_20db8350252cccd13ca76316584d7aec.html.gz,0.9813664555549622,Most likely human-generated
MN_2022_222904702db74e03dffc9c3cf8975b69.html.gz,0.9942196607589722,Most likely human-generated
MN_2022_256ea083812158d4e35ab0f0cd7c1a5b.html.gz,1.047619104385376,Most likely human-generated
MN_2022_27e0c6f4b2f56fc098272da3bbd9cc8d.html.gz,0.9873417615890503,Most likely human-generated
MN_2022_2808a822300266a009ed95c3e732e51b.html.gz,1.013071894645691,Most likely human-generated
MN_2022_2cef388807ba0846cb12e160ee84a8ac.html.gz,0.9527027010917664,Most likely human-generated
MN_2022_2d7a536d99d8d83ab369c009a5e3a38e.html.gz,0.9939393997192383,Most likely human-generated
MN_2022_2de9812d7e70059e12a45896eb49a6bc.html.gz,1.0580644607543945,Most likely human-generated
MN_2022_32933c0ed44549201079ab094440d071.html.gz,0.9930070042610168,Most likely human-generated
MN_2022_32f4756d9b5e019058212b5ef8654e37.html.gz,1.0511363744735718,Most likely human-generated
