Link,Score,Prediction
MT_2022_19356da756f751a84fb21586cb43d129.html.gz,1.028735637664795,Most likely human-generated
MT_2022_477fb7d722bd7c20bf0a513b2094d893.html.gz,0.9328358173370361,Most likely human-generated
MT_2022_678e5d687032acf928476f40898ed517.html.gz,0.9620253443717957,Most likely human-generated
MT_2022_7271b7c1028c71ce9fce062eac08c1db.html.gz,1.0322580337524414,Most likely human-generated
MT_2022_7752dbdd1958905ca1bf304261735bbc.html.gz,0.9772727489471436,Most likely human-generated
MT_2022_8d4857a04687c13e24becdbaaf6ba4f8.html.gz,0.9939393997192383,Most likely human-generated
MT_2022_8e732dd2e8d6eb99bf63b0fc745941dd.html.gz,1.0666667222976685,Most likely human-generated
MT_2022_b0a0d39524ad96832ad3fc2cbafd61fc.html.gz,0.949999988079071,Most likely human-generated
MT_2022_c5eeb8f33c27f46f338718088223594f.html.gz,1.0549451112747192,Most likely human-generated
MT_2022_cb46f2bf14db444239bf57b936eed7c2.html.gz,0.9470899701118469,Most likely human-generated
MT_2022_f09a0e5ad08769f4acca9804ee75b747.html.gz,0.9277108311653137,Most likely human-generated
