Link,Score,Prediction
CO_2023_11e30d744ba89e185ee785f212ef7f16.html.gz,1.006993055343628,Most likely human-generated
CO_2023_12766fb9686e30462f7053fd9820c6e8.html.gz,0.9599999785423279,Most likely human-generated
CO_2023_13bfceda4573243c3ba500cded0338c8.html.gz,1.0617977380752563,Most likely human-generated
CO_2023_1dee336a083f38b73d5dd4be203d55c1.html.gz,1.0072993040084839,Most likely human-generated
CO_2023_3dee89e0dcb71d83052505edb969d5a1.html.gz,0.9803921580314636,Most likely human-generated
CO_2023_403533adb38226f4f64764ab8612a649.html.gz,1.0,Most likely human-generated
CO_2023_43c91e54656abc897530a0dca35df81f.html.gz,0.9661017060279846,Most likely human-generated
CO_2023_4f949345f190b7973caff6be3029e307.html.gz,0.9395973086357117,Most likely human-generated
CO_2023_7acf492aeea34661050ceaa749c4f99f.html.gz,0.9876033067703247,Most likely human-generated
CO_2023_88e1f544a848659c823dc5d662704366.html.gz,0.9453125,Most likely human-generated
CO_2023_95a303a30fbf6e98256672af8ee4beb7.html.gz,0.9718875288963318,Most likely human-generated
CO_2023_9609a1cc836f4b3a8920a837b58c2d14.html.gz,0.961240291595459,Most likely human-generated
CO_2023_c0aad886a9bcbcc9088840c99c7e430b.html.gz,0.9615384340286255,Most likely human-generated
CO_2023_ccbbb22499aac6b52a0681933c864928.html.gz,1.0205479860305786,Most likely human-generated
CO_2023_f72e53f4b7dfd43af1c47eebccf1a206.html.gz,1.0215827226638794,Most likely human-generated
