Link,Score,Prediction
OH_2021_04c06f1fef930a767a8f2315e9fbed50.html.gz,0.9756097793579102,Most likely human-generated
OH_2021_0da1d67d7413ab3a472778a7af925eee.html.gz,1.0,Most likely human-generated
OH_2021_1481530036ae236f294b9a3d36a96379.html.gz,0.9597315192222595,Most likely human-generated
OH_2021_1c8534f89472915b5ee47b641fe1dc82.html.gz,0.9371069073677063,Most likely human-generated
OH_2021_4e161550c520693617f8b62f17581579.html.gz,0.9601989984512329,Most likely human-generated
OH_2021_613ff7dc6eeb9ee4609fafe87227b926.html.gz,0.9436619877815247,Most likely human-generated
OH_2021_6b8adfc7576122dbd6d945c0b034b7cd.html.gz,0.9878787994384766,Most likely human-generated
OH_2021_98786145d3d3ea6fcff9ce3b4d87e4e9.html.gz,0.9753086566925049,Most likely human-generated
OH_2021_a0edc6f8157456d1a50e55d9b29eedff.html.gz,0.9375,Most likely human-generated
OH_2021_c55fc79eeec8c58862e33479093bb0e9.html.gz,0.96875,Most likely human-generated
OH_2021_ca82653bff4c9710f76e21baa07b3a67.html.gz,1.0714285373687744,Most likely human-generated
OH_2021_d1046a4c4aeaa133ddbef21c4ac71f7c.html.gz,0.9014084339141846,Most likely human-generated
OH_2021_ea00235737273d0a3df83d452a092ebe.html.gz,0.9358974099159241,Most likely human-generated
