Link,Score,Prediction
CO_2021_003fbc1356d8cc98517b8016d1266d69.html.gz,1.0,Most likely human-generated
CO_2021_004a396c7f8d7dd2ac4a2f1b1e93777b.html.gz,1.1202532052993774,Most likely human-generated
CO_2021_011270746481a5c2f88bf3b00dd3ac20.html.gz,1.011049747467041,Most likely human-generated
CO_2021_04004e4b8dadc866c011056bf2230aec.html.gz,0.9420289993286133,Most likely human-generated
CO_2021_058d63442a17cbe36787c9af7ebb3638.html.gz,1.0,Most likely human-generated
CO_2021_0b637c798317c788d7443f7fa17f122f.html.gz,0.9466666579246521,Most likely human-generated
CO_2021_0d86fbdd036184614f8a393a6db92e68.html.gz,0.9612902998924255,Most likely human-generated
CO_2021_0ec6443c39a4c54526399f75a2dce252.html.gz,1.0,Most likely human-generated
CO_2021_1996de348a9e70320f7bef8d51dd19a8.html.gz,0.9937888383865356,Most likely human-generated
CO_2021_1b3dbf0417e620ac5f50067f1a0c623a.html.gz,1.023391842842102,Most likely human-generated
CO_2021_2183be1e52c7f97d5f93a02515d34f10.html.gz,1.0253164768218994,Most likely human-generated
CO_2021_2250f75d254a9b0e5212ad0b46165181.html.gz,1.0258064270019531,Most likely human-generated
CO_2021_23686856a9ae3c7c04061c083b573682.html.gz,0.9726027250289917,Most likely human-generated
CO_2021_23ed69a92e42bef86bc06dbfa75d3a5f.html.gz,0.9492753744125366,Most likely human-generated
CO_2021_25bbceb6c85e159389be6540fd52a5de.html.gz,1.0,Most likely human-generated
CO_2021_26eb8ff673c0b7c503d6b64f751ccf7b.html.gz,1.0314465761184692,Most likely human-generated
CO_2021_2a46dc9ee101f9e319d263445cf3adea.html.gz,0.9680365324020386,Most likely human-generated
CO_2021_2d3462832e74f72842a9dd9c7ec5ba3a.html.gz,1.0,Most likely human-generated
CO_2021_2d5f16df445f25615981dbafe5ac130c.html.gz,1.0060606002807617,Most likely human-generated
CO_2021_31001eacdf61742fe4e60023ccd7efca.html.gz,1.0,Most likely human-generated
CO_2021_330ec2deb58c77c71b8866cec6999b3f.html.gz,1.0282485485076904,Most likely human-generated
CO_2021_33af847d072cafe8fde36b50836d7722.html.gz,1.0,Most likely human-generated
CO_2021_34183b4ce00cb00036d2aba1387ccf8e.html.gz,0.9748427867889404,Most likely human-generated
CO_2021_37dedb31cbd12bd384d58cad4a356800.html.gz,1.0489130020141602,Most likely human-generated
CO_2021_3cb38317e9cc74b1908c5721b16e1429.html.gz,0.9795918464660645,Most likely human-generated
CO_2021_3cc10ddbca0c4efe2c8835b49d393100.html.gz,0.9801324605941772,Most likely human-generated
CO_2021_40471ec93c5b79ed11e70b63e0d46061.html.gz,0.9795918464660645,Most likely human-generated
CO_2021_41a6f51b583817af577c712c1c966c19.html.gz,0.9888888597488403,Most likely human-generated
CO_2021_4368cf9183d77f866cff766136dcd74d.html.gz,0.9785714149475098,Most likely human-generated
CO_2021_442ace8be2316c5c117b5ea1f35f6a7c.html.gz,0.9786096215248108,Most likely human-generated
CO_2021_45ae55c44ed3b2dc17740517aee6c23d.html.gz,1.0,Most likely human-generated
CO_2021_45be9900882230a0913c76ac43463681.html.gz,1.0427807569503784,Most likely human-generated
CO_2021_4747fdc156ef5d1b87097e5bcd08bcf4.html.gz,1.0816326141357422,Most likely human-generated
CO_2021_49450b0871cc78729bf7b927e6fa9eba.html.gz,1.0,Most likely human-generated
CO_2021_54c230bba934d67df539c28565c3da9c.html.gz,1.0242424011230469,Most likely human-generated
CO_2021_569af08f98bed70fa53004b63e9af842.html.gz,1.0219780206680298,Most likely human-generated
CO_2021_5b2db710d28a72e44697f8d5e90f7dd2.html.gz,0.9936708807945251,Most likely human-generated
CO_2021_5b87239c0a64fc1ecf287c3e211cbe9a.html.gz,1.0443037748336792,Most likely human-generated
CO_2021_5cfa69f95f60b06463c9fbf9ea7cd9a1.html.gz,1.0117647647857666,Most likely human-generated
CO_2021_61428d44821db6538ad5666462ca95ce.html.gz,0.9530201554298401,Most likely human-generated
CO_2021_63189b11d1bbd89123407ee13373939a.html.gz,1.0263158082962036,Most likely human-generated
CO_2021_63c15a594c2842017660cbfe77ecd4a0.html.gz,0.9513888955116272,Most likely human-generated
CO_2021_6bff2ef67def4588b4ae7f8ee9eb025f.html.gz,0.9241379499435425,Most likely human-generated
CO_2021_6ec0f95aa8ea699ce20981f752846303.html.gz,1.0,Most likely human-generated
CO_2021_74ae86f65d68078f235f2148f72016ef.html.gz,0.9817073345184326,Most likely human-generated
CO_2021_75f608ee6891468d3810b01672eca3f8.html.gz,0.9527027010917664,Most likely human-generated
CO_2021_794bbebd90d5cd5ec8ae8b748bfba64a.html.gz,0.9784172773361206,Most likely human-generated
CO_2021_79ccb067ff3f8f7c2d38ecccd047826e.html.gz,0.9864864945411682,Most likely human-generated
CO_2021_7bc1c5e2236805624f0f733380cd3528.html.gz,1.0309277772903442,Most likely human-generated
CO_2021_7c2eb265bea0dd494a77279059784314.html.gz,0.9938271641731262,Most likely human-generated
CO_2021_851381a1c9beb3863ebfc5afc364ef15.html.gz,1.0,Most likely human-generated
CO_2021_86bab801e7cf9f5f9a2637f2a0f75b8f.html.gz,1.0,Most likely human-generated
CO_2021_8a0f5bf7c598a79b2298ec6367eed614.html.gz,0.9389671087265015,Most likely human-generated
CO_2021_91aff468557a4c24f2dd5161b99fcdda.html.gz,1.0064102411270142,Most likely human-generated
CO_2021_9842dac529e63629245ae27d929a6351.html.gz,1.0303030014038086,Most likely human-generated
CO_2021_acd10574a459fa14e644c403247c58e8.html.gz,0.9931034445762634,Most likely human-generated
CO_2021_addf551c09b1022b4493498c1afdeec1.html.gz,0.9795918464660645,Most likely human-generated
CO_2021_af486b501d8aa22e7323305baf75ba71.html.gz,0.8933333158493042,Most likely human-generated
CO_2021_b22ac031681e5169d52684a3b9ef28d0.html.gz,1.0116958618164062,Most likely human-generated
CO_2021_b2389a3340b68372728cbd6252606afa.html.gz,1.0263158082962036,Most likely human-generated
CO_2021_bb912c961984114847656ee0c388c494.html.gz,1.0113636255264282,Most likely human-generated
CO_2021_bbd376b085ed2d4d92213d1932762719.html.gz,0.9878048896789551,Most likely human-generated
CO_2021_bdb4eb91565e33e4bf278409419dfa2a.html.gz,1.0754716396331787,Most likely human-generated
CO_2021_c16494488f3a47fc979eda0d45226245.html.gz,0.9938271641731262,Most likely human-generated
CO_2021_c2f2d1dca13fd43be6e3eb17db4b0534.html.gz,0.9454545378684998,Most likely human-generated
CO_2021_c55a436378f2d3d963449d40e42bf983.html.gz,1.0370370149612427,Most likely human-generated
CO_2021_ca3629c1f48884c7358a5948cac9f4f9.html.gz,1.0,Most likely human-generated
CO_2021_cb9e0068cbae643ad79b9fa589b6018d.html.gz,1.0645161867141724,Most likely human-generated
CO_2021_cee3c7583f861060aeaf2c7fab10a617.html.gz,0.9626865386962891,Most likely human-generated
CO_2021_cf8c3de0ec1ae353cc95873836de2eb0.html.gz,1.0779221057891846,Most likely human-generated
CO_2021_cfea54c8fc1aeaddc9fe1e5134bc5398.html.gz,0.9943181872367859,Most likely human-generated
CO_2021_d669e28d8aef57d556c421295f826738.html.gz,0.9595375657081604,Most likely human-generated
CO_2021_de8d7309a3a4269198d86fe290929606.html.gz,0.954023003578186,Most likely human-generated
CO_2021_eb86771655904c9e5ea3a4b7a18554e1.html.gz,1.0140844583511353,Most likely human-generated
CO_2021_ee1df37848365fe6ee9322fa7d681a5d.html.gz,1.0068492889404297,Most likely human-generated
CO_2021_eee5495db8c4d32fb9e87615e192ad98.html.gz,0.9160584211349487,Most likely human-generated
CO_2021_f2e1ce619f84c0adec275c698d5e5396.html.gz,0.9571428298950195,Most likely human-generated
CO_2021_f5ef3c17d4a56a591d202b5cbaf3c6f4.html.gz,1.0340908765792847,Most likely human-generated
CO_2021_f658bee9de96e507aa333dd73f38dd75.html.gz,1.0,Most likely human-generated
CO_2021_f767ce9ecf5da9336afe4562053f03d1.html.gz,0.9622641801834106,Most likely human-generated
CO_2021_fc4e25b80a3c1392b3b0d29ad2b18e84.html.gz,0.9863013625144958,Most likely human-generated
