Link,Score,Prediction
NM_2021_0acf1f4727111e7d5c20ead15e656a9f.html.gz,1.0120482444763184,Most likely human-generated
NM_2021_1549b215044f60b8c46c4ebefafb0e2f.html.gz,1.0340136289596558,Most likely human-generated
NM_2021_36ec6e80320382eac9dcd278598ac747.html.gz,1.0,Most likely human-generated
NM_2021_417cfda53be1f2bd051b56bd84325093.html.gz,0.9074074029922485,Most likely human-generated
NM_2021_4b1a67dc7dc5552d17e4a71551c35757.html.gz,1.0202702283859253,Most likely human-generated
NM_2021_557e429dd19dac7103689cec5cf52538.html.gz,0.9236640930175781,Most likely human-generated
NM_2021_63d40854ca93d0e46907aa0a0824a77f.html.gz,0.8855421543121338,Most likely human-generated
NM_2021_6b869c777da16f47612de87e92185630.html.gz,0.9626865386962891,Most likely human-generated
NM_2021_714290ee0aca5824c025878d215d15f0.html.gz,0.9354838728904724,Most likely human-generated
NM_2021_7f23c7f62648974904de4a6fd40f481a.html.gz,1.0463576316833496,Most likely human-generated
NM_2021_8a1f12fd43f1df74422dc76704fd5f08.html.gz,0.8782051205635071,Most likely human-generated
NM_2021_8bd2fbdcec45c42d47c7383d1a1061c5.html.gz,0.9775280952453613,Most likely human-generated
NM_2021_8d3f149223acf9620e5e68f49b14b2b5.html.gz,1.0139859914779663,Most likely human-generated
NM_2021_9347790b4e383671aaf2ea70c6541cac.html.gz,1.034482717514038,Most likely human-generated
NM_2021_a6eef6cd4206ff09fed9622933d3868b.html.gz,0.9074074029922485,Most likely human-generated
NM_2021_b138cf16b91e6f4e7d5b2d8925c7f33a.html.gz,1.059288501739502,Most likely human-generated
NM_2021_b6edc35d904e46eebb74532bdef1efa5.html.gz,1.034246563911438,Most likely human-generated
NM_2021_ba9d7c8c61359de5db96d01b476844bc.html.gz,0.8333333134651184,Most likely AI-generated
NM_2021_bd6a4a6511620d26604323f121926db8.html.gz,0.9568345546722412,Most likely human-generated
NM_2021_cc54e96282e1c7aa8586365a9fd7d7ad.html.gz,0.9852941036224365,Most likely human-generated
NM_2021_cd9523d5275680c3b8d505e03c4c1f1e.html.gz,1.0382165908813477,Most likely human-generated
NM_2021_ce277231d3983a4d85c526928fe6b1a7.html.gz,1.0727273225784302,Most likely human-generated
NM_2021_d4d927aea5ffa9fddc1dc24ca23ed40f.html.gz,0.993630588054657,Most likely human-generated
NM_2021_d9dc4b44f2ecb4f1ec18b1c10fbf57a7.html.gz,1.082417607307434,Most likely human-generated
NM_2021_ee4797220d28d48d7d4bb786e3a00c74.html.gz,1.0567375421524048,Most likely human-generated
NM_2021_f7106f9014ade89e35d613e7f22c0510.html.gz,1.0093896389007568,Most likely human-generated
