File,label,score
WA_2021_4d5c770eef312a47a0ed036d5ebbe03b.html.gz,HUMAN,0.18771256147279805
WA_2021_087887c7f446db33f3597cdbdddd0ef5.html.gz,HUMAN,0.2842362700494251
WA_2021_3f4e525e376377ab224242530e9235b7.html.gz,AI,0.9536535066238255
WA_2021_3d3146b349c416d0971f644dd33b0280.html.gz,HUMAN,0.21776078319922426
WA_2021_3d39e9dd648eac6291efeae4458dc383.html.gz,HUMAN,0.46659239943110076
WA_2021_521af53d987814e66cdc9510f20660de.html.gz,AI,0.5015502067680493
WA_2021_70946bf55e7bb4432f84dff326d2f7af.html.gz,AI,0.6008771399867952
WA_2021_d1c87037af7d22211e006ad9f0acf126.html.gz,HUMAN,0.1924668799151556
WA_2021_d21bf44008f58e88b709b2a376459e1d.html.gz,AI,0.5279829305815247
WA_2021_b0a73dc70be4c5cf42b77cffb0e13ac7.html.gz,HUMAN,0.24951372837210467
WA_2021_d2ce68d0f26ce02efdbf7fd92171c528.html.gz,HUMAN,0.19151345585547844
WA_2021_dab41397b24463a2cb197b8556d0c697.html.gz,HUMAN,0.21367921393977746
WA_2021_db13b559efa95849e78f982b0e7d6780.html.gz,HUMAN,0.3137794562456547
WA_2021_decc1de4b39d78f871fdd03865a92f64.html.gz,HUMAN,0.22546353428925292
