File,label,score
AR_2022_028b1bb6cbb5084fd4148783de94ba0d.html.gz,HUMAN,0.22717053401758722
AR_2022_024cc4185346109002c87575b3f9c9ac.html.gz,HUMAN,0.25514148094177946
AR_2022_00e798c2dbba95c70fdac491a4a3194d.html.gz,HUMAN,0.18795204130706208
AR_2022_05980066e8647076fd2cc035748a4561.html.gz,HUMAN,0.18748344979869425
AR_2022_07eec6e57265ad7e4f5968ad1f2fb882.html.gz,HUMAN,0.4371009021212668
AR_2022_02bf59f3bd86288d44551ed8e39eab4c.html.gz,HUMAN,0.1905031940426839
AR_2022_13b3bc2347e95550e99150e5f12e47d0.html.gz,HUMAN,0.3193045074141707
AR_2022_0f4a7fee6739f6439cde303783d73cfb.html.gz,HUMAN,0.22428751735947156
AR_2022_1207727b75eee3795b397aeb30ac1e12.html.gz,HUMAN,0.36975182181070193
AR_2022_13c6057dc95f5443cb9537b9dda21680.html.gz,AI,0.7079303032801174
AR_2022_16c0a3edb55711273e833953bf50c1cf.html.gz,HUMAN,0.18847965495890553
AR_2022_19a0e858c86a6f04920a594c059c40c7.html.gz,HUMAN,0.2666665265761927
AR_2022_1a930e0aa19051e8a4ec310eec067079.html.gz,AI,0.8757551252252703
AR_2022_1c6631cfdce97d159f9ca043180a8f85.html.gz,AI,0.6109111930896775
AR_2022_2035b8c2693c6693e13813b777a92f8e.html.gz,HUMAN,0.2389593386103528
AR_2022_21c8972d0a71bdb502af750ee3c50640.html.gz,AI,0.9695717896726628
AR_2022_26c0d63962c13c0ebbedaa62b8eee401.html.gz,AI,0.9999954426432848
AR_2022_27fc97648e34c77b82741784190b2d7e.html.gz,AI,0.9999999888102382
AR_2022_2f62967888eb463847f88d3a22768505.html.gz,HUMAN,0.2275864513369927
AR_2022_333562ef1e5ef86749bb9f7275cf5e79.html.gz,HUMAN,0.24688190031500215
AR_2022_3abac2d17f98835ee475cd6f19b81002.html.gz,HUMAN,0.19337964833598278
AR_2022_45558e40f9b258cec315ab57bd8b2e83.html.gz,HUMAN,0.20595685663280833
AR_2022_4a1d69e8532f2857a83cc3ab5bed2e9a.html.gz,HUMAN,0.4371009021212668
AR_2022_48455c0234c472060ef15162cbb98707.html.gz,HUMAN,0.3665283709410143
AR_2022_4ff0297ec337fdfb54f1971ffe31979c.html.gz,HUMAN,0.29010310877575807
AR_2022_537bb2ddd1a36bd711f40bc268e6e330.html.gz,HUMAN,0.27349197182006113
AR_2022_53e4ea202b992fdb04bee3deb5818433.html.gz,HUMAN,0.26321491328102037
AR_2022_57457185d1ab7627baacb6348d2bcc3f.html.gz,HUMAN,0.27055445108173304
AR_2022_577ae84216e0db3a0c1097a50b7dab45.html.gz,HUMAN,0.21740773605424768
AR_2022_58453bd52463519054d53efb7f991d34.html.gz,HUMAN,0.19540175328109233
AR_2022_60be87a82e887b393cb233209266bd62.html.gz,HUMAN,0.18773043919222807
AR_2022_66ba01cd0f9e9baebfb327aa83fd9d0c.html.gz,AI,0.6606556697460919
AR_2022_6db48279bc83f1a022c83615761a4600.html.gz,HUMAN,0.19544450499847277
AR_2022_6f99b9a506df7b5854d37b47a95b0f78.html.gz,HUMAN,0.31340588536223185
AR_2022_8eac39e50db534fee6ca3f6292056c01.html.gz,HUMAN,0.3232411242778601
AR_2022_90affb2efd2403a4c5cce72c37e71f3c.html.gz,HUMAN,0.18877527125319488
AR_2022_9450e7798ff532e6954338f6baa87475.html.gz,AI,0.5377997298716629
AR_2022_9e25e96e68fcc58e097f67120b23c5e9.html.gz,HUMAN,0.2075364030685006
AR_2022_a3fb0129b0837686cb3f23be7b9aa08c.html.gz,HUMAN,0.24145631080762658
AR_2022_a5c1c0e91238454eab6a4311be0f57bb.html.gz,HUMAN,0.23586828762203338
AR_2022_a6466f7718fc16cf5c7f3a97081a21d6.html.gz,HUMAN,0.18748097493184737
AR_2022_a93e97a586e5f8069f3b2f7b5c3663cc.html.gz,AI,0.9999228537748011
AR_2022_a9da5b9fe3d7bcfcd1b687d76d71c6c9.html.gz,AI,0.5437224111121483
AR_2022_ae5910af2078b429fec050430c993c07.html.gz,HUMAN,0.43323719442390657
AR_2022_b731cc6fd48eee2601846d726a78bc6e.html.gz,HUMAN,0.25235175963091017
AR_2022_bb9d05a04716656f06e0c8e07368f85c.html.gz,HUMAN,0.19632800138382347
AR_2022_be580aa9d68949329b18eb24a211301e.html.gz,HUMAN,0.18755140484811017
AR_2022_bf44297541eb2cad9b968f2735014faf.html.gz,HUMAN,0.37868150672120726
AR_2022_c598ecae11f7f7127ea3fe38ac4edd5e.html.gz,HUMAN,0.1956167153759382
AR_2022_c6ba0495c87691d3e4191b1c12b3fc01.html.gz,AI,0.5349843373000659
AR_2022_c72a1b57023746dd59d6da007953373e.html.gz,AI,0.9662849826040222
AR_2022_ca4e382c3a26ab8712103d0f5e040365.html.gz,AI,0.9999986530700101
AR_2022_cb4b8b882e8587384df3179da191757a.html.gz,HUMAN,0.19017299365146773
