Link,Score,Prediction
Opinion: Now is the time to list the IRGC as a terrorist group,0.970370352268219,Most likely human-generated
Opinion: Trump's peace plan is one thing most Israelis will agree on,0.9729729890823364,Most likely human-generated
Opinion: A call to action on Venezuela,0.9693251252174377,Most likely human-generated
Opinion: Canada must stop being complicit in Iran 's murderous activities,0.98591548204422,Most likely human-generated
"Opinion: What the rule of law is, and why it matters - for everyone",0.9939758777618408,Most likely human-generated
Opinion: Trump uses his power to grant pardons lawlessly,0.9655172228813171,Most likely human-generated
"Opinion: In a free society, the government can, and sometimes must, direct the police",0.948051929473877,Most likely human-generated
"Opinion: Elizabeth Warren attacks Bloomberg like it's Vegas, but this time he's ready",0.9936708807945251,Most likely human-generated
Opinion: The Canadian economy should brace for the effects of COVID-19,0.902877688407898,Most likely human-generated
"Opinion: In China, defiance of totalitarian rule is spreading as fast as the coronavirus",1.0058139562606812,Most likely human-generated
Opinion: It isn't too late to stop state-sanctioned killing in Canada,1.0178571939468384,Most likely human-generated
Opinion: Her mother's memoir reveals the extent of Greta Thunberg's suffering,0.9496855139732361,Most likely human-generated
Opinion: Her mother's memoir reveals the extent of Greta Thunberg's suffering,0.9554139971733093,Most likely human-generated
Opinion: Canada must prepare its hospitals for COVID-19. And do it quickly,1.058823585510254,Most likely human-generated
Opinion: MSNBC math or why journalists should stop taking their cues from Twitter,0.9441340565681458,Most likely human-generated
Opinion: Enough with the legal gymnastics. It's time for Helmut Oberlander to go,1.0063694715499878,Most likely human-generated
Opinion: The link between oilsands development and First Nations prosperity,0.9507042169570923,Most likely human-generated
Opinion: A tale of two public health crises - science is being used to stem coronavirus but not opioid deaths,0.9815950989723206,Most likely human-generated
"Opinion: Places of worship need immediate government support, too",0.9811320900917053,Most likely human-generated
"Opinion: To address the needs of Canadians during the COVID-19 crisis, we need a targeted basic income",0.9580838084220886,Most likely human-generated
Opinion: Coronavirus presents a new threat to Iran 's political prisoners,0.985401451587677,Most likely human-generated
Opinion: Harry and Meghan's controversial move to LA may be their worst one yet,1.0199999809265137,Most likely human-generated
Opinion: Harry and Meghan's controversial move to L.A. may be their worst one yet,1.0204081535339355,Most likely human-generated
"Opinion: As far as politics goes, the COVID-19 pandemic changes everything. Or does it?",0.994535505771637,Most likely human-generated
Opinion: Maybe COVID-19 is what it will take to modernize Canada's antiquated courts,0.9580838084220886,Most likely human-generated
Opinion: Is the COVID-19 pandemic going to lead to a second wave of heart problems?,0.9281768202781677,Most likely human-generated
Opinion: Is the COVID-19 pandemic going to lead to a second wave of heart problems?,0.9226519465446472,Most likely human-generated
Opinion on COVID-19: An opportunity to re-examine how we provide health care,0.9802631735801697,Most likely human-generated
"Opinion on COVID-19: We are epidemiologists, and it's probably safe to reopen some schools",1.0544217824935913,Most likely human-generated
"Opinion on COVID-19: We are epidemiologists, and it's probably safe to reopen some schools",1.0544217824935913,Most likely human-generated
Opinion on COVID-19: These epidemiologists say let's think about reopening daycares and elementary schools,1.0544217824935913,Most likely human-generated
Opinion on COVID-19: Canada needs to pay plasma donors to protect its domestic supply,0.9866666793823242,Most likely human-generated
"Opinion: As COVID-19 comes to Africa, Canadians are in a position to help",0.9941176176071167,Most likely human-generated
"Opinion: As COVID-19 comes to Africa, Canadians are in a position to help",0.988304078578949,Most likely human-generated
Opinion: We must ensure the post-COVID world does not fall prey to socialism,0.9682539701461792,Most likely human-generated
Opinion: We are infectious disease experts. It's time to lift the COVID-19 lockdowns,1.0,Most likely human-generated
"Opinion: Support Canadians now, but not at the expense of our future",0.9802631735801697,Most likely human-generated
Opinion: I just wanted my COVID test results. What I found was a disorganized mess,0.9617834687232971,Most likely human-generated
Opinion: Some businesses are checking temperatures at the door - but is it just security theatre?,0.9858155846595764,Most likely human-generated
Opinion: The conservative path to a fairer country,0.976047933101654,Most likely human-generated
"Opinion: When it comes to racism, the RCMP may be bad-apple friendly",0.9750000238418579,Most likely human-generated
Opinion: Why we need a national contact-tracing app,0.9873417615890503,Most likely human-generated
"Opinion: 'Blind recruitment,' for a more diverse workplace",0.983146071434021,Most likely human-generated
Opinion: Creating the country we want for future generations,0.9245283007621765,Most likely human-generated
Opinion: Canada needs a parliamentary revival,0.9570552110671997,Most likely human-generated
Opinion: Canada needs a parliamentary revival,0.9696969985961914,Most likely human-generated
"Opinion: Improve policing in Canada by building up, not tearing down",1.0,Most likely human-generated
Opinion: Why won't Trudeau demand more from Iran ?,1.0108696222305298,Most likely human-generated
Opinion: Why won't Trudeau demand more from Iran ?,1.0054054260253906,Most likely human-generated
"Opinion: We're infectious disease experts, and 'eliminating' COVID won't happen any time soon",0.987261176109314,Most likely human-generated
Opinion: A silver lining in this year of the pandemic,0.9437500238418579,Most likely human-generated
Opinion: Ontario 's semi-emergency COVID-19 bill is an attack on our rights,0.9940476417541504,Most likely human-generated
Opinion: Facebook harms its customers and competitors with little to no consequence,0.9814814925193787,Most likely human-generated
Opinion: Facebook harms its customers and competitors with little to no consequence,0.9814814925193787,Most likely human-generated
Opinion: How former cops probe police failure,0.9756097793579102,Most likely human-generated
Opinion: Tackling the COVID-19 challenges together on Ontario 's road to recovery,1.0509554147720337,Most likely human-generated
Opinion: How we can keep COVID down using 'the Hammer and the Dance',1.012195110321045,Most likely human-generated
"Opinion: With any COVID-19 vaccine, humanity will face its biggest moral test",1.0965908765792847,Most likely human-generated
Opinion: Mark Zuckerberg doesn't care about Holocaust denial,0.9746835231781006,Most likely human-generated
Opinion: Denigrating bars and strip clubs won't help control COVID,0.9653179049491882,Most likely human-generated
Opinion: Time to push the reset button on Canada- U.S. relations,0.9624999761581421,Most likely human-generated
Opinion: Time to push the reset button on Canada- U.S. relations,0.9624999761581421,Most likely human-generated
"Opinion: When it comes to racism, we all have skin in the game",1.0740740299224854,Most likely human-generated
Opinion: Invest in Canada's digital infrastructure,0.9932432174682617,Most likely human-generated
Opinion: Politicians receive low marks on protecting rights during COVID,1.006666660308838,Most likely human-generated
Opinion: Assessing eight years of Shinzo Abe's leadership,1.0205479860305786,Most likely human-generated
Opinion: Don't use religion as an excuse not to take the pandemic seriously,0.9938650131225586,Most likely human-generated
Opinion: Not telling the truth will have consequences for the Liberals,0.9836065769195557,Most likely human-generated
"Opinion: Put an end to asymptomatic testing, before the system gets overwhelmed",0.9940828680992126,Most likely human-generated
Opinion: A second wave on the horizon and we're turning people away at COVID-19 test centres,1.0136985778808594,Most likely human-generated
Opinion: A second wave on the horizon and we're turning people away at COVID-19 test centres,1.0136985778808594,Most likely human-generated
Opinion: A second wave on the horizon and we're turning people away at COVID-19 test centres,1.0068492889404297,Most likely human-generated
Opinion: The Canadians who don't yet know they're Conservative,0.9941860437393188,Most likely human-generated
Opinion: A salute to Canada's military families - the backbone of our Armed Forces,1.0058139562606812,Most likely human-generated
Opinion: Securing Alberta 's future,0.9041916131973267,Most likely human-generated
"Opinion: We need a data-driven approach to fighting COVID-19, not a second lockdown",0.9870129823684692,Most likely human-generated
Opinion: The path forward to give a voice to western interests,0.9887005686759949,Most likely human-generated
Opinion: The Crown will give millennials a chance to make up their own minds about Thatcher,1.0179641246795654,Most likely human-generated
Opinion: Will Trudeau have the stomach to take on Iran ?,0.9733333587646484,Most likely human-generated
Opinion: Big Tech companies on defensive as enemies mount up after scathing Washington report,0.9230769276618958,Most likely human-generated
