Link,Score,Prediction
OR_2024_00da7bf07cf2b76ee4e5961725ca769c.html.gz,1.0057803392410278,Most likely human-generated
OR_2024_1698c89a535b52b58c00666ee6f3ffbe.html.gz,1.0714285373687744,Most likely human-generated
OR_2024_28364b0e009dee4d02b00a7f4effe020.html.gz,0.9729729890823364,Most likely human-generated
OR_2024_2de68edb14aea37584281ddf62e4138f.html.gz,0.9931507110595703,Most likely human-generated
OR_2024_52c3f025c73b55b1d229977e32d30fbc.html.gz,0.9303797483444214,Most likely human-generated
OR_2024_5800698440f86f754d2190f4a734903b.html.gz,0.9054054021835327,Most likely human-generated
OR_2024_5a3ae646a8dc79eedbba4ad98dababa8.html.gz,0.9333333373069763,Most likely human-generated
OR_2024_5d19ed72b1f7116cf2bd477f49dad645.html.gz,1.018072247505188,Most likely human-generated
OR_2024_5f0b4924e4e4389e65b7816db8cce5e1.html.gz,0.9554139971733093,Most likely human-generated
OR_2024_616f7125b522969d521fe0a95ebc9634.html.gz,0.9924242496490479,Most likely human-generated
OR_2024_618f3e5788b2afddf3c8df0cb844810e.html.gz,0.9852941036224365,Most likely human-generated
OR_2024_77b02ffde390c55498211cefd63c5d11.html.gz,0.9698795080184937,Most likely human-generated
OR_2024_7c40cf6632b3743c9fe9d87b8779b155.html.gz,1.0063694715499878,Most likely human-generated
OR_2024_82f3403796fe3e3981c82cc1af82f740.html.gz,1.0368098020553589,Most likely human-generated
OR_2024_a0a7f3ebbe88969a90e133fbcbf448b1.html.gz,0.9640287756919861,Most likely human-generated
OR_2024_a1099e6e5b9640d396fcc1664e48d20b.html.gz,0.9567901492118835,Most likely human-generated
OR_2024_a56c923931a457bd1d55c07d639e0a2c.html.gz,1.0134228467941284,Most likely human-generated
OR_2024_a79fa9426af346c43919b4b37b2ab739.html.gz,0.9806451797485352,Most likely human-generated
OR_2024_a9a10c8882a3861c0b3918fd828bdf15.html.gz,0.9886363744735718,Most likely human-generated
OR_2024_adfdd6bd474a1ac4e0c9432378d65a90.html.gz,1.0059880018234253,Most likely human-generated
OR_2024_c9fdec4d7c9e44916fb640ecf2f508fb.html.gz,1.0258620977401733,Most likely human-generated
OR_2024_ce892362157927a2392520cca0e24b9d.html.gz,0.918749988079071,Most likely human-generated
OR_2024_d7539c9cc6d4a5839358051ce3d10760.html.gz,0.9862068891525269,Most likely human-generated
OR_2024_db8ad673820a7c4fd5d9aff1c8ad3438.html.gz,1.02816903591156,Most likely human-generated
OR_2024_dfb4339398cc7c4cee43d60466602c69.html.gz,1.0472440719604492,Most likely human-generated
OR_2024_e959f5251cd7cbf87b3fc97894b5cd7f.html.gz,1.0,Most likely human-generated
