File,label,score
AR_2024_08492d925ddf7a44de23572ab959da89.html.gz,AI,0.9929236205885311
AR_2024_07cefd251d6dd1c9951cc55388b5f89e.html.gz,HUMAN,0.27858966422212916
AR_2024_032b15f8c5cd7507be95760a7d6284e3.html.gz,HUMAN,0.22410185789201723
AR_2024_0d9a939627ae4a8f7e7b3637880d8b96.html.gz,HUMAN,0.36921208731008337
AR_2024_0fd9a4863c87a685b85dc09e6885b093.html.gz,AI,0.5130778650448425
AR_2024_0dff3b75e1f53bdaac5f1a2aef42aac8.html.gz,AI,0.8757551252252703
AR_2024_1f26da5856238d7748b4ba1f7c8ef7de.html.gz,AI,0.9827467080589176
AR_2024_13c6057dc95f5443cb9537b9dda21680.html.gz,AI,0.7079303032801174
AR_2024_1a2cd1b50009b337aaa1ba07ebf12b71.html.gz,HUMAN,0.18926233955002822
AR_2024_23cb253ae9dd7823ce5902ae4413a91e.html.gz,HUMAN,0.4529743516836278
AR_2024_263f1c58e1842d1c09d6cfa36d22b0a1.html.gz,HUMAN,0.36813560979044263
AR_2024_2b369910eebeac214e216b63d8912964.html.gz,HUMAN,0.2134814036091176
AR_2024_2d424cc797763bae23f4532165a7d0d5.html.gz,HUMAN,0.19236663682639468
AR_2024_2c0349c37e3763174f1b3a6d21a79782.html.gz,HUMAN,0.20237950052529777
AR_2024_2e8b3e6fe1390c038aeb0a45b49fa229.html.gz,HUMAN,0.18955350029775975
AR_2024_346f7e2e9547b4552d20b0b4e7436b32.html.gz,AI,0.8970229113611913
AR_2024_338f45794dd9eb69e6681fa969a149a2.html.gz,HUMAN,0.1943547953245869
AR_2024_2f392b1d30e28b063a3012c64fd70c6e.html.gz,HUMAN,0.22354817107765476
AR_2024_44433ab493dd7701fbe9e6f91e1ddce1.html.gz,HUMAN,0.19555488864499623
AR_2024_3e31f13fccd534f380999f25a2221333.html.gz,AI,0.8718509284515986
AR_2024_4342e86fbb55b13331c9811374f84b96.html.gz,HUMAN,0.19720950841645135
AR_2024_48455c0234c472060ef15162cbb98707.html.gz,HUMAN,0.3665283709410143
AR_2024_50af6b5ff27b2f1fa0acc579c49939b4.html.gz,HUMAN,0.30131231954815574
AR_2024_4d2ab1e8f0a8b28e78b9300611d22e94.html.gz,HUMAN,0.21152947507937117
AR_2024_534309120357f8566a5d65366d0b726c.html.gz,HUMAN,0.2655940723227256
AR_2024_56aa3f14f432e58d5ad15aafc753f4fc.html.gz,HUMAN,0.18796305314622752
AR_2024_52ef1dc047a292fdec248322f3353e08.html.gz,HUMAN,0.2102287735214163
AR_2024_589a1ad22a39a147703a261c0a0782d1.html.gz,HUMAN,0.2968394467691303
AR_2024_5a13462c024843f7eddeff0def3dbf00.html.gz,HUMAN,0.2474694910497275
AR_2024_5e3db50179ba00023140641ec2d575ff.html.gz,HUMAN,0.18871547457797685
AR_2024_6046d8db8e1496cb1e8bfcb2976e034a.html.gz,AI,0.6598698631616584
AR_2024_619b191aab63c6bcf76ed85974750a38.html.gz,AI,0.9995300971409458
AR_2024_5e584bf661a9a4b69d263eb551befd58.html.gz,AI,0.9815662495255795
AR_2024_646614645e643840d9da8845da65319a.html.gz,HUMAN,0.3790798998861692
AR_2024_620ac4f9d7b34b52112fefe94a2fa00c.html.gz,HUMAN,0.4332149243022796
AR_2024_632e59343dedef3c11e161457db0670f.html.gz,HUMAN,0.2429245289366021
AR_2024_6761ae6050196df7357dc9787e3066a7.html.gz,HUMAN,0.1883099228720907
AR_2024_658710cab9fb5232e8ed3f48853bbb38.html.gz,HUMAN,0.46335057289569165
AR_2024_64bad7da8242d80d9d92cbd434d08ca8.html.gz,HUMAN,0.3952375841679541
AR_2024_6c00390ffe32491033765188094f256d.html.gz,AI,0.9766023889252975
AR_2024_6ad960c1cecf2d0c1913200095caab15.html.gz,AI,0.5857144804341443
AR_2024_6da8aed43009ed92cca2fa67b736a58c.html.gz,AI,0.7748876310224797
AR_2024_712820d35782f9f10a4aef88ed82e63a.html.gz,HUMAN,0.19039830701621627
AR_2024_73985c47571dce668434e85ee7123164.html.gz,HUMAN,0.3131394873865855
AR_2024_72ee361c1cb2f4587b92dc943cff46d2.html.gz,AI,0.6636273690916765
AR_2024_761a4c204e4889972350924febe228f4.html.gz,AI,0.5724283630362264
AR_2024_7f8acf9764d62917cfaba3dd713dc293.html.gz,HUMAN,0.2768695529203726
AR_2024_7c4fbd4c496fbba1f92761a779411231.html.gz,AI,0.9995817003911646
AR_2024_7fd6b5cfe08cd193e85113fd13a36660.html.gz,HUMAN,0.42050584826038434
AR_2024_88c6fe9035089d564755af729e993959.html.gz,HUMAN,0.22939019340836245
AR_2024_95d452b70ef6604877af87cb69b7f907.html.gz,AI,0.9973051724817374
AR_2024_97d4bf68e2ee248065450bffd264fa46.html.gz,HUMAN,0.23751830473734317
AR_2024_a3ec2dea2f32edca3630ba69de491844.html.gz,HUMAN,0.26922441547508374
AR_2024_98044757abe90b0523e81906e82c0f10.html.gz,HUMAN,0.2201138573997341
AR_2024_a40ee6acebabafdd4230af8bc9366a46.html.gz,HUMAN,0.3082364575108025
AR_2024_a60e6cdd2b413ee774fcd68fcdda85e1.html.gz,HUMAN,0.20308994916607745
AR_2024_a640edde3b316f5a4e422a6fe16c9033.html.gz,HUMAN,0.19002788398735418
AR_2024_a8951b16a9fe7f38117128ed1f62edfc.html.gz,HUMAN,0.18963882635191875
AR_2024_a9e5106d1054120859c096bf372062f6.html.gz,HUMAN,0.18784667911274655
AR_2024_ac367dcf316877d9da2be51c03998fa7.html.gz,HUMAN,0.31243390426951434
AR_2024_ae555430be4d0da2beddbc48713e5b37.html.gz,AI,0.6551503092376255
AR_2024_b77e43f0cf2903bf03191c5f94d3f5c2.html.gz,AI,0.9499390914075916
AR_2024_b5c052122d627f3d59e00696bf84b0fb.html.gz,HUMAN,0.3177180764418578
AR_2024_bdff47ac48bae319032b0bd1da3718e1.html.gz,AI,0.999999688660477
AR_2024_bf8780a1192e302528e9eda19615a293.html.gz,HUMAN,0.38714065832543804
AR_2024_c2da9726618b736d9a78b6c3a0070bcf.html.gz,HUMAN,0.2178494162422335
AR_2024_cb11f6dca73df7ccbb1c59e3960a632c.html.gz,HUMAN,0.38697811446767283
AR_2024_cc45d42c0828258cca0bed30c1526a39.html.gz,HUMAN,0.19236663682639468
AR_2024_cd119674698a82558d8ff2d8486cac77.html.gz,HUMAN,0.38147633036131084
AR_2024_cddfa57cf59b49580f607328c1e6ac09.html.gz,AI,0.7437059706718961
AR_2024_ce9b726bdb2b669935d64785ec6bb7ff.html.gz,HUMAN,0.4223880188157749
AR_2024_d0acdf23e491bee04f9378726be6cef7.html.gz,HUMAN,0.28824579452841037
AR_2024_d5c0dbf97f5e722f413f89f81b1b94f9.html.gz,HUMAN,0.18753962966603133
AR_2024_d9539da649892c21348d0bd5aee8cd77.html.gz,HUMAN,0.25392459468200224
AR_2024_d6181adc6eb09c0d50c5c9312dabae08.html.gz,AI,0.9201309632187035
AR_2024_dcfebe7d0a6b2057afd1de5cbf9eefc6.html.gz,HUMAN,0.3137794562456547
AR_2024_dd077dc61c6f492153312211de2e025b.html.gz,HUMAN,0.2656529224032309
AR_2024_dea08c410d21749e84aaa8641c61239e.html.gz,HUMAN,0.3211095856670157
AR_2024_e04d0c4d9fbac72fe19e2146ec231aa2.html.gz,HUMAN,0.18921428066955803
AR_2024_e7d9604c3ad2a4aa9d7fe234a78f3513.html.gz,AI,0.5546161404276934
AR_2024_e89f8dc084aafcb78210187ac541f0eb.html.gz,HUMAN,0.25730839713382747
AR_2024_eb2cf12140b2cabf29006830810e92a3.html.gz,HUMAN,0.20234554702726773
AR_2024_ebec2ee272a82cfb0f03179820d9370c.html.gz,AI,0.5722605602240661
AR_2024_ecc499bec4fb907599e9a3089baca8ae.html.gz,HUMAN,0.19546888727768763
AR_2024_f2a4be768b917d57a15a0f10a10a408a.html.gz,AI,0.9857341253315248
AR_2024_f445461980d456488d4dfc3d091edc8d.html.gz,HUMAN,0.20319729626784155
