Link,Score,Prediction
AR_2020_0177647cf4c4381e3dfc1fdf14644a8d.html.gz,1.0134228467941284,Most likely human-generated
AR_2020_07ffd45c18d94fcdcf646a5a3fb6693e.html.gz,0.9863013625144958,Most likely human-generated
AR_2020_0d11970ba77853864b049f946896259c.html.gz,0.8663366436958313,Most likely human-generated
AR_2020_11ac47e385fb295e07aa1bc898bfe031.html.gz,1.0,Most likely human-generated
AR_2020_124fe711cd713016606e90ed432d0842.html.gz,0.9713114500045776,Most likely human-generated
AR_2020_19c6ad5567f44f10c40a0b4cbdf9b868.html.gz,1.0,Most likely human-generated
AR_2020_19eb5ce4a8621e82f94f510246bca4fb.html.gz,0.9930555820465088,Most likely human-generated
AR_2020_1f04da27619434e2ec7effca8b1b9179.html.gz,0.9670329689979553,Most likely human-generated
AR_2020_225083ad33d6f8debefaf2c2d554a49d.html.gz,0.9411764740943909,Most likely human-generated
AR_2020_245c572677779759de569dbb43dbeddb.html.gz,1.0469799041748047,Most likely human-generated
AR_2020_296e1852b8ed2368a6c0b7116a476217.html.gz,0.9275362491607666,Most likely human-generated
AR_2020_3287e2a51515c19b6aea2420bbc86313.html.gz,1.0077519416809082,Most likely human-generated
AR_2020_3ec2d42e047138a7de23b7e941a4c91d.html.gz,0.9931972622871399,Most likely human-generated
AR_2020_3ef82437c1655ac0050056619b947b16.html.gz,1.0040485858917236,Most likely human-generated
AR_2020_41f7686fc5f522a46b2d7be73d46d846.html.gz,1.0062893629074097,Most likely human-generated
AR_2020_44a8103b8af807d6507b263d94e46168.html.gz,1.0182926654815674,Most likely human-generated
AR_2020_48d4c7bf2d2a1118449cffa50bd4d2f3.html.gz,0.9647887349128723,Most likely human-generated
AR_2020_4b837132738921a7fc2d6472aa9f5bdb.html.gz,1.066176414489746,Most likely human-generated
AR_2020_570be5b82655d7daaa41d3043d9a36fc.html.gz,1.0382165908813477,Most likely human-generated
AR_2020_5b4de129786294e77bfffef987d4e2bb.html.gz,1.0722891092300415,Most likely human-generated
AR_2020_5c69079b57ea5d05f3a17cf7bbdf9d5f.html.gz,1.0413793325424194,Most likely human-generated
AR_2020_5e6d6ea499f46af69655f19c6a7af6c6.html.gz,0.956204354763031,Most likely human-generated
AR_2020_67b5d07df10426e948eec9e711441d57.html.gz,1.040697693824768,Most likely human-generated
AR_2020_813a27d84244f1ce24f01896f2ed2d2a.html.gz,0.9470198750495911,Most likely human-generated
AR_2020_89360b1e584e3a4c791c1b60cace7f7d.html.gz,0.9662162065505981,Most likely human-generated
AR_2020_8c6c091562008adc7d0800c95b87df65.html.gz,1.016853928565979,Most likely human-generated
AR_2020_91fee96c80d2cf322b10cb4380991262.html.gz,0.9811320900917053,Most likely human-generated
AR_2020_95408293cf11fe533e478aa971f2ea02.html.gz,1.0285714864730835,Most likely human-generated
AR_2020_97d51f549a380ffbf010ff11ad26bacc.html.gz,0.9846153855323792,Most likely human-generated
AR_2020_9a120d9f1724393706dad88414b9e200.html.gz,0.9190283417701721,Most likely human-generated
AR_2020_9c7a99640b4439baa2252fc9fb6d2efd.html.gz,0.6666666865348816,Most likely AI-generated
AR_2020_a25f6611e281f9e501d887a7b6d166fe.html.gz,0.8972602486610413,Most likely human-generated
AR_2020_aa1f63d175612d41f57e665539f29ea5.html.gz,1.0389610528945923,Most likely human-generated
AR_2020_ac5288236019253b3ec3a40357cebd0f.html.gz,1.0499999523162842,Most likely human-generated
AR_2020_b0593279d2a965b8dbcf27040bbfaf4c.html.gz,0.970802903175354,Most likely human-generated
AR_2020_bae439664dd279e6aacaae37aafb9b27.html.gz,1.0,Most likely human-generated
AR_2020_befcf44c787a5deb0c05cd92b8f92455.html.gz,1.0389610528945923,Most likely human-generated
AR_2020_c06e7e354e8b0029451a43a60d878578.html.gz,0.987261176109314,Most likely human-generated
AR_2020_c1aab30c99d6d543e0096bee0f69f843.html.gz,1.0538922548294067,Most likely human-generated
AR_2020_c9db75df866c1a7812636bf977c68d0a.html.gz,0.9208633303642273,Most likely human-generated
AR_2020_cec5029c3ede8ebb1b55bf63d44f5d50.html.gz,1.0264900922775269,Most likely human-generated
AR_2020_d2d60d6539084b3d6338f99dd028a120.html.gz,1.0328947305679321,Most likely human-generated
AR_2020_d60293559bb2f1c27c99317d4c95e44f.html.gz,1.0337837934494019,Most likely human-generated
AR_2020_dc636662900d264ceaee09e387d36394.html.gz,1.0,Most likely human-generated
AR_2020_ddfb7c11546270462bf07ea03a76a08a.html.gz,0.9281045794487,Most likely human-generated
AR_2020_def82def7b848d880e459566f64f52ab.html.gz,0.976047933101654,Most likely human-generated
AR_2020_e8d2f40cdcf6102fd16624acda48b433.html.gz,1.0,Most likely human-generated
AR_2020_f143fd70b480b0881855c50062567259.html.gz,1.0526316165924072,Most likely human-generated
AR_2020_f3fd88b2096e6fb69b3d176fb9408f93.html.gz,0.9267241358757019,Most likely human-generated
AR_2020_f92f219bd77b19beea810e39f7f95da6.html.gz,0.9821428656578064,Most likely human-generated
