Link,Score,Prediction
LA_2021_071cde324d727e73246a23a9d0f95dc9.html.gz,1.0120482444763184,Most likely human-generated
LA_2021_1d5c1cd94a6b79f7ebc32aa5be89e187.html.gz,1.0227272510528564,Most likely human-generated
LA_2021_5f0d89b4534758c635f06709d3d77d72.html.gz,1.0,Most likely human-generated
LA_2021_7be6882ccea7bf150b0521cce9811d18.html.gz,0.9784172773361206,Most likely human-generated
LA_2021_808a357e70947a5a828b9c9e831c391f.html.gz,1.0404040813446045,Most likely human-generated
LA_2021_8fe84ffb8a7dcb40e5412037201e8c59.html.gz,1.0122699737548828,Most likely human-generated
LA_2021_9f451fc3531365c59ad431fbde6041a0.html.gz,1.0625,Most likely human-generated
LA_2021_a7c07b5d4f916003b2fa9c159f8669b3.html.gz,1.029850721359253,Most likely human-generated
LA_2021_b5ea8fc6a8d7cbe8b1139469491f5c22.html.gz,1.0199004411697388,Most likely human-generated
LA_2021_c21760fd9b025d3d3753cf4a116539dc.html.gz,1.0140844583511353,Most likely human-generated
LA_2021_d6cefe83f3a5d4de25c56d07b113ede6.html.gz,1.0932642221450806,Most likely human-generated
